project,language,files,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
privoxy-3.0.26,c,69,30687,168,preprocessor,Classic vector model,0.5505747126436781,0.06290795920269447,0.11291445757312968,123.41671109199524
privoxy-3.0.26,c,69,30687,168,preprocessor,BM25,0.9920091324200914,0.12784253930520653,0.22649600782780954,123.45571994781494
privoxy-3.0.26,c,69,30687,168,preprocessor,Neural networks,0.5218068535825545,0.13816164252362145,0.21847616180591176,275.89318585395813
privoxy-3.0.26,c,69,30687,168,preprocessor,Extended boolean,0.7555555555555555,0.4552380952380952,0.5681524209054362,283.80319380760193
lighttpd-1.4.35,c,133,40035,216,preprocessor,BM25,0.9704433497536946,0.07705010444994864,0.14276511449539547,438.49516105651855
lighttpd-1.4.35,c,133,40035,216,preprocessor,Classic vector model,0.47783251231527096,0.040429010308711814,0.07455037552632619,440.6623749732971
lighttpd-1.4.35,c,133,40035,216,preprocessor,Neural networks,0.5987654320987654,0.15348380950636775,0.2443360376758877,1022.2747712135315
lighttpd-1.4.35,c,133,40035,216,preprocessor,Extended boolean,0.5925925925925926,0.27820399764844206,0.37864555301136504,1042.0494310855865
xfig-3.2.6,c,246,73143,162,preprocessor,Extended boolean,0.84375,0.5567912411662413,0.6708729395827234,2408.984372854233
xfig-3.2.6,c,246,73143,162,preprocessor,Classic vector model,0.7202797202797203,0.2868869031522185,0.41033690661882655,1186.9336240291595
xfig-3.2.6,c,246,73143,162,preprocessor,Neural networks,0.7835820895522388,0.3599257112117632,0.493274012973865,2384.5865721702576
xfig-3.2.6,c,246,73143,162,preprocessor,BM25,0.965034965034965,0.30241267716128,0.46051418238431535,1176.745876789093
irssi-1.0.3,c,319,55138,159,preprocessor,Classic vector model,0.7755102040816326,0.19865664956153462,0.31629131758586937,1231.0102829933167
irssi-1.0.3,c,319,55138,159,preprocessor,Extended boolean,0.8484848484848485,0.5751033057851239,0.6855443968237563,2389.3348858356476
irssi-1.0.3,c,319,55138,159,preprocessor,Neural networks,0.7111111111111111,0.3671496128623099,0.48426908880521774,2374.1458201408386
irssi-1.0.3,c,319,55138,159,preprocessor,BM25,0.9795918367346939,0.20974546572180786,0.3455116485269983,1224.4734189510345
xterm-3.3.0,c,66,71817,551,preprocessor,Neural networks,0.5970886075949366,0.3312799306010979,0.4261313569956171,2828.0788629055023
xterm-3.3.0,c,66,71817,551,preprocessor,Classic vector model,0.5079218106995884,0.2276756497404299,0.3144149741876223,1619.7845649719238
xterm-3.3.0,c,66,71817,551,preprocessor,Extended boolean,0.8528708133971292,0.6322282980177716,0.7261590268805399,2902.683488845825
xterm-3.3.0,c,66,71817,551,preprocessor,BM25,0.9770576131687243,0.27655255291470726,0.43108740592101746,1615.5533919334412
openvpn-2.4.3,c,206,79189,466,preprocessor,Extended boolean,0.5104895104895105,0.27311350265895723,0.3558474787386525,4159.605982065201
openvpn-2.4.3,c,206,79189,466,preprocessor,Classic vector model,0.43400447427293065,0.03159058654628498,0.05889433569965433,2961.839851140976
openvpn-2.4.3,c,206,79189,466,preprocessor,Neural networks,0.49544072948328266,0.15245524907166766,0.23316255174816278,4151.543552875519
openvpn-2.4.3,c,206,79189,466,preprocessor,BM25,0.9397321428571429,0.11303170553784155,0.20179174468768638,2958.706792116165
gnuplot-4.4.2,c,173,79123,490,preprocessor,Extended boolean,0.8081236232561244,0.5418720037203448,0.64874220069629,4903.654846191406
gnuplot-4.4.2,c,173,79123,490,preprocessor,Neural networks,0.6309237779618889,0.2717622743151464,0.3798912819931458,4880.359623908997
gnuplot-4.4.2,c,173,79123,490,preprocessor,Classic vector model,0.606859216975864,0.18425347928816177,0.28268013569731665,3574.6470141410828
gnuplot-4.4.2,c,173,79123,490,preprocessor,BM25,0.9631187572864479,0.2178636036365011,0.35534573611810966,3564.75932598114
cherokee-1.2.103,c,340,61182,432,preprocessor,BM25,0.9827160493827161,0.133187465129186,0.23458203663118926,3803.962783098221
cherokee-1.2.103,c,340,61182,432,preprocessor,Neural networks,0.5487804878048781,0.19718933794464324,0.29012878894519206,5115.527229070663
cherokee-1.2.103,c,340,61182,432,preprocessor,Classic vector model,0.3488943488943489,0.04358734646758216,0.07749344260152481,3833.004231929779
cherokee-1.2.103,c,340,61182,432,preprocessor,Extended boolean,0.6488095238095238,0.281870322915491,0.39300335261449254,5125.451067209244
emacs-25.2,c,206,50294,374,preprocessor,Extended boolean,0.8037825059101655,0.5042607707501326,0.6197287095585823,7189.206321001053
emacs-25.2,c,206,50294,374,preprocessor,BM25,0.9658981748318924,0.19162215542018235,0.3197999816338441,5180.327360153198
emacs-25.2,c,206,50294,374,preprocessor,Neural networks,0.7610062893081762,0.3072658662088651,0.43777469152792275,7169.444542169571
