project,classic,neural,bm25,boolean
Mobile_RSS_Reader,0.303030303030303,0.9737015121630507,1.0,0.9907407407407409
Elevator_C,0.75,0.875,0.875,0.875
EmailSystem_C,0.9583333333333333,0.8958333333333333,0.9583333333333333,0.8333333333333333
DesktopSearcher,0.4166666666666667,0.7083333333333333,0.744047619047619,0.5128205128205129
Elevator_Java,0.4583333333333333,0.7,0.7,0.7
BankAccountv2,0.8119047619047619,0.9083333333333333,0.9083333333333333,0.9523809523809523
MinePump_Java,0.7,0.75,0.75,0.75
Lampiro,0.0,1.0,1.0,0.9615384615384616
Email_JML,0.875,0.875,0.875,0.8571428571428571
MinePump_C,1.0,1.0,1.0,1.0
Graph_Product_Line,0.41025641025641024,0.6553030303030303,0.6553030303030303,0.46794871794871795
NetBot,0.7666666666666666,1.0,1.0,0.85
Prevayler,0.3152380952380952,1.0,1.0,0.8333333333333333
Prop4J,1.0,0.9090909090909091,0.9090909090909091,0.8333333333333334
Mobile_Media,0.5733333333333334,0.9365079365079364,1.0,0.869047619047619
Pynche,0,1.0,1.0,1.0
Chat_HyperJ,0.8333333333333334,1.0,1.0,1.0
BattleOfTanks,0.0,0.9924242424242424,0.9848484848484849,0.9923664122137404
EmailSystem_Java,0.7842261904761905,0.8883928571428572,0.9092261904761905,0.7217261904761905
Arithmetic_Expression_Evaluator,0.5,0.5454545454545454,0.5909090909090909,0.5909090909090909
FAME_DBMS,0,1.0,1.0,0.5
