project,language,loc,features,method,recall,precision,fmeasure,performance
Email_JML,java,1233,8,Extended boolean,0.8571428571428571,0.3523809523809524,0.499437570303712,0.04624199867248535
Email_JML,java,1233,8,Neural networks,0.875,0.32222222222222224,0.4709976798143852,0.01680922508239746
Email_JML,java,1233,8,Classic vector model,0.875,0.575,0.6939655172413793,0.0320279598236084
Email_JML,java,1233,8,BM25,0.875,0.32222222222222224,0.4709976798143852,0.006536960601806641
BankAccountv2,java,95,8,Extended boolean,0.9523809523809524,0.6988095238095238,0.8061249012943317,0.04218411445617676
BankAccountv2,java,95,8,Neural networks,0.9083333333333333,0.5861607142857144,0.7125211590162301,0.015396833419799805
BankAccountv2,java,95,8,Classic vector model,0.8119047619047619,0.6938775510204082,0.748265513569331,0.0219419002532959
BankAccountv2,java,95,8,BM25,0.9083333333333333,0.5861607142857144,0.7125211590162301,0.007882833480834961
FAME_DBMS,cpp,5000,4,Extended boolean,0.5,0.26666666666666666,0.34782608695652173,0.24600815773010254
FAME_DBMS,cpp,5000,4,Neural networks,1.0,0.2944444444444444,0.45493562231759654,0.05940389633178711
FAME_DBMS,cpp,5000,4,Classic vector model,0,0,0,0.16687393188476562
FAME_DBMS,cpp,5000,4,BM25,1.0,0.3111111111111111,0.4745762711864407,0.027406930923461914
Prop4J,java,2051,14,Extended boolean,0.8333333333333334,0.3194444444444445,0.46184738955823296,0.21259498596191406
Prop4J,java,2051,14,Neural networks,0.9090909090909091,0.2182804940157881,0.35203449758401406,0.06197500228881836
Prop4J,java,2051,14,Classic vector model,1.0,0.6333333333333333,0.7755102040816326,0.11955714225769043
Prop4J,java,2051,14,BM25,0.9090909090909091,0.21987179487179487,0.35410106849739326,0.023411035537719727
Mobile_RSS_Reader,java,20000,27,Extended boolean,0.9907407407407409,0.6373456790123456,0.7756889591012813,14.427541971206665
Mobile_RSS_Reader,java,20000,27,Neural networks,0.9790433925049311,0.5513436420192492,0.7054285452521211,3.528494119644165
Mobile_RSS_Reader,java,20000,27,Classic vector model,0.303030303030303,0.75,0.4316546762589928,7.279374837875366
Mobile_RSS_Reader,java,20000,27,BM25,1.0,0.5323200771536685,0.6947896658020293,1.8473191261291504
Elevator_Java,java,1046,5,Extended boolean,0.7,0.36904761904761907,0.48329621380846327,0.08626389503479004
Elevator_Java,java,1046,5,Neural networks,0.7,0.36904761904761907,0.48329621380846327,0.018194198608398438
Elevator_Java,java,1046,5,Classic vector model,0.4583333333333333,0.4583333333333333,0.45833333333333326,0.03578019142150879
Elevator_Java,java,1046,5,BM25,0.7,0.36904761904761907,0.48329621380846327,0.009412050247192383
Chat_HyperJ,java,758,3,Extended boolean,1.0,0.4222222222222222,0.59375,0.07871103286743164
Chat_HyperJ,java,758,3,Neural networks,1.0,0.28454106280193237,0.4430236931177134,0.026574134826660156
Chat_HyperJ,java,758,3,Classic vector model,0.8333333333333334,0.7000000000000001,0.7608695652173915,0.07425808906555176
Chat_HyperJ,java,758,3,BM25,1.0,0.28454106280193237,0.4430236931177134,0.011246919631958008
NetBot,cs,1579,4,Extended boolean,0.85,0.7083333333333333,0.7727272727272727,0.12852978706359863
NetBot,cs,1579,4,Neural networks,0.95,0.7083333333333333,0.8115577889447236,0.03263998031616211
NetBot,cs,1579,4,Classic vector model,0.7666666666666666,1.0,0.8679245283018868,0.05330395698547363
NetBot,cs,1579,4,BM25,1.0,0.5719696969696969,0.727710843373494,0.01707601547241211
Elevator_C,c,877,5,Extended boolean,0.875,0.49999999999999994,0.6363636363636362,0.037110090255737305
Elevator_C,c,877,5,Neural networks,0.875,0.49999999999999994,0.6363636363636362,0.009154081344604492
Elevator_C,c,877,5,Classic vector model,0.75,0.5416666666666666,0.6290322580645161,0.016283035278320312
Elevator_C,c,877,5,BM25,0.875,0.49999999999999994,0.6363636363636362,0.004246950149536133
Graph_Product_Line,java,1350,26,Extended boolean,0.46794871794871795,0.34487179487179487,0.39709212974197194,1.0679190158843994
Graph_Product_Line,java,1350,26,Neural networks,0.6325757575757577,0.20810359050316765,0.31317835204967515,0.2732410430908203
Graph_Product_Line,java,1350,26,Classic vector model,0.41025641025641024,0.3474358974358974,0.3762419193891275,0.4888739585876465
Graph_Product_Line,java,1350,26,BM25,0.6553030303030304,0.20345886842922417,0.3105103130926516,0.12817907333374023
Lampiro,java,45000,17,Extended boolean,0.9615384615384616,0.5439427722036417,0.6948235349963211,29.143197059631348
Lampiro,java,45000,17,Neural networks,1.0,0.345792060785667,0.5138863140324891,9.396083116531372
Lampiro,java,45000,17,Classic vector model,0.0,0.0,0,12.805732011795044
Lampiro,java,45000,17,BM25,1.0,0.346359736995431,0.5145129157952625,3.55705189704895
Mobile_Media,java,5700,23,Extended boolean,0.8690476190476192,0.4761337868480725,0.6152076322121415,4.124039888381958
Mobile_Media,java,5700,23,Neural networks,0.9007936507936508,0.3254914637277685,0.47819326915328786,0.9078249931335449
Mobile_Media,java,5700,23,Classic vector model,0.5733333333333334,0.36,0.4422857142857142,1.7141518592834473
Mobile_Media,java,5700,23,BM25,1.0,0.32100829118860114,0.4860049604984207,0.44343113899230957
Pynche,python,2400,12,Extended boolean,1.0,0.4642857142857143,0.6341463414634146,0.425246000289917
Pynche,python,2400,12,Neural networks,1.0,0.37100168350168344,0.5412125863392171,0.11297988891601562
Pynche,python,2400,12,Classic vector model,0,0,0,0.2898080348968506
Pynche,python,2400,12,BM25,1.0,0.3977272727272727,0.5691056910569106,0.04306817054748535
MinePump_Java,java,580,6,Extended boolean,0.75,0.23769841269841266,0.3609883487344315,0.05211997032165527
MinePump_Java,java,580,6,Neural networks,0.75,0.23769841269841266,0.3609883487344315,0.016067028045654297
MinePump_Java,java,580,6,Classic vector model,0.7,0.6,0.6461538461538461,0.023442983627319336
MinePump_Java,java,580,6,BM25,0.75,0.23769841269841266,0.3609883487344315,0.005727052688598633
Arithmetic_Expression_Evaluator,haskell,460,16,Extended boolean,0.5909090909090909,1.0,0.7428571428571428,0.03832077980041504
Arithmetic_Expression_Evaluator,haskell,460,16,Neural networks,0.5454545454545454,1.0,0.7058823529411764,0.016002893447875977
Arithmetic_Expression_Evaluator,haskell,460,16,Classic vector model,0.5,1.0,0.6666666666666666,0.08893513679504395
Arithmetic_Expression_Evaluator,haskell,460,16,BM25,0.5909090909090909,1.0,0.7428571428571428,0.003515958786010742
Prevayler,java,80000,5,Extended boolean,0.8333333333333334,0.7403508771929824,0.7840951319212188,2.985245943069458
Prevayler,java,80000,5,Neural networks,1.0,0.7672325976230899,0.8682870592756268,0.527306079864502
Prevayler,java,80000,5,Classic vector model,0.31523809523809526,1.0,0.4793627805937727,0.9916849136352539
Prevayler,java,80000,5,BM25,1.0,0.7672325976230899,0.8682870592756268,0.3009910583496094
EmailSystem_C,c,258,8,Extended boolean,0.8333333333333334,0.4367559523809524,0.5731302479984378,0.16040515899658203
EmailSystem_C,c,258,8,Neural networks,0.8958333333333334,0.4617559523809524,0.6093984069567759,0.04197406768798828
EmailSystem_C,c,258,8,Classic vector model,0.9583333333333334,0.7174603174603175,0.8205856815849711,0.05073094367980957
EmailSystem_C,c,258,8,BM25,0.9583333333333334,0.4700892857142857,0.6307688300864673,0.018082857131958008
DesktopSearcher,java,3779,15,Extended boolean,0.5128205128205128,0.43076923076923074,0.4682274247491638,2.084203004837036
DesktopSearcher,java,3779,15,Neural networks,0.7083333333333333,0.3312248087863258,0.4513794147423613,0.4622061252593994
DesktopSearcher,java,3779,15,Classic vector model,0.41666666666666663,0.5666666666666667,0.48022598870056493,0.8081510066986084
DesktopSearcher,java,3779,15,BM25,0.744047619047619,0.33485686957709915,0.4618563721950421,0.2452850341796875
MinePump_C,c,279,6,Extended boolean,1.0,0.7333333333333333,0.8461538461538461,0.01760101318359375
MinePump_C,c,279,6,Neural networks,1.0,0.7333333333333333,0.8461538461538461,0.005160808563232422
MinePump_C,c,279,6,Classic vector model,1.0,1.0,1.0,0.007708072662353516
MinePump_C,c,279,6,BM25,1.0,0.7333333333333333,0.8461538461538461,0.0022590160369873047
EmailSystem_Java,java,1233,8,Extended boolean,0.7217261904761905,0.3742063492063492,0.49286705720579177,0.19337797164916992
