project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
Elevator_Java,java,1046,5,featurehouse,Classic vector model,0.7,0.36904761904761907,0.4832962138084633,0.006330013275146484
Elevator_Java,java,1046,5,featurehouse,Latent semantic indexing,0.9,0.17770562770562767,0.29680658766820645,0.08969998359680176
Elevator_Java,java,1046,5,featurehouse,BM25,0.7,0.36904761904761907,0.4832962138084633,0.006914854049682617
Elevator_Java,java,1046,5,featurehouse,Neural networks,0.7,0.36904761904761907,0.4832962138084633,0.01684403419494629
Elevator_Java,java,1046,5,featurehouse,Extended boolean,0.7,0.36904761904761907,0.4832962138084633,0.01736903190612793
MinePump_C,c,279,6,featurehouse,Classic vector model,1.0,0.7333333333333333,0.846153846153846,0.0021848678588867188
MinePump_C,c,279,6,featurehouse,Latent semantic indexing,0.8333333333333334,0.26257816257816263,0.39932993913857684,0.029036998748779297
MinePump_C,c,279,6,featurehouse,BM25,1.0,0.7333333333333333,0.846153846153846,0.0020599365234375
MinePump_C,c,279,6,featurehouse,Neural networks,1.0,0.7333333333333333,0.846153846153846,0.004670143127441406
MinePump_C,c,279,6,featurehouse,Extended boolean,1.0,0.7333333333333333,0.846153846153846,0.009189128875732422
Chat_HyperJ,java,758,3,hyperj,Classic vector model,1.0,0.28454106280193237,0.4430236931177134,0.008690834045410156
Chat_HyperJ,java,758,3,hyperj,Latent semantic indexing,1.0,0.2441595441595442,0.39248912296771243,0.10158991813659668
Chat_HyperJ,java,758,3,hyperj,BM25,1.0,0.28454106280193237,0.4430236931177134,0.0078008174896240234
Chat_HyperJ,java,758,3,hyperj,Neural networks,1.0,0.28454106280193237,0.4430236931177134,0.02075815200805664
Chat_HyperJ,java,758,3,hyperj,Extended boolean,1.0,0.28454106280193237,0.4430236931177134,0.020932912826538086
Mobile_Media,java,5700,23,cide,Classic vector model,1.0,0.3211683552142114,0.48618838613060456,0.6524629592895508
Mobile_Media,java,5700,23,cide,Latent semantic indexing,1.0,0.08820621315873971,0.16211304822953224,13.716404914855957
Mobile_Media,java,5700,23,cide,BM25,1.0,0.3211683552142114,0.48618838613060456,0.5816459655761719
Mobile_Media,java,5700,23,cide,Neural networks,0.8326118326118326,0.30855862503489406,0.450256244432192,1.1547539234161377
Mobile_Media,java,5700,23,cide,Extended boolean,0.9177489177489178,0.3664588291273539,0.5237738125302984,1.2065510749816895
MinePump_Java,java,580,6,featurehouse,Classic vector model,0.75,0.23769841269841266,0.3609883487344315,0.004728078842163086
MinePump_Java,java,580,6,featurehouse,Latent semantic indexing,0.8333333333333334,0.1744864612511671,0.28855433314032036,0.04947185516357422
MinePump_Java,java,580,6,featurehouse,BM25,0.75,0.23769841269841266,0.3609883487344315,0.0053730010986328125
MinePump_Java,java,580,6,featurehouse,Neural networks,0.75,0.23769841269841266,0.3609883487344315,0.011641979217529297
MinePump_Java,java,580,6,featurehouse,Extended boolean,0.75,0.23769841269841266,0.3609883487344315,0.018213987350463867
Prop4J,java,2051,14,featurehouse,Classic vector model,0.9090909090909091,0.21828049401578814,0.35203449758401406,0.03133988380432129
Prop4J,java,2051,14,featurehouse,Latent semantic indexing,0.7857142857142857,0.04762935477221192,0.08981424383831282,0.3899979591369629
Prop4J,java,2051,14,featurehouse,BM25,0.9090909090909091,0.22517482517482518,0.36094608227777153,0.01836109161376953
Prop4J,java,2051,14,featurehouse,Neural networks,0.9090909090909091,0.218659281894576,0.3525269460340334,0.05218100547790527
Prop4J,java,2051,14,featurehouse,Extended boolean,1.0,0.2718253968253968,0.42745709828393136,0.05727410316467285
Mobile_RSS_Reader,java,20000,27,cide,Classic vector model,1.0,0.5249005661393862,0.6884390730712165,1.6339750289916992
Mobile_RSS_Reader,java,20000,27,cide,Latent semantic indexing,1.0,0.08259870744323382,0.15259339748946615,83.70606112480164
Mobile_RSS_Reader,java,20000,27,cide,BM25,1.0,0.5323200771536685,0.6947896658020292,1.557229995727539
Mobile_RSS_Reader,java,20000,27,cide,Neural networks,0.9877777777777779,0.5348337020631629,0.6939351931850687,3.0951731204986572
Mobile_RSS_Reader,java,20000,27,cide,Extended boolean,1.0,0.5353631996658312,0.6973766204404951,3.3036231994628906
DesktopSearcher,java,3779,15,ahead,Classic vector model,0.7440476190476192,0.33470125177442245,0.4617083293635246,0.22330999374389648
DesktopSearcher,java,3779,15,ahead,Latent semantic indexing,0.7388888888888888,0.0580299037489392,0.1076085832069699,5.2269368171691895
DesktopSearcher,java,3779,15,ahead,BM25,0.7440476190476192,0.3351613391910316,0.4621458977303129,0.22330904006958008
DesktopSearcher,java,3779,15,ahead,Neural networks,0.7083333333333334,0.33119985121419837,0.45135623969939814,0.7264270782470703
DesktopSearcher,java,3779,15,ahead,Extended boolean,0.608974358974359,0.36666666666666664,0.45773105562855887,0.6458358764648438
Lampiro,java,45000,17,cide,Classic vector model,1.0,0.345792060785667,0.5138863140324891,3.3824639320373535
Lampiro,java,45000,17,cide,Latent semantic indexing,1.0,0.07133179163402756,0.13316470619289691,235.45992398262024
Lampiro,java,45000,17,cide,BM25,1.0,0.3463834084358381,0.514539032886998,4.000211000442505
Lampiro,java,45000,17,cide,Neural networks,1.0,0.345792060785667,0.5138863140324891,12.73128604888916
Lampiro,java,45000,17,cide,Extended boolean,1.0,0.4395471678080373,0.6106742142771533,8.870847940444946
NetBot,cs,1579,4,featurehouse,Classic vector model,1.0,0.5083333333333333,0.6740331491712707,0.01773810386657715
NetBot,cs,1579,4,featurehouse,Latent semantic indexing,1.0,0.25840336134453784,0.41068447412353926,0.18457603454589844
NetBot,cs,1579,4,featurehouse,BM25,1.0,0.7083333333333333,0.8292682926829268,0.012753009796142578
NetBot,cs,1579,4,featurehouse,Neural networks,0.95,0.7083333333333333,0.8115577889447236,0.03137493133544922
NetBot,cs,1579,4,featurehouse,Extended boolean,1.0,0.7083333333333333,0.8292682926829268,0.030508041381835938
Email_JML,java,1233,8,featurehouse,Classic vector model,0.875,0.3222222222222222,0.4709976798143852,0.006033897399902344
Email_JML,java,1233,8,featurehouse,Latent semantic indexing,0.875,0.1341991341991342,0.23270777479892762,0.06058216094970703
Email_JML,java,1233,8,featurehouse,BM25,0.875,0.3222222222222222,0.4709976798143852,0.005887031555175781
Email_JML,java,1233,8,featurehouse,Neural networks,0.8125,0.3052083333333333,0.44373252562907733,0.015443086624145508
Email_JML,java,1233,8,featurehouse,Extended boolean,0.875,0.3222222222222222,0.4709976798143852,0.014703989028930664
EmailSystem_Java,java,1233,8,featurehouse,Classic vector model,0.9092261904761905,0.38511904761904764,0.5410617109570892,0.02042698860168457
EmailSystem_Java,java,1233,8,featurehouse,Latent semantic indexing,0.9479166666666667,0.1661540237779462,0.2827471716538711,0.2706890106201172
EmailSystem_Java,java,1233,8,featurehouse,BM25,0.9092261904761905,0.38511904761904764,0.5410617109570892,0.018787145614624023
EmailSystem_Java,java,1233,8,featurehouse,Neural networks,0.888392857142857,0.3781746031746031,0.5305167339905335,0.051896095275878906
EmailSystem_Java,java,1233,8,featurehouse,Extended boolean,0.9092261904761905,0.38511904761904764,0.5410617109570892,0.05100393295288086
Graph_Product_Line,java,1350,26,featurehouse,Classic vector model,0.6856060606060607,0.19982964944611623,0.30946214884639883,0.1201469898223877
Graph_Product_Line,java,1350,26,featurehouse,Latent semantic indexing,0.6185897435897437,0.03279056178460134,0.062279762035000824,1.131592035293579
Graph_Product_Line,java,1350,26,featurehouse,BM25,0.6553030303030303,0.20345886842922417,0.31051031309265154,0.11024999618530273
Graph_Product_Line,java,1350,26,featurehouse,Neural networks,0.5958333333333334,0.21803147303147302,0.3192432412163756,0.24827194213867188
Graph_Product_Line,java,1350,26,featurehouse,Extended boolean,0.47348484848484845,0.2236085576994668,0.3037620586365252,0.2572500705718994
Prevayler,java,80000,5,cide,Classic vector model,1.0,0.7672325976230899,0.8682870592756268,0.24119806289672852
Prevayler,java,80000,5,cide,Latent semantic indexing,1.0,0.37715914551427693,0.5477350192136773,9.319115161895752
Prevayler,java,80000,5,cide,BM25,1.0,0.7672325976230899,0.8682870592756268,0.31267285346984863
Prevayler,java,80000,5,cide,Neural networks,1.0,0.7672325976230899,0.8682870592756268,0.7699439525604248
Prevayler,java,80000,5,cide,Extended boolean,1.0,0.7672325976230899,0.8682870592756268,0.619664192199707
BankAccountv2,java,95,8,featurehouse,Classic vector model,0.9083333333333333,0.5882211538461539,0.714041334261391,0.0052220821380615234
BankAccountv2,java,95,8,featurehouse,Latent semantic indexing,0.9083333333333333,0.2617423488347402,0.4063827730374189,0.027426958084106445
BankAccountv2,java,95,8,featurehouse,BM25,0.9083333333333333,0.5861607142857144,0.7125211590162303,0.003757953643798828
BankAccountv2,java,95,8,featurehouse,Neural networks,0.8458333333333333,0.5861607142857144,0.6924529772420243,0.011078834533691406
BankAccountv2,java,95,8,featurehouse,Extended boolean,0.8833333333333333,0.590625,0.7079151943462897,0.009863853454589844
Pynche,python,2400,12,cide,Classic vector model,1.0,0.37100168350168355,0.5412125863392172,0.04251503944396973
Pynche,python,2400,12,cide,Latent semantic indexing,1.0,0.2149621212121212,0.35385814497272017,1.8217689990997314
Pynche,python,2400,12,cide,BM25,0.8181818181818182,0.5681818181818182,0.6706408345752608,0.037535905838012695
Pynche,python,2400,12,cide,Neural networks,1.0,0.3964646464646465,0.5678119349005425,0.08516192436218262
Pynche,python,2400,12,cide,Extended boolean,1.0,0.4642857142857143,0.6341463414634146,0.10039782524108887
Elevator_C,c,877,5,featurehouse,Classic vector model,0.875,0.49999999999999994,0.6363636363636362,0.0036590099334716797
Elevator_C,c,877,5,featurehouse,Latent semantic indexing,1.0,0.17662337662337663,0.30022075055187636,0.04192209243774414
Elevator_C,c,877,5,featurehouse,BM25,0.875,0.49999999999999994,0.6363636363636362,0.003998994827270508
Elevator_C,c,877,5,featurehouse,Neural networks,0.875,0.49999999999999994,0.6363636363636362,0.0073740482330322266
Elevator_C,c,877,5,featurehouse,Extended boolean,0.875,0.49999999999999994,0.6363636363636362,0.009228944778442383
EmailSystem_C,c,258,8,featurehouse,Classic vector model,0.9583333333333334,0.4700892857142857,0.6307688300864674,0.01751089096069336
EmailSystem_C,c,258,8,featurehouse,Latent semantic indexing,0.9583333333333334,0.17283373722125112,0.292852109675529,0.1314539909362793
EmailSystem_C,c,258,8,featurehouse,BM25,0.9583333333333334,0.4700892857142857,0.6307688300864674,0.017271041870117188
EmailSystem_C,c,258,8,featurehouse,Neural networks,0.8958333333333334,0.4594832251082251,0.6074158639849611,0.046427011489868164
EmailSystem_C,c,258,8,featurehouse,Extended boolean,0.9583333333333334,0.4700892857142857,0.6307688300864674,0.04488682746887207
FAME_DBMS,cpp,5000,4,cide,Classic vector model,1.0,0.29444444444444445,0.45493562231759654,0.021625041961669922
FAME_DBMS,cpp,5000,4,cide,Latent semantic indexing,1.0,0.20892857142857144,0.3456425406203841,0.7132680416107178
FAME_DBMS,cpp,5000,4,cide,BM25,1.0,0.3111111111111111,0.4745762711864407,0.024147987365722656
FAME_DBMS,cpp,5000,4,cide,Neural networks,1.0,0.29444444444444445,0.45493562231759654,0.0426630973815918
FAME_DBMS,cpp,5000,4,cide,Extended boolean,1.0,0.29444444444444445,0.45493562231759654,0.05928802490234375
Arithmetic_Expression_Evaluator,haskell,460,16,cide,Classic vector model,0.5909090909090909,1.0,0.7428571428571429,0.003147125244140625
Arithmetic_Expression_Evaluator,haskell,460,16,cide,Latent semantic indexing,0.90625,0.9375,0.9216101694915254,0.09973406791687012
Arithmetic_Expression_Evaluator,haskell,460,16,cide,BM25,0,0,0,0.0028429031372070312
