project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
Arithmetic_Expression_Evaluator,haskell,460,16,cide,Classic vector model,0.5909090909090909,1.0,0.7428571428571429,0.003964424133300781
Arithmetic_Expression_Evaluator,haskell,460,16,cide,BM25,0.5909090909090909,1.0,0.7428571428571429,0.011810541152954102
Arithmetic_Expression_Evaluator,haskell,460,16,cide,Neural networks,0.5454545454545454,1.0,0.7058823529411764,0.48254895210266113
Arithmetic_Expression_Evaluator,haskell,460,16,cide,Extended boolean,0.5909090909090909,1.0,0.7428571428571429,0.9316847324371338
Arithmetic_Expression_Evaluator,haskell,460,16,cide,Latent semantic indexing,1.0,0.9333333333333333,0.9655172413793104,3.6386561393737793
FAME_DBMS,cpp,5000,4,cide,Classic vector model,1.0,0.33611111111111114,0.5031185031185031,0.1018228530883789
FAME_DBMS,cpp,5000,4,cide,BM25,1.0,0.33611111111111114,0.5031185031185031,0.12241220474243164
FAME_DBMS,cpp,5000,4,cide,Neural networks,1.0,0.33611111111111114,0.5031185031185031,0.6319088935852051
FAME_DBMS,cpp,5000,4,cide,Extended boolean,1.0,0.33611111111111114,0.5031185031185031,0.90423583984375
FAME_DBMS,cpp,5000,4,cide,Latent semantic indexing,1.0,0.21103896103896105,0.3485254691689008,3.7472341060638428
Pynche,python,2400,12,cide,Classic vector model,1.0,0.37100168350168355,0.5412125863392172,0.2524099349975586
Pynche,python,2400,12,cide,BM25,0.9696969696969696,0.45833333333333326,0.6224580017683465,0.3529636859893799
Pynche,python,2400,12,cide,Neural networks,1.0,0.37100168350168355,0.5412125863392172,2.0982775688171387
Pynche,python,2400,12,cide,Extended boolean,1.0,0.3964646464646465,0.5678119349005425,2.115546464920044
Pynche,python,2400,12,cide,Latent semantic indexing,1.0,0.1444444444444444,0.25242718446601936,6.33716344833374
Elevator_C,c,877,5,featurehouse,Classic vector model,0.875,0.49999999999999994,0.6363636363636362,0.003962278366088867
Elevator_C,c,877,5,featurehouse,BM25,0.875,0.49999999999999994,0.6363636363636362,0.15717387199401855
Elevator_C,c,877,5,featurehouse,Extended boolean,0.875,0.49999999999999994,0.6363636363636362,0.7011325359344482
