project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
MinePump_C,c,20,279,6,featurehouse,BM25,1.0,0.7333333333333333,0.846153846153846,0.08160114288330078
MinePump_C,c,20,279,6,featurehouse,Classic vector model,1.0,0.7333333333333333,0.846153846153846,0.0035262107849121094
MinePump_C,c,20,279,6,featurehouse,Neural networks,1.0,0.7333333333333333,0.846153846153846,0.21504592895507812
MinePump_C,c,20,279,6,featurehouse,Extended boolean,1.0,0.7333333333333333,0.846153846153846,0.22661590576171875
NetBot,cs,31,1579,4,featurehouse,BM25,1.0,0.7083333333333334,0.8292682926829268,0.1454761028289795
NetBot,cs,31,1579,4,featurehouse,Classic vector model,0.85,0.481060606060606,0.614399544678429,0.06683683395385742
NetBot,cs,31,1579,4,featurehouse,Neural networks,0.8,0.7083333333333334,0.7513812154696135,0.29739904403686523
NetBot,cs,31,1579,4,featurehouse,Extended boolean,0.8,0.7083333333333334,0.7513812154696135,0.7157459259033203
FAME_DBMS,cpp,14,5000,4,cide,BM25,1.0,0.33611111111111114,0.5031185031185031,0.09465694427490234
FAME_DBMS,cpp,14,5000,4,cide,Classic vector model,0.75,0.30833333333333335,0.43700787401574803,0.22610902786254883
FAME_DBMS,cpp,14,5000,4,cide,Extended boolean,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.9036040306091309
FAME_DBMS,cpp,14,5000,4,cide,Neural networks,1.0,0.35625,0.5253456221198157,2.369863986968994
Elevator_Java,java,23,1046,5,featurehouse,BM25,0.7,0.36904761904761907,0.4832962138084633,0.11641502380371094
Elevator_Java,java,23,1046,5,featurehouse,Classic vector model,0.7,0.38333333333333336,0.49538461538461537,0.01645207405090332
Elevator_Java,java,23,1046,5,featurehouse,Extended boolean,0.375,0.3125,0.3409090909090909,0.2160179615020752
Elevator_Java,java,23,1046,5,featurehouse,Neural networks,0.7,0.36904761904761907,0.4832962138084633,0.3623189926147461
EmailSystem_C,c,44,258,8,featurehouse,BM25,0.9583333333333333,0.47008928571428565,0.6307688300864673,0.1033320426940918
EmailSystem_C,c,44,258,8,featurehouse,Classic vector model,0.9583333333333333,0.47521749084249076,0.6353688399142945,0.23825907707214355
EmailSystem_C,c,44,258,8,featurehouse,Neural networks,0.8645833333333333,0.4575892857142857,0.598445413618458,0.816554069519043
EmailSystem_C,c,44,258,8,featurehouse,Extended boolean,0.5416666666666666,0.41160714285714284,0.46776459569153916,0.9384939670562744
Lampiro,java,147,45000,17,cide,BM25,0.9090909090909091,0.2171921074094987,0.3506176821981761,296.04779386520386
Lampiro,java,147,45000,17,cide,Classic vector model,0.9230769230769231,0.18295884871971826,0.3053881175136991,295.6116690635681
Lampiro,java,147,45000,17,cide,Neural networks,0.8181818181818182,0.21751934933753117,0.3436712872632393,506.01444721221924
Lampiro,java,147,45000,17,cide,Extended boolean,0.6166666666666667,0.5740740740740741,0.5946086054950752,520.7545499801636
Prevayler,java,140,80000,5,cide,BM25,1.0,0.7672325976230899,0.8682870592756268,15.469150066375732
Prevayler,java,140,80000,5,cide,Classic vector model,1.0,0.7672325976230899,0.8682870592756268,11.963623046875
Prevayler,java,140,80000,5,cide,Neural networks,0.9800000000000001,0.7665413533834586,0.8602264410865729,25.496922969818115
Prevayler,java,140,80000,5,cide,Extended boolean,0.82,0.7236842105263157,0.7688373678827138,25.80033802986145
Pynche,python,12,2400,12,cide,BM25,1.0,0.4642857142857143,0.6341463414634146,1.0859229564666748
Pynche,python,12,2400,12,cide,Classic vector model,1.0,0.37100168350168355,0.5412125863392172,0.4129500389099121
Pynche,python,12,2400,12,cide,Neural networks,1.0,0.37100168350168355,0.5412125863392172,2.6106932163238525
Pynche,python,12,2400,12,cide,Extended boolean,1.0,0.4642857142857143,0.6341463414634146,3.738835096359253
Arithmetic_Expression_Evaluator,haskell,2,460,16,cide,BM25,0.6111111111111112,1.0,0.7586206896551725,0.03546309471130371
Arithmetic_Expression_Evaluator,haskell,2,460,16,cide,Classic vector model,0.55,1.0,0.7096774193548387,0.025049924850463867
Arithmetic_Expression_Evaluator,haskell,2,460,16,cide,Neural networks,0.5555555555555556,1.0,0.7142857142857143,0.7087011337280273
Arithmetic_Expression_Evaluator,haskell,2,460,16,cide,Extended boolean,0.5454545454545454,1.0,0.7058823529411764,0.775580883026123
Mobile_RSS_Reader,java,99,20000,27,cide,BM25,0.7191495726495726,0.45955738527406675,0.5607678736536489,165.65455102920532
Mobile_RSS_Reader,java,99,20000,27,cide,Classic vector model,0.7252393162393163,0.45077379685310337,0.5559782906649502,166.57193803787231
Mobile_RSS_Reader,java,99,20000,27,cide,Neural networks,0.755686274509804,0.4689045183290707,0.5787152910654496,301.24010610580444
Mobile_RSS_Reader,java,99,20000,27,cide,Extended boolean,0.75,0.6481481481481481,0.695364238410596,301.70250701904297
BankAccountv2,java,30,95,8,featurehouse,BM25,0.9083333333333333,0.5861607142857144,0.7125211590162303,0.048645973205566406
BankAccountv2,java,30,95,8,featurehouse,Classic vector model,0.8416666666666667,0.5772321428571429,0.6848085998951232,0.06058502197265625
BankAccountv2,java,30,95,8,featurehouse,Extended boolean,0.9166666666666666,0.725,0.8096446700507615,0.29518699645996094
BankAccountv2,java,30,95,8,featurehouse,Neural networks,0.7,0.49238782051282054,0.5781197500168,0.33153700828552246
Mobile_Media,java,51,5700,23,cide,BM25,0.8092902711323763,0.27468462294924734,0.4101563499232699,10.690392971038818
Mobile_Media,java,51,5700,23,cide,Classic vector model,0.67811004784689,0.26353404069110486,0.3795597150082225,12.363950967788696
Mobile_Media,java,51,5700,23,cide,Extended boolean,0.25549242424242424,0.325,0.28608482871125607,33.99428200721741
Mobile_Media,java,51,5700,23,cide,Neural networks,0.46838118022328545,0.2531426605730011,0.3286579082215548,34.11085891723633
BattleOfTanks,java,11,1975,132,antenna,BM25,0.9846153846153847,0.9717948717948718,0.9781631212823872,1.8258330821990967
BattleOfTanks,java,11,1975,132,antenna,Classic vector model,0.9923664122137404,0.967239185750636,0.979641700873879,2.2848598957061768
BattleOfTanks,java,11,1975,132,antenna,Neural networks,0.9923664122137404,0.967239185750636,0.979641700873879,11.041264057159424
BattleOfTanks,java,11,1975,132,antenna,Extended boolean,0.9923076923076923,0.9737179487179487,0.9829249329086303,15.999905109405518
Prop4J,java,22,2051,14,featurehouse,BM25,0.9,0.24861111111111112,0.3896009673518742,0.6859350204467773
Prop4J,java,22,2051,14,featurehouse,Classic vector model,0.9090909090909091,0.22046959279579595,0.3548759047556277,0.10219907760620117
Prop4J,java,22,2051,14,featurehouse,Neural networks,0.9,0.24135854341736693,0.38063882787478676,2.204713821411133
Prop4J,java,22,2051,14,featurehouse,Extended boolean,0.75,0.4166666666666667,0.5357142857142857,2.6575889587402344
EmailSystem_Java,java,39,1233,8,featurehouse,BM25,0.9092261904761905,0.3851190476190476,0.5410617109570891,0.4503650665283203
EmailSystem_Java,java,39,1233,8,featurehouse,Classic vector model,0.8467261904761905,0.3837301587301587,0.5281201168688067,0.21389198303222656
EmailSystem_Java,java,39,1233,8,featurehouse,Neural networks,0.7842261904761905,0.3712301587301587,0.5039193620265998,1.3621189594268799
EmailSystem_Java,java,39,1233,8,featurehouse,Extended boolean,0.5416666666666666,0.43333333333333335,0.4814814814814815,1.8024649620056152
DesktopSearcher,java,74,3779,15,ahead,BM25,0.6474358974358974,0.358004158004158,0.4610612876801663,6.94300103187561
DesktopSearcher,java,74,3779,15,ahead,Classic vector model,0.7083333333333333,0.3313271748709338,0.4514744579566815,6.750264883041382
DesktopSearcher,java,74,3779,15,ahead,Neural networks,0.5897435897435896,0.3765160765160766,0.4596030452565561,14.65543794631958
DesktopSearcher,java,74,3779,15,ahead,Extended boolean,0.4930555555555555,0.3625,0.41781655844155846,15.389613151550293
Graph_Product_Line,java,67,1350,26,featurehouse,BM25,0.6553030303030304,0.2051166157248433,0.31243717056092796,6.278371095657349
Graph_Product_Line,java,67,1350,26,featurehouse,Classic vector model,0.662878787878788,0.20159120033131891,0.3091617577131575,6.4149839878082275
Graph_Product_Line,java,67,1350,26,featurehouse,Neural networks,0.4958333333333333,0.23665187915187916,0.32038842035146825,13.562166929244995
Graph_Product_Line,java,67,1350,26,featurehouse,Extended boolean,0.467948717948718,0.34487179487179487,0.39709212974197206,13.91984486579895
Elevator_C,c,19,877,5,featurehouse,BM25,0.875,0.49999999999999994,0.6363636363636362,0.056294918060302734
Elevator_C,c,19,877,5,featurehouse,Classic vector model,0.875,0.49999999999999994,0.6363636363636362,0.006448984146118164
Elevator_C,c,19,877,5,featurehouse,Extended boolean,0.625,0.41666666666666663,0.5,0.1502230167388916
Elevator_C,c,19,877,5,featurehouse,Neural networks,0.875,0.49999999999999994,0.6363636363636362,0.2281498908996582
MinePump_Java,java,24,580,6,featurehouse,BM25,0.75,0.23769841269841271,0.3609883487344315,0.008030891418457031
MinePump_Java,java,24,580,6,featurehouse,Classic vector model,0.75,0.24166666666666667,0.36554621848739494,0.008060932159423828
MinePump_Java,java,24,580,6,featurehouse,Extended boolean,0.5,0.21666666666666665,0.3023255813953488,0.32158398628234863
MinePump_Java,java,24,580,6,featurehouse,Neural networks,0.75,0.23769841269841271,0.3609883487344315,0.3371567726135254
Chat_HyperJ,java,39,758,3,hyperj,BM25,1.0,0.3296296296296296,0.4958217270194986,0.2921130657196045
Chat_HyperJ,java,39,758,3,hyperj,Classic vector model,1.0,0.28454106280193237,0.4430236931177134,0.08155703544616699
Chat_HyperJ,java,39,758,3,hyperj,Neural networks,0.6666666666666666,0.25555555555555554,0.3694779116465863,0.9333021640777588
Chat_HyperJ,java,39,758,3,hyperj,Extended boolean,0.75,0.55,0.6346153846153847,0.9078629016876221
Email_JML,java,17,1233,8,featurehouse,BM25,0.875,0.32222222222222224,0.4709976798143852,0.0308988094329834
Email_JML,java,17,1233,8,featurehouse,Classic vector model,0.875,0.3261904761904762,0.47522299306243804,0.054724931716918945
Email_JML,java,17,1233,8,featurehouse,Extended boolean,0.8,0.3466666666666667,0.4837209302325582,0.17337489128112793
