sample,project,language,files,loc,features,variability_impl_technology,Method,recall,precision,fmeasure,performance
SPL,MinePump_C,C,20,279,6,FeatureHouse,BM25,1.0,0.7333333333333333,0.846153846153846,0.08160114288330078
SPL,MinePump_C,C,20,279,6,FeatureHouse,CV,1.0,0.7333333333333333,0.846153846153846,0.0035262107849121094
SPL,MinePump_C,C,20,279,6,FeatureHouse,LSI,1.0,0.2718253968253968,0.42745709828393136,0.5790798664093018
SPL,MinePump_C,C,20,279,6,FeatureHouse,NN,1.0,0.7333333333333333,0.846153846153846,0.21504592895507812
SPL,MinePump_C,C,20,279,6,FeatureHouse,EB,1.0,0.7333333333333333,0.846153846153846,0.22661590576171875
SPL,NetBot,C#,31,1579,4,FeatureHouse,BM25,1.0,0.7083333333333334,0.8292682926829268,0.1454761028289795
SPL,NetBot,C#,31,1579,4,FeatureHouse,CV,0.85,0.481060606060606,0.614399544678429,0.06683683395385742
SPL,NetBot,C#,31,1579,4,FeatureHouse,LSI,1.0,0.4724893162393162,0.641755849809541,1.859933853149414
SPL,NetBot,C#,31,1579,4,FeatureHouse,NN,0.8,0.7083333333333334,0.7513812154696135,0.29739904403686523
SPL,NetBot,C#,31,1579,4,FeatureHouse,EB,0.8,0.7083333333333334,0.7513812154696135,0.7157459259033203
SPL,FAME_DBMS,C++,14,5000,4,CIDE,BM25,1.0,0.33611111111111114,0.5031185031185031,0.09465694427490234
SPL,FAME_DBMS,C++,14,5000,4,CIDE,CV,0.75,0.30833333333333335,0.43700787401574803,0.22610902786254883
SPL,FAME_DBMS,C++,14,5000,4,CIDE,LSI,1.0,0.29444444444444445,0.45493562231759654,6.778286933898926
SPL,FAME_DBMS,C++,14,5000,4,CIDE,EB,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.9036040306091309
SPL,FAME_DBMS,C++,14,5000,4,CIDE,NN,1.0,0.35625,0.5253456221198157,2.369863986968994
SPL,Elevator_Java,Java,23,1046,5,FeatureHouse,BM25,0.7,0.36904761904761907,0.4832962138084633,0.11641502380371094
SPL,Elevator_Java,Java,23,1046,5,FeatureHouse,CV,0.7,0.38333333333333336,0.49538461538461537,0.01645207405090332
SPL,Elevator_Java,Java,23,1046,5,FeatureHouse,LSI,0.7,0.1576190476190476,0.25730149916712935,1.5440559387207031
SPL,Elevator_Java,Java,23,1046,5,FeatureHouse,EB,0.375,0.3125,0.3409090909090909,0.2160179615020752
SPL,Elevator_Java,Java,23,1046,5,FeatureHouse,NN,0.7,0.36904761904761907,0.4832962138084633,0.3623189926147461
SPL,EmailSystem_C,C,44,258,8,FeatureHouse,BM25,0.9583333333333333,0.47008928571428565,0.6307688300864673,0.1033320426940918
SPL,EmailSystem_C,C,44,258,8,FeatureHouse,CV,0.9583333333333333,0.47521749084249076,0.6353688399142945,0.23825907707214355
SPL,EmailSystem_C,C,44,258,8,FeatureHouse,LSI,0.9583333333333333,0.18657658612069783,0.312343458049987,2.6111819744110107
SPL,EmailSystem_C,C,44,258,8,FeatureHouse,NN,0.8645833333333333,0.4575892857142857,0.598445413618458,0.816554069519043
SPL,EmailSystem_C,C,44,258,8,FeatureHouse,EB,0.5416666666666666,0.41160714285714284,0.46776459569153916,0.9384939670562744
SPL,Lampiro,Java,147,45000,17,CIDE,BM25,0.9090909090909091,0.2171921074094987,0.3506176821981761,296.04779386520386
SPL,Lampiro,Java,147,45000,17,CIDE,CV,0.9230769230769231,0.18295884871971826,0.3053881175136991,295.6116690635681
SPL,Lampiro,Java,147,45000,17,CIDE,LSI,1.0,0.03250945973776515,0.06297174215918921,611.3703870773315
SPL,Lampiro,Java,147,45000,17,CIDE,NN,0.8181818181818182,0.21751934933753117,0.3436712872632393,506.01444721221924
SPL,Lampiro,Java,147,45000,17,CIDE,EB,0.6166666666666667,0.5740740740740741,0.5946086054950752,520.7545499801636
SPL,Prevayler,Java,140,80000,5,CIDE,BM25,1.0,0.7672325976230899,0.8682870592756268,15.469150066375732
SPL,Prevayler,Java,140,80000,5,CIDE,CV,1.0,0.7672325976230899,0.8682870592756268,11.963623046875
SPL,Prevayler,Java,140,80000,5,CIDE,LSI,1.0,0.4474161714770798,0.6182274045211119,52.22019696235657
SPL,Prevayler,Java,140,80000,5,CIDE,NN,0.9800000000000001,0.7665413533834586,0.8602264410865729,25.496922969818115
SPL,Prevayler,Java,140,80000,5,CIDE,EB,0.82,0.7236842105263157,0.7688373678827138,25.80033802986145
SPL,Pynche,Python,12,2400,12,CIDE,BM25,1.0,0.4642857142857143,0.6341463414634146,1.0859229564666748
SPL,Pynche,Python,12,2400,12,CIDE,CV,1.0,0.37100168350168355,0.5412125863392172,0.4129500389099121
SPL,Pynche,Python,12,2400,12,CIDE,LSI,1.0,0.18863636363636369,0.31739961759082225,13.541697025299072
