projectandfeature,methodname,totaltraces,truetraces,precision,recall
sylpheed-3.5.1-yy_read_buf_size,BM25,212,1,0.0047169811320754715,1.0
sylpheed-3.5.1-have_mlock,BM25,1,1,1.0,1.0
sylpheed-3.5.1-g_os_win32,BM25,16,1,0.0,0.0
sylpheed-3.5.1-_path_maildir,BM25,92,1,0.010869565217391304,1.0
sylpheed-3.5.1-have_64bit_time_t,BM25,85,1,0.011764705882352941,1.0
sylpheed-3.5.1-g_enable_debug,BM25,99,1,0.010101010101010102,1.0
sylpheed-3.5.1-sizeof_unsigned_int,BM25,1,1,1.0,1.0
sylpheed-3.5.1-have_libpisock_pi_address_h,BM25,180,1,0.005555555555555556,1.0
sylpheed-3.5.1-yy_typedef_yy_buffer_state,BM25,79,1,0.012658227848101266,1.0
sylpheed-3.5.1-big_endian_host,BM25,41,1,0.024390243902439025,1.0
sylpheed-3.5.1-yy_start_stack_incr,BM25,120,1,0.008333333333333333,1.0
sylpheed-3.5.1-uint32_max,BM25,55,1,0.01818181818181818,1.0
sylpheed-3.5.1-use_jpilot,BM25,11,1,0.09090909090909091,1.0
sylpheed-3.5.1-size_t,BM25,138,1,0.007246376811594203,1.0
sylpheed-3.5.1-egg_compilation,BM25,3,1,0.3333333333333333,1.0
sylpheed-3.5.1-_win64,BM25,1,1,1.0,1.0
sylpheed-3.5.1-dev_standalone,BM25,4,1,0.0,0.0
sylpheed-3.5.1-yy_typedef_yy_size_t,BM25,147,1,0.006802721088435374,1.0
sylpheed-3.5.1-yy_input,BM25,35,1,0.02857142857142857,1.0
sylpheed-3.5.1-have_iconv,BM25,4,1,0.25,1.0
sylpheed-3.5.1-yy_,BM25,12,1,0.08333333333333333,1.0
sylpheed-3.5.1-yycopy,BM25,1,1,1.0,1.0
sylpheed-3.5.1-devel_version,BM25,1,1,1.0,1.0
sylpheed-3.5.1-yy_no_unistd_h,BM25,34,1,0.029411764705882353,1.0
sylpheed-3.5.1-have_sys_wait_h,BM25,53,1,0.018867924528301886,1.0
sylpheed-3.5.1-have_flock,BM25,3,1,0.3333333333333333,1.0
sylpheed-3.5.1-yymalloc,BM25,1,1,1.0,1.0
sylpheed-3.5.1-yystrlen,BM25,1,1,1.0,1.0
sylpheed-3.5.1-g_os_unix,BM25,12,1,0.0,0.0
sylpheed-3.5.1-yy_stdinit,BM25,12,1,0.08333333333333333,1.0
sylpheed-3.5.1-winver,BM25,1,1,1.0,1.0
sylpheed-3.5.1-use_update_check_plugin,BM25,113,1,0.008849557522123894,1.0
sylpheed-3.5.1-yystype,BM25,2,1,0.5,1.0
sylpheed-3.5.1-have_dirent_d_type,BM25,126,1,0.007936507936507936,1.0
sylpheed-3.5.1-g_big_endian,BM25,8,1,0.125,1.0
sylpheed-3.5.1-yylloc_default,BM25,2,1,0.5,1.0
sylpheed-3.5.1-maxpathlen,BM25,4,1,0.25,1.0
sylpheed-3.5.1-yy_buf_size,BM25,192,1,0.005208333333333333,1.0
sylpheed-3.5.1-flexint_h,BM25,1,1,1.0,1.0
sylpheed-3.5.1-_msc_ver,BM25,2,1,0.5,1.0
sylpheed-3.5.1-have_sys_utsname_h,BM25,42,1,0.023809523809523808,1.0
sylpheed-3.5.1-gpgmegtk_sigstatus_h,BM25,13,1,0.07692307692307693,1.0
sylpheed-3.5.1-have_truncate,BM25,12,1,0.08333333333333333,1.0
sylpheed-3.5.1-yytype_int16,BM25,5,1,0.2,1.0
sylpheed-3.5.1-echo,BM25,5,1,0.2,1.0
sylpheed-3.5.1-uint8_max,BM25,88,1,0.011363636363636364,1.0
sylpheed-3.5.1-_alloca_h,BM25,26,1,0.038461538461538464,1.0
sylpheed-3.5.1-yytype_uint16,BM25,5,1,0.2,1.0
sylpheed-3.5.1-have_sys_param_h,BM25,64,1,0.015625,1.0
sylpheed-3.5.1-g_byte_order,BM25,124,1,0.008064516129032258,1.0
sylpheed-3.5.1-yyerror_verbose,BM25,5,1,0.2,1.0
sylpheed-3.5.1-pilot_link_major,BM25,52,1,0.019230769230769232,1.0
sylpheed-3.5.1-yyinitdepth,BM25,1,1,1.0,1.0
sylpheed-3.5.1-_string_h,BM25,115,1,0.008695652173913044,1.0
sylpheed-3.5.1-measure_time,BM25,83,1,0.012048192771084338,1.0
sylpheed-3.5.1-yytokentype,BM25,2,1,0.5,1.0
sylpheed-3.5.1-use_xim,BM25,11,1,0.0,0.0
sylpheed-3.5.1-use_ldap,BM25,17,1,0.058823529411764705,1.0
sylpheed-3.5.1-have_liblockfile,BM25,1,1,1.0,1.0
sylpheed-3.5.1-package,BM25,6,1,0.16666666666666666,1.0
sylpheed-3.5.1-int8_min,BM25,84,1,0.011904761904761904,1.0
sylpheed-3.5.1-sizeof_unsigned_long,BM25,1,1,1.0,1.0
sylpheed-3.5.1-uint16_max,BM25,52,1,0.019230769230769232,1.0
sylpheed-3.5.1-yy_exit_failure,BM25,38,1,0.02631578947368421,1.0
sylpheed-3.5.1-yystack_use_alloca,BM25,27,1,0.037037037037037035,1.0
sylpheed-3.5.1-have_u32_typedef,BM25,2,1,0.5,1.0
sylpheed-3.5.1-yylex_param,BM25,39,1,0.02564102564102564,1.0
sylpheed-3.5.1-gpgmegtk_passphrase_h,BM25,10,1,0.1,1.0
sylpheed-3.5.1-have_sys_mman_h,BM25,60,1,0.016666666666666666,1.0
sylpheed-3.5.1-yymaxdepth,BM25,2,1,0.5,1.0
sylpheed-3.5.1-have_regcomp,BM25,1,1,0.0,0.0
sylpheed-3.5.1-gdk_windowing_x11,BM25,117,1,0.008547008547008548,1.0
sylpheed-3.5.1-yytnamerr,BM25,1,1,1.0,1.0
sylpheed-3.5.1-int16_max,BM25,52,1,0.019230769230769232,1.0
sylpheed-3.5.1-have_gpgme_io_writen,BM25,14,1,0.07142857142857142,1.0
sylpheed-3.5.1-gtk_stock_edit,BM25,201,1,0.004975124378109453,1.0
sylpheed-3.5.1-yyfree,BM25,1,1,1.0,1.0
sylpheed-3.5.1-use_update_check,BM25,107,1,0.009345794392523364,1.0
sylpheed-3.5.1-have_regex_h,BM25,4,1,0.25,1.0
sylpheed-3.5.1-yyterminate,BM25,1,1,1.0,1.0
sylpheed-3.5.1-yy_break,BM25,12,1,0.08333333333333333,1.0
sylpheed-3.5.1-yydebug,BM25,2,1,0.5,1.0
sylpheed-3.5.1-yy_decl,BM25,20,1,0.05,1.0
sylpheed-3.5.1-have_locale_h,BM25,22,1,0.045454545454545456,1.0
sylpheed-3.5.1-use_gpgme,BM25,14,1,0.07142857142857142,1.0
sylpheed-3.5.1-yyoverflow,BM25,1,1,1.0,1.0
sylpheed-3.5.1-pango_enable_engine,BM25,51,1,0.0196078431372549,1.0
sylpheed-3.5.1-yyfprintf,BM25,1,1,1.0,1.0
sylpheed-3.5.1-yyparse_param,BM25,39,1,0.02564102564102564,1.0
sylpheed-3.5.1-yytype_uint8,BM25,39,1,0.02564102564102564,1.0
sylpheed-3.5.1-yystype_is_trivial,BM25,3,1,0.3333333333333333,1.0
sylpheed-3.5.1-sparse_memory,BM25,14,1,0.07142857142857142,1.0
sylpheed-3.5.1-have_inet_aton,BM25,4,1,0.25,1.0
sylpheed-3.5.1-have_libpisock_pi_args_h,BM25,152,1,0.006578947368421052,1.0
sylpheed-3.5.1-yysize_t,BM25,1,1,1.0,1.0
sylpheed-3.5.1-yy_extra_type,BM25,32,1,0.03125,1.0
sylpheed-3.5.1-yytype_int8,BM25,39,1,0.02564102564102564,1.0
sylpheed-3.5.1-yyenable_nls,BM25,3,1,0.3333333333333333,1.0
sylpheed-3.5.1-mime_debug,BM25,112,1,0.008928571428571428,1.0
sylpheed-3.5.1-constants,BM25,1,1,0.0,0.0
sylpheed-3.5.1-yystype_is_declared,BM25,2,1,0.5,1.0
sylpheed-3.5.1-have_sys_select_h,BM25,114,1,0.008771929824561403,1.0
sylpheed-3.5.1-use_simple_gettext,BM25,25,1,0.04,1.0
