project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
privoxy-3.0.26,c,30687,168,preprocessor,BM25,0.9920091324200911,0.126355185290236,0.2241586140608846,13.844067811965942
privoxy-3.0.26,c,30687,168,preprocessor,Neural networks,0.8066666666666666,0.13003992866815092,0.22397381701964683,29.039241075515747
privoxy-3.0.26,c,30687,168,preprocessor,Classic vector model,0.9372146118721459,0.07034100437896804,0.13086050249617387,15.1820969581604
privoxy-3.0.26,c,30687,168,preprocessor,Extended boolean,0.9553140096618357,0.15248202473727193,0.2629874271614125,30.045380115509033
xfig-3.2.6,c,73143,162,preprocessor,BM25,0.965034965034965,0.30206165493293663,0.46010707315120847,114.13559198379517
xfig-3.2.6,c,73143,162,preprocessor,Neural networks,0.8943661971830986,0.30415636241597416,0.45393750334414584,228.33219003677368
xfig-3.2.6,c,73143,162,preprocessor,Classic vector model,0.958041958041958,0.29048350400224404,0.4457984933644008,112.99853992462158
xfig-3.2.6,c,73143,162,preprocessor,Extended boolean,0.9370629370629371,0.31467235441157604,0.47113443656297965,233.87338495254517
sendmail-8.15.2,c,93613,961,preprocessor,BM25,0.997828447339848,0.18322145400839945,0.3095950116313379,829.9267919063568
sendmail-8.15.2,c,93613,961,preprocessor,Neural networks,0.7736777367773677,0.2201258090680359,0.342736627330444,1673.6851518154144
sendmail-8.15.2,c,93613,961,preprocessor,Classic vector model,0.9368879216539717,0.17468003368733678,0.2944590349683552,840.2044680118561
sendmail-8.15.2,c,93613,961,preprocessor,Extended boolean,0.8592508513053349,0.21164951966812787,0.33963949379883185,1682.4052629470825
emacs-25.2,c,50294,374,preprocessor,BM25,0.9659961685823756,0.18089977741987945,0.3047329489551871,984.4136610031128
emacs-25.2,c,50294,374,preprocessor,Neural networks,0.8050213675213675,0.30225759344024195,0.43949868062817354,1937.8747630119324
emacs-25.2,c,50294,374,preprocessor,Classic vector model,0.8404761904761905,0.09714308962119389,0.17415694329030462,986.0963702201843
emacs-25.2,c,50294,374,preprocessor,Extended boolean,0.833879781420765,0.30930131502029923,0.45123229165568896,1986.7606859207153
xterm-3.3.0,c,71817,551,preprocessor,BM25,0.9770576131687243,0.2725228306230685,0.42617585405638164,163.5697100162506
xterm-3.3.0,c,71817,551,preprocessor,Neural networks,0.8026483050847458,0.287205874025735,0.42303881090824424,307.30546498298645
xterm-3.3.0,c,71817,551,preprocessor,Classic vector model,0.8577160493827161,0.2369199190958876,0.37128328116137443,153.0488841533661
xterm-3.3.0,c,71817,551,preprocessor,Extended boolean,0.8434924078091107,0.31579428790151454,0.45954134600178626,335.27746200561523
gnuplot-4.4.2,c,79123,490,preprocessor,BM25,0.9654332243460765,0.20863044958778706,0.3431138738283713,445.83793902397156
gnuplot-4.4.2,c,79123,490,preprocessor,Neural networks,0.8134133439132447,0.23484118811103602,0.3644591084973864,907.1515860557556
gnuplot-4.4.2,c,79123,490,preprocessor,Classic vector model,0.9372556927467891,0.18807451814175774,0.31328388962345194,500.09360814094543
gnuplot-4.4.2,c,79123,490,preprocessor,Extended boolean,0.9300781754748675,0.24559256520619333,0.3885786675695372,906.920224905014
irssi-1.0.3,c,55138,159,preprocessor,BM25,0.9795918367346939,0.2004249639484309,0.3327658698555273,104.74706506729126
irssi-1.0.3,c,55138,159,preprocessor,Neural networks,0.7708333333333334,0.30132052605912535,0.4332734587842176,215.81467390060425
irssi-1.0.3,c,55138,159,preprocessor,Classic vector model,0.9591836734693877,0.2001899443709313,0.3312459819312347,107.27688407897949
irssi-1.0.3,c,55138,159,preprocessor,Extended boolean,0.9166666666666666,0.28717560921692586,0.43734019600804175,213.52200293540955
openvpn-2.4.3,c,79189,466,preprocessor,BM25,0.9444444444444444,0.10461363369219775,0.18836281272288755,302.24775099754333
openvpn-2.4.3,c,79189,466,preprocessor,Neural networks,0.6497326203208557,0.1053193924003334,0.18125756541791335,623.1371519565582
openvpn-2.4.3,c,79189,466,preprocessor,Classic vector model,0.8425720620842572,0.03590191092695589,0.06886930757618343,321.4954240322113
openvpn-2.4.3,c,79189,466,preprocessor,Extended boolean,0.7935323383084577,0.10895209996838624,0.19159779600545093,610.9309680461884
cherokee-1.2.103,c,61182,432,preprocessor,BM25,0.9827160493827161,0.1277771202652054,0.22614930061809208,546.51611495018
cherokee-1.2.103,c,61182,432,preprocessor,Neural networks,0.7307692307692307,0.20029447930082872,0.31441251760306804,1094.9236969947815
cherokee-1.2.103,c,61182,432,preprocessor,Classic vector model,0.8627450980392157,0.04667446718370344,0.08855795346004404,533.8449878692627
cherokee-1.2.103,c,61182,432,preprocessor,Extended boolean,0.9109947643979057,0.15384123996298044,0.2632303257605834,1263.0384848117828
lighttpd-1.4.35,c,40035,216,preprocessor,BM25,0.9753694581280788,0.04832213680428928,0.09208229631601964,35.463871002197266
lighttpd-1.4.35,c,40035,216,preprocessor,Neural networks,0.8729281767955801,0.062262490680060976,0.11623444151513221,73.83291506767273
lighttpd-1.4.35,c,40035,216,preprocessor,Classic vector model,0.896551724137931,0.047317141966203125,0.08989016744704946,36.6597900390625
lighttpd-1.4.35,c,40035,216,preprocessor,Extended boolean,0.8781725888324873,0.07434166660398595,0.13707892233030858,73.46717596054077
lynx-2.8.9,c,132804,912,preprocessor,Neural networks,0.7493946731234867,0.13165726194245642,0.2239669350940495,2801.7216608524323
lynx-2.8.9,c,132804,912,preprocessor,BM25,0.981651376146789,0.09856200847493007,0.17913781227417172,1649.3295469284058
lynx-2.8.9,c,132804,912,preprocessor,Extended boolean,0.8133669609079445,0.1456355990409368,0.247038307381054,3293.6406121253967
lynx-2.8.9,c,132804,912,preprocessor,Classic vector model,0.875,0.09552934133269184,0.17225274931168064,1422.3349149227142
berkeley_db-5.3.21,c,137037,361,preprocessor,Neural networks,0.6677740863787376,0.21936560564472699,0.3302448717139611,1984.3956189155579
berkeley_db-5.3.21,c,137037,361,preprocessor,BM25,0.9695121951219512,0.12501501087901615,0.2214720236390404,985.0313041210175
berkeley_db-5.3.21,c,137037,361,preprocessor,Extended boolean,0.8783783783783784,0.23608861886973292,0.37215124128116206,2013.883141040802
berkeley_db-5.3.21,c,137037,361,preprocessor,Classic vector model,0.8328267477203647,0.11297838850572023,0.19896577055469752,1181.7030448913574
dia_0.97.3,c,154962,291,preprocessor,Neural networks,0.8042553191489362,0.09599039558993426,0.1715104775873517,2836.438941001892
dia_0.97.3,c,154962,291,preprocessor,BM25,0.9592592592592593,0.06606078540310778,0.12360905339120198,1227.6004130840302
