project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
MinePump_C,c,279,6,featurehouse,Neural networks,1.0,0.7333333333333333,0.846153846153846,0.07332706451416016
MinePump_C,c,279,6,featurehouse,Classic vector model,1.0,0.7333333333333333,0.846153846153846,0.0026891231536865234
MinePump_C,c,279,6,featurehouse,BM25,1.0,0.7333333333333333,0.846153846153846,0.044595956802368164
MinePump_C,c,279,6,featurehouse,Latent semantic indexing,1.0,0.256998556998557,0.40890827689128695,0.15768814086914062
MinePump_C,c,279,6,featurehouse,Extended boolean,1.0,0.7333333333333333,0.846153846153846,0.11625885963439941
Elevator_Java,java,1046,5,featurehouse,Extended boolean,0.7,0.36904761904761907,0.4832962138084633,0.16201496124267578
Elevator_Java,java,1046,5,featurehouse,Classic vector model,0.7,0.36904761904761907,0.4832962138084633,0.007231950759887695
Elevator_Java,java,1046,5,featurehouse,BM25,0.7,0.36904761904761907,0.4832962138084633,0.06828784942626953
Elevator_Java,java,1046,5,featurehouse,Latent semantic indexing,0.7,0.15064935064935064,0.24793893129770989,0.33092498779296875
Elevator_Java,java,1046,5,featurehouse,Neural networks,0.7,0.36904761904761907,0.4832962138084633,0.20200610160827637
EmailSystem_C,c,258,8,featurehouse,Extended boolean,0.9583333333333333,0.47008928571428565,0.6307688300864673,0.2891871929168701
EmailSystem_C,c,258,8,featurehouse,Classic vector model,0.9583333333333333,0.47008928571428565,0.6307688300864673,0.0478668212890625
EmailSystem_C,c,258,8,featurehouse,BM25,0.9583333333333333,0.47008928571428565,0.6307688300864673,0.03236508369445801
EmailSystem_C,c,258,8,featurehouse,Latent semantic indexing,0.9583333333333333,0.20548872227564924,0.33841374844505157,0.6027438640594482
EmailSystem_C,c,258,8,featurehouse,Neural networks,0.8958333333333333,0.46175595238095235,0.6093984069567759,0.3136289119720459
Graph_Product_Line,java,1350,26,featurehouse,Neural networks,0.6325757575757576,0.20948631630449813,0.3147415596748915,20.28203296661377
Graph_Product_Line,java,1350,26,featurehouse,Classic vector model,0.6856060606060606,0.19982964944611623,0.30946214884639883,3.853286027908325
Graph_Product_Line,java,1350,26,featurehouse,BM25,0.6553030303030303,0.20345886842922417,0.31051031309265154,1.935270071029663
Graph_Product_Line,java,1350,26,featurehouse,Latent semantic indexing,0.592948717948718,0.03104407561708735,0.05899922251302016,53.386188983917236
Graph_Product_Line,java,1350,26,featurehouse,Extended boolean,0.47348484848484845,0.20862793555481307,0.2896358747914442,20.98797917366028
BattleOfTanks,java,1975,132,antenna,Neural networks,0.9923664122137404,0.967239185750636,0.979641700873879,7.759158134460449
BattleOfTanks,java,1975,132,antenna,Classic vector model,0.9923664122137404,0.967239185750636,0.979641700873879,0.3675389289855957
BattleOfTanks,java,1975,132,antenna,BM25,0.9847328244274809,0.9653307888040712,0.9749352869474489,0.37103796005249023
BattleOfTanks,java,1975,132,antenna,Latent semantic indexing,0.9924242424242424,0.2806096681096683,0.43751204895061985,63.44818615913391
BattleOfTanks,java,1975,132,antenna,Extended boolean,0.9923664122137404,0.967239185750636,0.979641700873879,9.705261945724487
Prevayler,java,80000,5,cide,Extended boolean,1.0,0.7672325976230899,0.8682870592756268,6.89513897895813
Prevayler,java,80000,5,cide,Classic vector model,1.0,0.7672325976230899,0.8682870592756268,4.347685098648071
Prevayler,java,80000,5,cide,BM25,1.0,0.7672325976230899,0.8682870592756268,4.4283881187438965
Prevayler,java,80000,5,cide,Latent semantic indexing,1.0,0.34565476190476196,0.5137346839474499,40.85798001289368
Prevayler,java,80000,5,cide,Neural networks,1.0,0.7672325976230899,0.8682870592756268,6.949335098266602
