"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compact.c.xml,33,35,#if,defined(HAVE_FTRUNCATE),HAVE_FTRUNCATE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compact.c.xml,171,184,#if,defined(DEBUG),DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compact.c.xml,184,187,#else,!(defined(DEBUG)),DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compact.c.xml,2240,2652,#if,defined(HAVE_FTRUNCATE),HAVE_FTRUNCATE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compress.c.xml,13,3173,#if,defined(HAVE_COMPRESSION),HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compress.c.xml,1083,1088,#if,(defined(HAVE_COMPRESSION)) && (defined(DIAGNOSTIC)),DIAGNOSTIC;HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compress.c.xml,1150,1152,#if,(defined(HAVE_COMPRESSION)) && (defined(DIAGNOSTIC)),DIAGNOSTIC;HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compress.c.xml,1260,1263,#if,(defined(HAVE_COMPRESSION)) && (defined(DIAGNOSTIC)),DIAGNOSTIC;HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compress.c.xml,1271,1276,#if,(defined(HAVE_COMPRESSION)) && (defined(DIAGNOSTIC)),DIAGNOSTIC;HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compress.c.xml,1336,1338,#if,(defined(HAVE_COMPRESSION)) && (defined(DIAGNOSTIC)),DIAGNOSTIC;HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compress.c.xml,1472,1474,#if,(defined(HAVE_COMPRESSION)) && (defined(DIAGNOSTIC)),DIAGNOSTIC;HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compress.c.xml,1483,1488,#if,(defined(HAVE_COMPRESSION)) && (defined(DIAGNOSTIC)),DIAGNOSTIC;HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compress.c.xml,3047,3078,#if,(defined(HAVE_COMPRESSION)) && (defined(DIAGNOSTIC)),DIAGNOSTIC;HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compress.c.xml,3078,3081,#else,(defined(HAVE_COMPRESSION)) && (!(defined(DIAGNOSTIC))),DIAGNOSTIC;HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compress.c.xml,3093,3125,#if,(defined(HAVE_COMPRESSION)) && (defined(DIAGNOSTIC)),DIAGNOSTIC;HAVE_COMPRESSION
