"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compact.c.xml,DEBUG;HAVE_FTRUNCATE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compare.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_compress.c.xml,DIAGNOSTIC;HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_conv.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_curadj.c.xml,HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_cursor.c.xml,HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_delete.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_method.c.xml,HAVE_COMPRESSION;HAVE_QUEUE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_open.c.xml,DEBUG_WOP;DIAGNOSTIC;HAVE_COMPRESSION;HAVE_PARTITION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_put.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_rec.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_reclaim.c.xml,HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_recno.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_rsearch.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_search.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_split.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_stat.c.xml,HAVE_COMPRESSION;HAVE_PARTITION;HAVE_STATISTICS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_upgrade.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/bt_verify.c.xml,HAVE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/btree_auto.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/btree/btree_autop.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/atoi.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/atol.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/bsearch.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/getcwd.c.xml,HAVE_DIRENT_H;HAVE_NDIR_H;HAVE_SYSTEM_INCLUDE_FILES;HAVE_SYS_DIR_H;HAVE_SYS_NDIR_H;dirfd
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/getopt.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/isalpha.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/isdigit.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/isprint.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/isspace.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/memcmp.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/memmove.c.xml,MEMCOPY;MEMMOVE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/printf.c.xml,HAVE_PRINTF;STDC_HEADERS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/qsort.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/raise.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/rand.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/snprintf.c.xml,HAVE_SNPRINTF;HAVE_VSNPRINTF;STDC_HEADERS;STDERR_FILENO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/strcasecmp.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/strcat.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/strchr.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/strdup.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/strerror.c.xml,EAUTH;EBADMSG;EDOOFUS;EMULTIHOP;ENEEDAUTH;ENOATTR;ENOLINK;EOVERFLOW;EPROTO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/strncat.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/strncmp.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/strrchr.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/strsep.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/strtol.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/strtoul.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/clib/time.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/clock.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/crypto_stub.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/db_byteorder.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/db_compint.c.xml,HAVE_COMPRESSION;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/db_err.c.xml,CONFIG_TEST;DEBUG_ROP;DEBUG_WOP;DIAGNOSTIC;STDC_HEADERS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/db_getlong.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/db_idspace.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/db_log2.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/db_shash.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/dbt.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/mkpath.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/openflags.c.xml,O_ACCMODE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/os_method.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/util_arg.c.xml,DB_VERSION_MAJOR;DB_VERSION_MINOR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/util_cache.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/util_log.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/util_sig.c.xml,HAVE_SIGACTION;SIGHUP;SIGINT;SIGPIPE;SIGTERM
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/common/zerofill.c.xml,HAVE_FILESYSTEM_NOTZERO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/crypto/aes_method.c.xml,HAVE_CRYPTO_IPP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/crypto/crypto.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/crypto/mersenne/mt19937db.c.xml,NOT_USED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/crypto/rijndael/rijndael-alg-fst.c.xml,FULL_UNROLL;INTERMEDIATE_VALUE_KAT;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/crypto/rijndael/rijndael-alg-fst.h.xml,__RIJNDAEL_ALG_FST_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/crypto/rijndael/rijndael-api-fst.c.xml,INTERMEDIATE_VALUE_KAT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/crypto/rijndael/rijndael-api-fst.h.xml,__RIJNDAEL_API_FST_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/crdel_auto.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/crdel_autop.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/crdel_rec.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db.c.xml,CONFIG_TEST;DEBUG_ROP;DEBUG_WOP;DIAGNOSTIC;DIAG_MVCC;HAVE_MIXED_SIZE_ADDRESSING;HAVE_PARTITION;SIZEOF_CHAR_P
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_am.c.xml,DIAGNOSTIC;HAVE_COMPRESSION;HAVE_HASH;HAVE_NO_DB_REFCOUNT;HAVE_PARTITION;HAVE_QUEUE;HAVE_REPLICATION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_auto.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_autop.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_backup.c.xml,HAVE_PARTITION;HAVE_QUEUE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_cam.c.xml,DIAGNOSTIC;HAVE_COMPRESSION;HAVE_PARTITION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_cds.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_compact.c.xml,HAVE_FTRUNCATE;HAVE_HASH
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_conv.c.xml,HAVE_HASH;HAVE_HEAP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_copy.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_dispatch.c.xml,DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_dup.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_iface.c.xml,CONFIG_TEST;HAVE_HASH;HAVE_PARTITION;HAVE_QUEUE;HAVE_VXWORKS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_join.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/berkeley_db-5.3.21/_cppstats_featurelocations/db/db_meta.c.xml,DEBUG;DIAGNOSTIC;HAVE_FTRUNCATE;HAVE_HASH
