"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/access.c.xml,443,7,105,1.1176470588235294,0.3321055820775357,,,,,,,,5,11,4,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/access.h.xml,15,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/admin_request.c.xml,45,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/admin_request.h.xml,16,3,11,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/admin_server.c.xml,389,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/admin_server.h.xml,14,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/avl.c.xml,138,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/avl.h.xml,36,3,31,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/avl_flcache.c.xml,351,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/avl_flcache.h.xml,51,3,46,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/avl_generic.c.xml,524,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/avl_generic.h.xml,47,3,42,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/avl_r.c.xml,56,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/avl_r.h.xml,20,3,15,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/balancer.c.xml,139,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/balancer.h.xml,52,3,47,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/balancer_failover.c.xml,136,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/balancer_failover.h.xml,12,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/balancer_ip_hash.c.xml,158,1,4,1.0,0,,,,,,,,0,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats/balancer_ip_hash.h.xml,14,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
