"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,28,30,#if,defined(HAVE_SYS_TYPES_H),HAVE_SYS_TYPES_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,34,36,#if,defined(HAVE_SYS_SOCKET_H),HAVE_SYS_SOCKET_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,38,40,#if,defined(HAVE_NETINET_IN_H),HAVE_NETINET_IN_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,42,44,#if,defined(HAVE_ARPA_INET_H),HAVE_ARPA_INET_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,52,54,#if,!defined(AF_INET6),AF_INET6
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,64,66,#if,defined(HAVE_IPV6),HAVE_IPV6
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,157,168,#if,defined(HAVE_INET_PTON),HAVE_INET_PTON
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,158,163,#if,(defined(HAVE_INET_PTON)) && (defined(HAVE_IPV6)),HAVE_INET_PTON;HAVE_IPV6
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,168,170,#else,!(defined(HAVE_INET_PTON)),HAVE_INET_PTON
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,184,188,#if,!defined(HAVE_IPV6),HAVE_IPV6
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,192,204,#if,defined(HAVE_INET_PTON),HAVE_INET_PTON
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,195,202,#if,(defined(HAVE_INET_PTON)) && (defined(HAVE_IPV6)),HAVE_INET_PTON;HAVE_IPV6
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,204,206,#else,!(defined(HAVE_INET_PTON)),HAVE_INET_PTON
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,225,227,#if,defined(HAVE_INET_PTON),HAVE_INET_PTON
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,227,229,#else,!(defined(HAVE_INET_PTON)),HAVE_INET_PTON
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,253,290,#if,defined(HAVE_IPV6),HAVE_IPV6
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,507,519,#if,defined(HAVE_IPV6),HAVE_IPV6
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,534,548,#if,defined(HAVE_IPV6),HAVE_IPV6
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,567,585,#if,defined(HAVE_IPV6),HAVE_IPV6
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.c.xml,605,637,#if,defined(HAVE_IPV6),HAVE_IPV6
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/access.h.xml,25,47,#if,!defined(CHEROKEE_ACCESS_H),CHEROKEE_ACCESS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/admin_request.h.xml,25,27,#if,!defined (CHEROKEE_INSIDE_CHEROKEE_H) && !defined (CHEROKEE_COMPILATION),CHEROKEE_COMPILATION;CHEROKEE_INSIDE_CHEROKEE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/cherokee-1.2.103/_cppstats_featurelocations/admin_request.h.xml,29,50,#if,!defined(CHEROKEE_ADMIN_REQ_H),CHEROKEE_ADMIN_REQ_H
