"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamav-milter/clamav-milter.c.xml,375,7,34,1.0,0.0,,,,,,,,2,3,3,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamav-milter/clamfi.c.xml,644,3,3,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamav-milter/clamfi.h.xml,15,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamav-milter/connpool.c.xml,217,3,3,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamav-milter/connpool.h.xml,29,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamav-milter/netcode.c.xml,417,2,2,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamav-milter/netcode.h.xml,17,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamav-milter/whitelist.c.xml,167,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamav-milter/whitelist.h.xml,6,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clambc/bcrun.c.xml,421,3,3,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamconf/clamconf.c.xml,439,23,41,1.05,0.223606797749979,,,,,,,,5,19,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamd/clamd.c.xml,694,12,198,1.1818181818181819,0.39477101697586137,,,,,,,,7,4,12,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamd/localserver.c.xml,119,3,97,1.0,0.0,,,,,,,,5,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats/clamd/localserver.h.xml,3,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
