"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamav-milter/clamav-milter.c.xml,C_AIX;HAVE_CONFIG_H;HAVE_INITGROUPS;HAVE_SETGROUPS;SIGBUS;USE_SYSLOG;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamav-milter/clamfi.c.xml,HAVE_CONFIG_H;__GNUC_MINOR__;__GNUC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamav-milter/clamfi.h.xml,_CLAMFI_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamav-milter/connpool.c.xml,HAVE_CONFIG_H;__GNUC_MINOR__;__GNUC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamav-milter/connpool.h.xml,HAVE_CONFIG_H;_CONNPOOL_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamav-milter/netcode.c.xml,HAVE_CONFIG_H;__EXTENSIONS__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamav-milter/netcode.h.xml,_NETCODE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamav-milter/whitelist.c.xml,HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clamav-milter/whitelist.h.xml,_WHITELIST_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/clamav-0.99.2/_cppstats_featurelocations/clambc/bcrun.c.xml,HAVE_CONFIG_H;HAVE_UNISTD_H;_WIN32
