"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/app_procs.c.xml,1032,17,126,1.0571428571428572,0.23550410797680282,,,,,,,,9,21,12,5,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/app_procs.h.xml,7,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/authors.h.xml,56,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/autosave.c.xml,28,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/autosave.h.xml,3,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/color_area.c.xml,386,1,3,1.0,0.0,,,,,,,,1,0,2,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/color_area.h.xml,3,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/commands.c.xml,1201,3,52,1.0,0.0,,,,,,,,3,13,6,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/commands.h.xml,62,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/confirm.c.xml,64,0,2,1.0,0,,,,,,,,0,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/confirm.h.xml,9,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/connectionpoint_ops.c.xml,157,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/connectionpoint_ops.h.xml,14,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/create_object.c.xml,220,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/create_object.h.xml,16,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/cursor.c.xml,86,0,2,1.0,0,,,,,,,,0,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/cursor.h.xml,16,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/cut_n_paste.c.xml,35,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/cut_n_paste.h.xml,5,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/defaults.c.xml,116,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/defaults.h.xml,3,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/dia-application.c.xml,98,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/dia-application.h.xml,12,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/dia-props.c.xml,280,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/dia-props.h.xml,4,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/dia-win-remote.c.xml,230,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/diagram.c.xml,1142,0,1,1.0,0,,,,,,,,0,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/diagram.h.xml,93,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/diagram_tree.h.xml,2,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats/app/diagram_tree_model.c.xml,563,2,11,1.0,0.0,,,,,,,,2,1,0,0,0,0,0,1,,
