"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,28,30,#if,defined(HAVE_UNISTD_H),HAVE_UNISTD_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,33,35,#if,defined(HAVE_LIBPNG),HAVE_LIBPNG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,37,41,#if,defined(HAVE_GNOME),HAVE_GNOME
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,46,48,#if,defined(HAVE_FREETYPE),HAVE_FREETYPE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,99,135,#if,defined(HAVE_GNOME),HAVE_GNOME
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,404,406,#if,defined(__GNUC__),__GNUC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,406,408,#elif,(!(defined(__GNUC__))) && (defined _MSC_VER),_MSC_VER;__GNUC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,408,410,#else,(!(defined(__GNUC__))) && (!(defined _MSC_VER)),_MSC_VER;__GNUC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,413,415,#if,defined(G_THREADS_ENABLED),G_THREADS_ENABLED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,416,418,#if,defined(HAVE_CAIRO),HAVE_CAIRO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,419,421,#if,defined(HAVE_GNOME),HAVE_GNOME
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,422,424,#if,defined(HAVE_LIBART),HAVE_LIBART
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,425,427,#if,defined(HAVE_PANGOCAIRO),HAVE_PANGOCAIRO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,435,437,#if,defined(HAVE_LIBPNG),HAVE_LIBPNG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,438,457,#if,defined(HAVE_FREETYPE),HAVE_FREETYPE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,460,470,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/dia_0.97.3/_cppstats_featurelocations/app/app_procs.c.xml,482,484,#if,defined(PANGO_VERSION_ENCODE),PANGO_VERSION_ENCODE
