"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/ctags.c.xml,3,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/ebrowse.c.xml,231,3,4,1.0,0.0,,,,,,,,1,3,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/emacsclient.c.xml,357,12,196,1.3333333333333333,0.6172133998483675,,,,,,,,11,2,1,0,1,2,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/etags.c.xml,150,7,23,1.0,0.0,,,,,,,,10,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/hexl.c.xml,184,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/make-docfile.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/movemail.c.xml,615,16,447,1.6486486486486487,0.7533708035008839,,,,,,,,15,8,19,0,2,0,0,4,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/ntlib.c.xml,370,1,5,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/ntlib.h.xml,75,2,2,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/pop.c.xml,1076,15,1003,2.40625,0.7975516971817058,,,,,,,,20,17,6,0,0,0,0,5,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/pop.h.xml,43,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/profile.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/lib-src/update-game-score.c.xml,422,4,7,1.0,0.0,,,,,,,,2,1,2,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/atimer.c.xml,386,5,117,1.3333333333333333,0.485071250072666,,,,,,,,7,4,8,2,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/atimer.h.xml,30,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/bidi.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/blockinput.h.xml,17,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/buffer.c.xml,150,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/buffer.h.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/bytecode.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/callint.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/callproc.c.xml,557,6,158,1.1875,0.5439056290693574,,,,,,,,8,11,1,0,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/casefiddle.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/casetab.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/category.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/category.h.xml,27,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats/src/ccl.c.xml,1318,1,43,1.0,0.0,,,,,,,,3,1,4,0,0,0,0,1,,
