"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/ctags.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/ebrowse.c.xml,SEEK_END;WINDOWSNT;__MSDOS__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/emacsclient.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/etags.c.xml,CTAGS;DEBUG;MSDOS;NDEBUG;WIN32_NATIVE;WINDOWSNT;_GNU_SOURCE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/hexl.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/make-docfile.c.xml,DOS_NT;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,DISABLE_DIRECT_ACCESS;HAVE_LIBLOCKFILE;HAVE_LIBMAIL;HAVE_MAILLOCK_H;HAVE_TOUCHLOCK;MAILDIR;MAIL_UNLINK_SPOOL;MAIL_USE_FLOCK;MAIL_USE_LOCKF;MAIL_USE_MAILLOCK;MAIL_USE_POP;MAIL_USE_SYSTEM_LOCK;MSDOS;SIGCHLD;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/ntlib.c.xml,_TIMEZONE_DEFINED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/ntlib.h.xml,fileno;sleep
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,HAVE_COM_ERR_H;HAVE_GETADDRINFO;HAVE_H_ERRNO;HAVE_KERBEROSIV_KRB_H;HAVE_KERBEROS_KRB_H;HAVE_KRB5_ERROR_E_TEXT;HAVE_KRB5_ERROR_TEXT;HAVE_KRB5_H;HAVE_KRB_H;HESIOD;KERBEROS;KERBEROS5;MAILHOST;MAIL_USE_POP;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/profile.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/update-game-score.c.xml,DOS_NT;HAVE_SHARED_GAME_DIR;WINDOWSNT;min
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/atimer.c.xml,ENABLE_CHECKING;HAVE_ITIMERSPEC;HAVE_SETITIMER;HAVE_TIMERFD;MSDOS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/atimer.h.xml,EMACS_ATIMER_H;HAVE_TIMERFD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/bidi.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/blockinput.h.xml,EMACS_BLOCKINPUT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/buffer.c.xml,WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/src/buffer.h.xml,
