"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/osx-x86-x86_64-ppc-gcc.h.xml,4,47,#if,defined(__ppc__) && __ppc__ == 1,__ppc__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/osx-x86-x86_64-ppc-gcc.h.xml,22,24,#if,(defined(__ppc__) && __ppc__ == 1) && (!defined(ARCH_SIZEOF_GX_COLOR_INDEX)),ARCH_SIZEOF_GX_COLOR_INDEX;__ppc__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/osx-x86-x86_64-ppc-gcc.h.xml,47,138,#else,!(defined(__ppc__) && __ppc__ == 1),__ppc__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/osx-x86-x86_64-ppc-gcc.h.xml,49,93,#if,(!(defined(__ppc__) && __ppc__ == 1)) && (defined(__LP64__) && __LP64__ == 1),__LP64__;__ppc__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/osx-x86-x86_64-ppc-gcc.h.xml,68,70,#if,((!(defined(__ppc__) && __ppc__ == 1)) && (defined(__LP64__) && __LP64__ == 1)) && (!defined(ARCH_SIZEOF_GX_COLOR_INDEX)),ARCH_SIZEOF_GX_COLOR_INDEX;__LP64__;__ppc__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/osx-x86-x86_64-ppc-gcc.h.xml,93,136,#else,(!(defined(__ppc__) && __ppc__ == 1)) && (!(defined(__LP64__) && __LP64__ == 1)),__LP64__;__ppc__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/osx-x86-x86_64-ppc-gcc.h.xml,111,113,#if,((!(defined(__ppc__) && __ppc__ == 1)) && (!(defined(__LP64__) && __LP64__ == 1))) && (!defined(ARCH_SIZEOF_GX_COLOR_INDEX)),ARCH_SIZEOF_GX_COLOR_INDEX;__LP64__;__ppc__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/windows-arm-msvc.h.xml,35,37,#if,!defined(ARCH_SIZEOF_GX_COLOR_INDEX),ARCH_SIZEOF_GX_COLOR_INDEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/windows-x64-msvc.h.xml,35,37,#if,!defined(ARCH_SIZEOF_GX_COLOR_INDEX),ARCH_SIZEOF_GX_COLOR_INDEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/windows-x86-msvc.h.xml,35,37,#if,!defined(ARCH_SIZEOF_GX_COLOR_INDEX),ARCH_SIZEOF_GX_COLOR_INDEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,49,57,#if,!defined(GET_ULONG_LE),GET_ULONG_LE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,59,67,#if,!defined(PUT_ULONG_LE),PUT_ULONG_LE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,69,334,#if,defined(XYSSL_AES_ROM_TABLES),XYSSL_AES_ROM_TABLES
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,334,444,#else,!(defined(XYSSL_AES_ROM_TABLES)),XYSSL_AES_ROM_TABLES
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,454,460,#if,!defined(XYSSL_AES_ROM_TABLES),XYSSL_AES_ROM_TABLES
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,470,472,#if,defined(PADLOCK_ALIGN16),PADLOCK_ALIGN16
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,472,474,#else,!(defined(PADLOCK_ALIGN16)),PADLOCK_ALIGN16
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,567,569,#if,defined(PADLOCK_ALIGN16),PADLOCK_ALIGN16
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,569,571,#else,!(defined(PADLOCK_ALIGN16)),PADLOCK_ALIGN16
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,657,663,#if,defined(XYSSL_PADLOCK_C) && defined(XYSSL_HAVE_X86),XYSSL_HAVE_X86;XYSSL_PADLOCK_C
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,752,758,#if,defined(XYSSL_PADLOCK_C) && defined(XYSSL_HAVE_X86),XYSSL_HAVE_X86;XYSSL_PADLOCK_C
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,837,1099,#if,defined(XYSSL_SELF_TEST),XYSSL_SELF_TEST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.h.xml,35,136,#if,!defined(XYSSL_AES_H),XYSSL_AES_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.h.xml,52,54,#if,(!defined(XYSSL_AES_H)) && (defined(__cplusplus)),XYSSL_AES_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.h.xml,132,134,#if,(!defined(XYSSL_AES_H)) && (defined(__cplusplus)),XYSSL_AES_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/assert_.h.xml,22,42,#if,!defined(_ASSERT_H),_ASSERT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/assert_.h.xml,27,29,#if,(!defined(_ASSERT_H)) && (!defined(DEBUG) && !defined(NDEBUG)),DEBUG;NDEBUG;_ASSERT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/assert_.h.xml,34,36,#if,(!defined(_ASSERT_H)) && (defined(FORCE_ASSERT_CHECKING)),FORCE_ASSERT_CHECKING;_ASSERT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,14,790,#if,defined(BOBBIN),BOBBIN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,86,88,#if,(defined(BOBBIN)) && (defined(BOBBIN_PTHREADS)),BOBBIN;BOBBIN_PTHREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,160,162,#if,(defined(BOBBIN)) && (defined(BOBBIN_PTHREADS)),BOBBIN;BOBBIN_PTHREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,169,171,#if,(defined(BOBBIN)) && (defined(BOBBIN_PTHREADS)),BOBBIN;BOBBIN_PTHREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,178,180,#if,(defined(BOBBIN)) && (defined(BOBBIN_PTHREADS)),BOBBIN;BOBBIN_PTHREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,185,187,#if,(defined(BOBBIN)) && (defined(BOBBIN_PTHREADS)),BOBBIN;BOBBIN_PTHREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,290,292,#if,(defined(BOBBIN)) && (defined(BOBBIN_PTHREADS)),BOBBIN;BOBBIN_PTHREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,292,294,#else,(defined(BOBBIN)) && (!(defined(BOBBIN_PTHREADS))),BOBBIN;BOBBIN_PTHREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,625,626,#if,(defined(BOBBIN)) && (defined(BOBBIN_WINDOWS)),BOBBIN;BOBBIN_WINDOWS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,628,788,#if,(defined(BOBBIN)) && (defined(BOBBIN_PTHREADS)),BOBBIN;BOBBIN_PTHREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,635,638,#if,((defined(BOBBIN)) && (defined(BOBBIN_PTHREADS))) && (defined(DEBUG_BOBBIN)),BOBBIN;BOBBIN_PTHREADS;DEBUG_BOBBIN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,645,648,#if,((defined(BOBBIN)) && (defined(BOBBIN_PTHREADS))) && (defined(DEBUG_BOBBIN)),BOBBIN;BOBBIN_PTHREADS;DEBUG_BOBBIN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,657,660,#if,((defined(BOBBIN)) && (defined(BOBBIN_PTHREADS))) && (defined(DEBUG_BOBBIN)),BOBBIN;BOBBIN_PTHREADS;DEBUG_BOBBIN
