"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/osx-x86-x86_64-ppc-gcc.h.xml,ARCH_SIZEOF_GX_COLOR_INDEX;__LP64__;__ppc__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/windows-arm-msvc.h.xml,ARCH_SIZEOF_GX_COLOR_INDEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/windows-x64-msvc.h.xml,ARCH_SIZEOF_GX_COLOR_INDEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/arch/windows-x86-msvc.h.xml,ARCH_SIZEOF_GX_COLOR_INDEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.c.xml,GET_ULONG_LE;PADLOCK_ALIGN16;PUT_ULONG_LE;XYSSL_AES_ROM_TABLES;XYSSL_HAVE_X86;XYSSL_PADLOCK_C;XYSSL_SELF_TEST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/aes.h.xml,XYSSL_AES_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/assert_.h.xml,DEBUG;FORCE_ASSERT_CHECKING;NDEBUG;_ASSERT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bench.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.c.xml,BOBBIN;BOBBIN_PTHREADS;BOBBIN_WINDOWS;DEBUG_BOBBIN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/bobbin.h.xml,BOBBIN;BOBBIN_C;BOBBIN_H;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/claptrap-impl.h.xml,CLAPTRAP_IMPL_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/claptrap-init.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/claptrap-planar.c.xml,SAVE_PROCESS_BUFFER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/claptrap.c.xml,SAVE_PROCESS_BUFFER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/claptrap.h.xml,CLAPTRAP_H;inline;restrict
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/ctype_.h.xml,ctype__INCLUDED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/ghostpdl-9.21/_cppstats_featurelocations/base/dirent_.h.xml,HAVE_DIRENT_H;HAVE_NDIR_H;HAVE_SYS_DIR_H;HAVE_SYS_NDIR_H;dirent__INCLUDED
