"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/about.h.xml,18,53,#if,!defined(__ABOUT_H__),__ABOUT_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/actions-types.h.xml,18,54,#if,!defined(__ACTIONS_TYPES_H__),__ACTIONS_TYPES_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/actions.h.xml,18,120,#if,!defined(__ACTIONS_H__),__ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/brush-editor-actions.h.xml,18,27,#if,!defined(__BRUSH_EDITOR_ACTIONS_H__),__BRUSH_EDITOR_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/brushes-actions.h.xml,18,27,#if,!defined(__BRUSHES_ACTIONS_H__),__BRUSHES_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/buffers-actions.h.xml,18,27,#if,!defined(__BUFFERS_ACTIONS_H__),__BUFFERS_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/buffers-commands.h.xml,18,32,#if,!defined(__BUFFERS_COMMANDS_H__),__BUFFERS_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/channels-actions.h.xml,18,27,#if,!defined(__CHANNELS_ACTIONS_H__),__CHANNELS_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/channels-commands.h.xml,18,47,#if,!defined(__CHANNELS_COMMANDS_H__),__CHANNELS_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/colormap-actions.h.xml,18,27,#if,!defined(__COLORMAP_ACTIONS_H__),__COLORMAP_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/colormap-commands.h.xml,18,29,#if,!defined(__COLORMAP_COMMANDS_H__),__COLORMAP_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/config-actions.h.xml,18,27,#if,!defined(__CONFIG_ACTIONS_H__),__CONFIG_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/config-commands.h.xml,18,26,#if,!defined(__CONFIG_COMMANDS_H__),__CONFIG_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/context-actions.c.xml,1274,1290,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/context-actions.h.xml,18,27,#if,!defined(__CONTEXT_ACTIONS_H__),__CONTEXT_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/context-commands.h.xml,18,138,#if,!defined(__CONTEXT_COMMANDS_H__),__CONTEXT_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/cursor-info-actions.h.xml,18,27,#if,!defined(__CURSOR_INFO_ACIONS_H__),__CURSOR_INFO_ACIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/cursor-info-commands.h.xml,18,26,#if,!defined(__CURSOR_INFO_COMMANDS_H__),__CURSOR_INFO_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/data-commands.h.xml,18,39,#if,!defined(__DATA_COMMANDS_H__),__DATA_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/data-editor-commands.h.xml,18,26,#if,!defined(__DATA_EDITOR_COMMANDS_H__),__DATA_EDITOR_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/debug-actions.c.xml,34,79,#if,defined(ENABLE_DEBUG_MENU),ENABLE_DEBUG_MENU
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/debug-actions.c.xml,84,88,#if,defined(ENABLE_DEBUG_MENU),ENABLE_DEBUG_MENU
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/debug-actions.h.xml,18,27,#if,!defined(__DEBUG_ACTIONS_H__),__DEBUG_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/debug-commands.c.xml,58,455,#if,defined(ENABLE_DEBUG_MENU),ENABLE_DEBUG_MENU
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/debug-commands.h.xml,18,47,#if,!defined(__DEBUG_COMMANDS_H__),__DEBUG_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/debug-commands.h.xml,22,24,#if,(!defined(__DEBUG_COMMANDS_H__)) && (defined(GIMP_UNSTABLE)),GIMP_UNSTABLE;__DEBUG_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/debug-commands.h.xml,27,44,#if,(!defined(__DEBUG_COMMANDS_H__)) && (defined(ENABLE_DEBUG_MENU)),ENABLE_DEBUG_MENU;__DEBUG_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/dialogs-actions.c.xml,264,266,#if,defined (G_OS_WIN32),G_OS_WIN32
