"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/about.h.xml,__ABOUT_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/actions-types.h.xml,__ACTIONS_TYPES_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/actions.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/actions.h.xml,__ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/brush-editor-actions.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/brush-editor-actions.h.xml,__BRUSH_EDITOR_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/brushes-actions.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/brushes-actions.h.xml,__BRUSHES_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/buffers-actions.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/buffers-actions.h.xml,__BUFFERS_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/buffers-commands.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/buffers-commands.h.xml,__BUFFERS_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/channels-actions.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/channels-actions.h.xml,__CHANNELS_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/channels-commands.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/channels-commands.h.xml,__CHANNELS_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/colormap-actions.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/colormap-actions.h.xml,__COLORMAP_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/colormap-commands.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/colormap-commands.h.xml,__COLORMAP_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/config-actions.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/config-actions.h.xml,__CONFIG_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/config-commands.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/config-commands.h.xml,__CONFIG_COMMANDS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/context-actions.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/context-actions.h.xml,__CONTEXT_ACTIONS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/context-commands.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gimp-2.8.22/_cppstats_featurelocations/app/actions/context-commands.h.xml,__CONTEXT_COMMANDS_H__
