"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats/argp/argp-ba.c.xml,2,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats/argp/argp-eexst.c.xml,7,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats/argp/argp-fmtstream.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats/argp/argp-fmtstream.h.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats/argp/argp-fs-xinl.c.xml,19,4,8,1.3333333333333333,0.5773502691896257,,,,,,,,3,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats/argp/argp-help.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats/argp/argp-namefrob.h.xml,121,16,93,1.8125,0.4031128874149275,,,,,,,,17,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats/argp/argp-parse.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats/argp/argp-pv.c.xml,2,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats/argp/argp-pvh.c.xml,6,1,1,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
