"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-eexst.c.xml,20,22,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fmtstream.h.xml,25,291,#if,!defined(_ARGP_FMTSTREAM_H),_ARGP_FMTSTREAM_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fmtstream.h.xml,32,35,#if,(!defined(_ARGP_FMTSTREAM_H)) && (defined (__GNU_LIBRARY__) && defined (HAVE_LINEWRAP_H)),HAVE_LINEWRAP_H;_ARGP_FMTSTREAM_H;__GNU_LIBRARY__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fmtstream.h.xml,37,76,#if,(!defined(_ARGP_FMTSTREAM_H)) && (defined(ARGP_FMTSTREAM_USE_LINEWRAP)),ARGP_FMTSTREAM_USE_LINEWRAP;_ARGP_FMTSTREAM_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fmtstream.h.xml,76,289,#else,(!defined(_ARGP_FMTSTREAM_H)) && (!(defined(ARGP_FMTSTREAM_USE_LINEWRAP))),ARGP_FMTSTREAM_USE_LINEWRAP;_ARGP_FMTSTREAM_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fmtstream.h.xml,174,285,#if,((!defined(_ARGP_FMTSTREAM_H)) && (!(defined(ARGP_FMTSTREAM_USE_LINEWRAP)))) && (defined(__OPTIMIZE__)),ARGP_FMTSTREAM_USE_LINEWRAP;_ARGP_FMTSTREAM_H;__OPTIMIZE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fmtstream.h.xml,177,187,#if,(((!defined(_ARGP_FMTSTREAM_H)) && (!(defined(ARGP_FMTSTREAM_USE_LINEWRAP)))) && (defined(__OPTIMIZE__))) && (!_LIBC),ARGP_FMTSTREAM_USE_LINEWRAP;_ARGP_FMTSTREAM_H;_LIBC;__OPTIMIZE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fmtstream.h.xml,189,191,#if,(((!defined(_ARGP_FMTSTREAM_H)) && (!(defined(ARGP_FMTSTREAM_USE_LINEWRAP)))) && (defined(__OPTIMIZE__))) && (!defined(ARGP_FS_EI)),ARGP_FMTSTREAM_USE_LINEWRAP;ARGP_FS_EI;_ARGP_FMTSTREAM_H;__OPTIMIZE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fmtstream.h.xml,273,283,#if,(((!defined(_ARGP_FMTSTREAM_H)) && (!(defined(ARGP_FMTSTREAM_USE_LINEWRAP)))) && (defined(__OPTIMIZE__))) && (!_LIBC),ARGP_FMTSTREAM_USE_LINEWRAP;_ARGP_FMTSTREAM_H;_LIBC;__OPTIMIZE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fs-xinl.c.xml,20,22,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fs-xinl.c.xml,29,43,#if,0,
