"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-ba.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-eexst.c.xml,HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fmtstream.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fmtstream.h.xml,ARGP_FMTSTREAM_USE_LINEWRAP;ARGP_FS_EI;HAVE_LINEWRAP_H;_ARGP_FMTSTREAM_H;_LIBC;__GNU_LIBRARY__;__OPTIMIZE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-fs-xinl.c.xml,ARGP_FMTSTREAM_USE_LINEWRAP;HAVE_CONFIG_H;_LIBC;weak_alias
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-help.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-namefrob.h.xml,HAVE_DECL_CLEARERR_UNLOCKED;HAVE_DECL_FEOF_UNLOCKED;HAVE_DECL_FERROR_UNLOCKED;HAVE_DECL_FFLUSH_UNLOCKED;HAVE_DECL_FGETS_UNLOCKED;HAVE_DECL_FPUTC_UNLOCKED;HAVE_DECL_FPUTS_UNLOCKED;HAVE_DECL_FREAD_UNLOCKED;HAVE_DECL_FWRITE_UNLOCKED;HAVE_DECL_GETCHAR_UNLOCKED;HAVE_DECL_GETC_UNLOCKED;HAVE_DECL_PROGRAM_INVOCATION_SHORT_NAME;HAVE_DECL_PUTCHAR_UNLOCKED;HAVE_DECL_PUTC_UNLOCKED;_LIBC;__set_errno
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-parse.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-pv.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-pvh.c.xml,HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-test.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/glibc-2.25/_cppstats_featurelocations/argp/argp-xinl.c.xml,HAVE_CONFIG_H;HAVE_FEATURES_H;_LIBC;__USE_EXTERN_INLINES;weak_alias
