"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/applix/applix-read.c.xml,87,90,#if,!defined(NO_DEBUG_APPLIX),NO_DEBUG_APPLIX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/applix/applix-read.c.xml,90,92,#else,!(!defined(NO_DEBUG_APPLIX)),NO_DEBUG_APPLIX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/applix/applix-read.c.xml,408,411,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/applix/applix-read.c.xml,657,662,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/applix/applix-read.c.xml,1153,1155,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/applix/applix-read.c.xml,1242,1244,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/applix/applix-read.c.xml,1255,1257,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/applix/applix-write.c.xml,60,63,#if,!defined(NO_DEBUG_APPLIX),NO_DEBUG_APPLIX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/applix/applix-write.c.xml,63,65,#else,!(!defined(NO_DEBUG_APPLIX)),NO_DEBUG_APPLIX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/applix/applix.h.xml,1,12,#if,!defined(PLUGIN_APPLIX_H),PLUGIN_APPLIX_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/corba/corba-application.c.xml,134,136,#if,defined(DEBUG_CORBA),DEBUG_CORBA
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/corba/corba-sheet.h.xml,1,15,#if,!defined(GNUMERIC_SHEET_CONTROL_CORBA_H),GNUMERIC_SHEET_CONTROL_CORBA_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/corba/corba-workbook.h.xml,1,16,#if,!defined(GNUMERIC_WORKBOOK_CONTROL_CORBA_H),GNUMERIC_WORKBOOK_CONTROL_CORBA_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/excel/biff-types.h.xml,2,342,#if,!defined(GNM_EXCEL_BIFF_TYPES_H),GNM_EXCEL_BIFF_TYPES_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/excel/boot.c.xml,314,340,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/excel/boot.h.xml,13,26,#if,!defined(GNM_BOOT_H),GNM_BOOT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/excel/crypt-md4.h.xml,24,29,#if,!defined(CRYPT_MD4_H),CRYPT_MD4_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/excel/escher-types.h.xml,2,52,#if,!defined(GNM_EXCEL_ESCHER_TYPES_H),GNM_EXCEL_ESCHER_TYPES_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/excel/excel.h.xml,12,44,#if,!defined(GNM_MS_EXCEL_H),GNM_MS_EXCEL_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/excel/formula-types.h.xml,2,108,#if,!defined(GNM_EXCEL_FORMULA_TYPES_H),GNM_EXCEL_FORMULA_TYPES_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/excel/md5.c.xml,33,35,#if,USE_UNLOCKED_IO,USE_UNLOCKED_IO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/excel/md5.c.xml,37,47,#if,defined(_LIBC),_LIBC
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/excel/md5.c.xml,49,52,#if,G_BYTE_ORDER == G_BIG_ENDIAN,G_BIG_ENDIAN;G_BYTE_ORDER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnumeric-1.8.4/_cppstats_featurelocations/plugins/excel/md5.c.xml,52,54,#elif,(!(G_BYTE_ORDER == G_BIG_ENDIAN)) && (G_BYTE_ORDER == G_LITTLE_ENDIAN),G_BIG_ENDIAN;G_BYTE_ORDER;G_LITTLE_ENDIAN
