"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,59,67,#if,defined(SHORT_TERMLIST),SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,64,66,#if,(defined(SHORT_TERMLIST)) && (defined(X11)),SHORT_TERMLIST;X11
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,67,363,#else,!(defined(SHORT_TERMLIST)),SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,74,76,#if,(!(defined(SHORT_TERMLIST))) && (defined(AMIGA)),AMIGA;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,80,82,#if,(!(defined(SHORT_TERMLIST))) && (defined(_Macintosh)),SHORT_TERMLIST;_Macintosh
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,86,88,#if,(!(defined(SHORT_TERMLIST))) && (defined(__BEOS__)),SHORT_TERMLIST;__BEOS__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,93,123,#if,(!(defined(SHORT_TERMLIST))) && (defined(MSDOS) || defined(_Windows)),MSDOS;SHORT_TERMLIST;_Windows
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,96,100,#if,((!(defined(SHORT_TERMLIST))) && (defined(MSDOS) || defined(_Windows))) && (defined(MSDOS) && defined(__EMX__)),MSDOS;SHORT_TERMLIST;_Windows;__EMX__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,103,105,#if,((!(defined(SHORT_TERMLIST))) && (defined(MSDOS) || defined(_Windows))) && (defined(DJGPP)),DJGPP;MSDOS;SHORT_TERMLIST;_Windows
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,108,110,#if,((!(defined(SHORT_TERMLIST))) && (defined(MSDOS) || defined(_Windows))) && (defined(__ZTC__)),MSDOS;SHORT_TERMLIST;_Windows;__ZTC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,113,120,#if,((!(defined(SHORT_TERMLIST))) && (defined(MSDOS) || defined(_Windows))) && (!defined(_Windows)),MSDOS;SHORT_TERMLIST;_Windows
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,114,119,#if,(((!(defined(SHORT_TERMLIST))) && (defined(MSDOS) || defined(_Windows))) && (!defined(_Windows))) && (defined(PC)),MSDOS;PC;SHORT_TERMLIST;_Windows
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,120,122,#else,((!(defined(SHORT_TERMLIST))) && (defined(MSDOS) || defined(_Windows))) && (!(!defined(_Windows))),MSDOS;SHORT_TERMLIST;_Windows
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,128,130,#if,(!(defined(SHORT_TERMLIST))) && (defined(NEXT)),NEXT;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,134,141,#if,(!(defined(SHORT_TERMLIST))) && (defined(OS2)),OS2;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,137,140,#if,((!(defined(SHORT_TERMLIST))) && (defined(OS2))) && (defined(EMXVESA)),EMXVESA;OS2;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,149,156,#if,(!(defined(SHORT_TERMLIST))) && (defined(APOLLO)),APOLLO;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,152,155,#if,((!(defined(SHORT_TERMLIST))) && (defined(APOLLO))) && (defined(GPR)),APOLLO;GPR;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,160,162,#if,(!(defined(SHORT_TERMLIST))) && (defined(LINUXVGA)),LINUXVGA;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,166,168,#if,(!(defined(SHORT_TERMLIST))) && (defined(MGR)),MGR;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,172,174,#if,(!(defined(SHORT_TERMLIST))) && (defined(RGIP)),RGIP;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,178,180,#if,(!(defined(SHORT_TERMLIST))) && (defined(SCO)),SCO;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,183,185,#if,(!(defined(SHORT_TERMLIST))) && (defined(SUN)),SHORT_TERMLIST;SUN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,189,191,#if,(!(defined(SHORT_TERMLIST))) && (defined(UIS)),SHORT_TERMLIST;UIS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,194,196,#if,(!(defined(SHORT_TERMLIST))) && (defined(UNIXPC)),SHORT_TERMLIST;UNIXPC
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,200,228,#if,(!(defined(SHORT_TERMLIST))) && (!(defined(MSDOS) || defined(OS2) || defined(_Windows) || defined(AMIGA))),AMIGA;MSDOS;OS2;SHORT_TERMLIST;_Windows
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,205,211,#if,((!(defined(SHORT_TERMLIST))) && (!(defined(MSDOS) || defined(OS2) || defined(_Windows) || defined(AMIGA)))) && (defined(UNIXPLOT) || defined(GNUGRAPH)),AMIGA;GNUGRAPH;MSDOS;OS2;SHORT_TERMLIST;UNIXPLOT;_Windows
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,206,208,#if,(((!(defined(SHORT_TERMLIST))) && (!(defined(MSDOS) || defined(OS2) || defined(_Windows) || defined(AMIGA)))) && (defined(UNIXPLOT) || defined(GNUGRAPH))) && (defined(GNUGRAPH)),AMIGA;GNUGRAPH;MSDOS;OS2;SHORT_TERMLIST;UNIXPLOT;_Windows
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,208,210,#else,(((!(defined(SHORT_TERMLIST))) && (!(defined(MSDOS) || defined(OS2) || defined(_Windows) || defined(AMIGA)))) && (defined(UNIXPLOT) || defined(GNUGRAPH))) && (!(defined(GNUGRAPH))),AMIGA;GNUGRAPH;MSDOS;OS2;SHORT_TERMLIST;UNIXPLOT;_Windows
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,235,237,#if,(!(defined(SHORT_TERMLIST))) && (defined(X11)),SHORT_TERMLIST;X11
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,249,251,#if,(!(defined(SHORT_TERMLIST))) && (defined(DEBUG)),DEBUG;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,270,272,#if,(!(defined(SHORT_TERMLIST))) && (defined(HAVE_LIBGD)),HAVE_LIBGD;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,309,311,#if,(!(defined(SHORT_TERMLIST))) && (defined(HAVE_LIBPNG)),HAVE_LIBPNG;SHORT_TERMLIST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/checkdoc.c.xml,1,3,#if,!defined(lint),lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/checkdoc.c.xml,52,54,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2gih.c.xml,1,3,#if,!defined(lint),lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2gih.c.xml,51,53,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2hlp.c.xml,1,3,#if,!defined(lint),lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2hlp.c.xml,51,53,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2ipf.c.xml,1,3,#if,!defined(lint),lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2ipf.c.xml,50,52,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2ipf.c.xml,511,517,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2ipf.c.xml,533,559,#if,defined(IPF_MENU_SECTIONS),IPF_MENU_SECTIONS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2ipf.c.xml,559,561,#else,!(defined(IPF_MENU_SECTIONS)),IPF_MENU_SECTIONS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2ms.c.xml,1,3,#if,!defined(lint),lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2ms.c.xml,61,63,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2rnh.c.xml,1,3,#if,!defined(lint),lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2rnh.c.xml,64,66,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2rnh.c.xml,179,184,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2rtf.c.xml,1,3,#if,!defined(lint),lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2rtf.c.xml,52,54,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2tex.c.xml,1,3,#if,!defined(lint),lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2tex.c.xml,57,59,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
