"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/config/term_pc.h.xml,AMIGA;APOLLO;DEBUG;DJGPP;EMXVESA;GNUGRAPH;GPR;HAVE_LIBGD;HAVE_LIBPNG;LINUXVGA;MGR;MSDOS;NEXT;OS2;PC;RGIP;SCO;SHORT_TERMLIST;SUN;UIS;UNIXPC;UNIXPLOT;X11;_Macintosh;_Windows;__BEOS__;__EMX__;__ZTC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/checkdoc.c.xml,HAVE_CONFIG_H;lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2gih.c.xml,HAVE_CONFIG_H;lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2hlp.c.xml,HAVE_CONFIG_H;lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2ipf.c.xml,HAVE_CONFIG_H;IPF_MENU_SECTIONS;lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2ms.c.xml,HAVE_CONFIG_H;lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2rnh.c.xml,HAVE_CONFIG_H;lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2rtf.c.xml,HAVE_CONFIG_H;lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2tex.c.xml,HAVE_CONFIG_H;NO_CROSSREFS;lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/doc2x.h.xml,ALL_TERM_DOC;DOCS_DOC2X_H;DOCS_TERMDOC_MAIN;DOCS_XREF_MAIN;HAVE_STRINGIZE;MAX_LINE_LEN;MAX_NAME_LEN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/gnuplot-4.4.2/_cppstats_featurelocations/docs/termdoc.c.xml,TEST_TERMDOC;lint
