"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/common.h.xml,1,119,#if,!defined(__COMMON_H),__COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/common.h.xml,14,16,#if,(!defined(__COMMON_H)) && (defined(HAVE_CONFIG_H)),HAVE_CONFIG_H;__COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/common.h.xml,28,30,#if,(!defined(__COMMON_H)) && (defined(HAVE_SYS_TIME_H)),HAVE_SYS_TIME_H;__COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/common.h.xml,33,35,#if,(!defined(__COMMON_H)) && (defined(HAVE_UNISTD_H)),HAVE_UNISTD_H;__COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/common.h.xml,36,38,#if,(!defined(__COMMON_H)) && (defined(HAVE_DIRENT_H)),HAVE_DIRENT_H;__COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/common.h.xml,42,44,#if,(!defined(__COMMON_H)) && (defined(HAVE_GMODULE)),HAVE_GMODULE;__COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/common.h.xml,46,48,#if,(!defined(__COMMON_H)) && (defined (UOFF_T_INT)),UOFF_T_INT;__COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/common.h.xml,48,50,#elif,((!defined(__COMMON_H)) && (!(defined (UOFF_T_INT)))) && (defined (UOFF_T_LONG)),UOFF_T_INT;UOFF_T_LONG;__COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/common.h.xml,50,52,#elif,(((!defined(__COMMON_H)) && (!(defined (UOFF_T_INT)))) && (!(defined (UOFF_T_LONG)))) && (defined (UOFF_T_LONG_LONG)),UOFF_T_INT;UOFF_T_LONG;UOFF_T_LONG_LONG;__COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/common.h.xml,52,54,#else,(((!defined(__COMMON_H)) && (!(defined (UOFF_T_INT)))) && (!(defined (UOFF_T_LONG)))) && (!(defined (UOFF_T_LONG_LONG))),UOFF_T_INT;UOFF_T_LONG;UOFF_T_LONG_LONG;__COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/args.h.xml,1,7,#if,!defined(__ARGS_H),__ARGS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/channels-setup.h.xml,1,34,#if,!defined(__CHANNELS_SETUP_H),__CHANNELS_SETUP_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/channels.h.xml,1,39,#if,!defined(__CHANNELS_H),__CHANNELS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/chat-protocols.h.xml,1,61,#if,!defined(__CHAT_PROTOCOLS_H),__CHAT_PROTOCOLS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/chatnets.h.xml,1,32,#if,!defined(__CHATNETS_H),__CHATNETS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/commands.h.xml,1,174,#if,!defined(__COMMANDS_H),__COMMANDS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/core.c.xml,49,52,#if,defined(HAVE_SYS_RESOURCE_H),HAVE_SYS_RESOURCE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/core.c.xml,114,125,#if,defined(HAVE_SYS_RESOURCE_H),HAVE_SYS_RESOURCE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/core.c.xml,259,261,#if,defined(HAVE_SYS_RESOURCE_H),HAVE_SYS_RESOURCE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/core.h.xml,1,25,#if,!defined(__IRSSI_CORE_H),__IRSSI_CORE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/expandos.c.xml,36,38,#if,defined(HAVE_SYS_UTSNAME_H),HAVE_SYS_UTSNAME_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/expandos.c.xml,591,593,#if,defined(HAVE_SYS_UTSNAME_H),HAVE_SYS_UTSNAME_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/expandos.c.xml,603,609,#if,defined(HAVE_SYS_UTSNAME_H),HAVE_SYS_UTSNAME_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/expandos.h.xml,1,43,#if,!defined(__EXPANDOS_H),__EXPANDOS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/ignore.c.xml,70,73,#if,defined(USE_GREGEX),USE_GREGEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/ignore.c.xml,73,76,#else,!(defined(USE_GREGEX)),USE_GREGEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/ignore.c.xml,330,344,#if,defined(USE_GREGEX),USE_GREGEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/ignore.c.xml,344,364,#else,!(defined(USE_GREGEX)),USE_GREGEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/ignore.c.xml,384,386,#if,defined(USE_GREGEX),USE_GREGEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/ignore.c.xml,386,388,#else,!(defined(USE_GREGEX)),USE_GREGEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/irssi-1.0.3/_cppstats_featurelocations/core/ignore.h.xml,1,55,#if,!defined(__IGNORE_H),__IGNORE_H
