"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/array.c.xml,345,393,#if,defined(DEBUG_ARRAY),DEBUG_ARRAY
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/array.h.xml,1,177,#if,!defined(ARRAY_H),ARRAY_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/array.h.xml,4,6,#if,(!defined(ARRAY_H)) && (defined(HAVE_CONFIG_H)),ARRAY_H;HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/array.h.xml,8,10,#if,(!defined(ARRAY_H)) && (defined(HAVE_PCRE_H)),ARRAY_H;HAVE_PCRE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/array.h.xml,129,132,#if,(!defined(ARRAY_H)) && (defined(HAVE_PCRE_H)),ARRAY_H;HAVE_PCRE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/base.h.xml,1,657,#if,!defined(_BASE_H_),_BASE_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/base.h.xml,4,6,#if,(!defined(_BASE_H_)) && (defined(HAVE_CONFIG_H)),HAVE_CONFIG_H;_BASE_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/base.h.xml,15,17,#if,(!defined(_BASE_H_)) && (defined(HAVE_STDINT_H)),HAVE_STDINT_H;_BASE_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/base.h.xml,19,21,#if,(!defined(_BASE_H_)) && (defined(HAVE_INTTYPES_H)),HAVE_INTTYPES_H;_BASE_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/base.h.xml,33,39,#if,(!defined(_BASE_H_)) && (defined HAVE_LIBSSL && defined HAVE_OPENSSL_SSL_H),HAVE_LIBSSL;HAVE_OPENSSL_SSL_H;_BASE_H_
