"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/array.c.xml,DEBUG_ARRAY
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/array.h.xml,ARRAY_H;HAVE_CONFIG_H;HAVE_PCRE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/base.h.xml,HAVE_CONFIG_H;HAVE_FAM_H;HAVE_INTTYPES_H;HAVE_IPV6;HAVE_LIBSSL;HAVE_LSTAT;HAVE_OPENSSL_SSL_H;HAVE_SOCKLEN_T;HAVE_STDINT_H;HAVE_SYS_UN_H;OPENSSL_NO_TLSEXT;O_BINARY;O_LARGEFILE;SHUT_WR;SIZE_MAX;SIZE_T_MAX;SSIZE_MAX;SSL_CTRL_SET_TLSEXT_HOSTNAME;USE_OPENSSL;_BASE_H_;__APPLE__;uint32_t
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/bitset.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/bitset.h.xml,_BITSET_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/buffer.c.xml,HAVE_INTTYPES_H;HAVE_STDINT_H;SIZEOF_LONG;SIZEOF_OFF_T;__CYGWIN__;__WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/buffer.h.xml,HAVE_CONFIG_H;SIZEOF_LONG;SIZEOF_OFF_T;_BUFFER_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/chunk.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/chunk.h.xml,_CHUNK_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/configfile-glue.c.xml,HAVE_IPV6;HAVE_PCRE_H;OPENSSL_NO_TLSEXT;USE_OPENSSL;__WIN32;elementsof
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/configfile.c.xml,HAVE_FAM_H;HAVE_LSTAT;PATH_MAX;USE_FREEBSD_KQUEUE;USE_LIBEV;USE_LINUX_EPOLL;USE_OPENSSL;USE_POLL;USE_SELECT;USE_SOLARIS_DEVPOLL;USE_SOLARIS_PORT;__WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/configfile.h.xml,_CONFIG_PARSER_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/configparser.c.xml,HAVE_PCRE_H;INTERFACE;NDEBUG;YYERRORSYMBOL;YYFALLBACK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/configparser.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/connections-glue.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/connections.c.xml,EAGAIN;EWOULDBLOCK;HAVE_SYS_FILIO_H;OPENSSL_NO_TLSEXT;USE_LINUX_SIGIO;USE_OPENSSL;__WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/connections.h.xml,_CONNECTIONS_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/crc32.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/crc32.h.xml,HAVE_CONFIG_H;HAVE_INTTYPES_H;HAVE_STDINT_H;__crc32cr_table_h__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/data_array.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/data_config.c.xml,HAVE_PCRE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/data_count.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/data_fastcgi.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/data_integer.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/data_string.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/etag.c.xml,HAVE_INTTYPES_H;HAVE_STDINT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/etag.h.xml,ETAG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/fastcgi.h.xml,_FASTCGI_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/fdevent.c.xml,FD_CLOEXEC;O_NONBLOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/fdevent.h.xml,HAVE_CONFIG_H;HAVE_EPOLL_CTL;HAVE_INTTYPES_H;HAVE_KQUEUE;HAVE_LIBEV;HAVE_POLL;HAVE_POLL_H;HAVE_PORT_CREATE;HAVE_PORT_H;HAVE_SELECT;HAVE_STDINT_H;HAVE_SYS_DEVPOLL_H;HAVE_SYS_EPOLL_H;HAVE_SYS_EVENT_H;HAVE_SYS_POLL_H;HAVE_SYS_SELECT_H;USE_FREEBSD_KQUEUE;USE_LIBEV;USE_LINUX_EPOLL;USE_POLL;USE_SELECT;USE_SOLARIS_DEVPOLL;USE_SOLARIS_PORT;_FDEVENT_H_;__WIN32;__sun
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/fdevent_freebsd_kqueue.c.xml,USE_FREEBSD_KQUEUE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/fdevent_libev.c.xml,USE_LIBEV
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/fdevent_linux_sysepoll.c.xml,USE_LINUX_EPOLL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/fdevent_poll.c.xml,HAVE_POLL_H;USE_POLL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/fdevent_select.c.xml,USE_SELECT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/fdevent_solaris_devpoll.c.xml,USE_SOLARIS_DEVPOLL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/fdevent_solaris_port.c.xml,USE_SOLARIS_PORT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/http-header-glue.c.xml,AF_INET;AF_INET6;HAVE_IPV6;HAVE_SOCKADDR_SA_LEN;HAVE_STRUCT_SOCKADDR_STORAGE;SA_LEN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/http_auth.c.xml,HAVE_CRYPT;HAVE_CRYPT_H;HAVE_LIBCRYPT;USE_LDAP;USE_OPENSSL;__linux__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/http_auth.h.xml,HAVE_LBER_H;HAVE_LDAP_H;HAVE_LIBLBER;HAVE_LIBLDAP;USE_LDAP;_HTTP_AUTH_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/http_chunk.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/http_chunk.h.xml,_HTTP_CHUNK_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/inet_ntop_cache.c.xml,HAVE_IPV6
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/inet_ntop_cache.h.xml,_INET_NTOP_CACHE_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/joblist.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/joblist.h.xml,_JOB_LIST_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/keyvalue.c.xml,HAVE_PCRE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/keyvalue.h.xml,HAVE_CONFIG_H;HAVE_PCRE_H;_KEY_VALUE_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/lemon.c.xml,HAVE_CONFIG_H;HAVE_INTTYPES_H;HAVE_STDINT_H;NDEBUG;TEST;WIN32;_WIN32;__GNUC__;__WIN32__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/lempar.c.xml,INTERFACE;NDEBUG;YYERRORSYMBOL;YYFALLBACK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/lighttpd-angel.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/log.c.xml,FD_CLOEXEC;HAVE_FORK;HAVE_SYSLOG_H;HAVE_VALGRIND_VALGRIND_H;O_LARGEFILE;__WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/log.h.xml,_LOG_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/md5.c.xml,HAVE_CONFIG_H;HAVE_MEMCPY;HAVE_MEMSET;USE_OPENSSL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/md5.h.xml,HAVE_INTTYPES_H;HAVE_STDINT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/mod_access.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/mod_accesslog.c.xml,HAVE_GMTIME_R;HAVE_LOCALTIME_R;HAVE_STRUCT_TM_GMTOFF;HAVE_SYSLOG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/mod_alias.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/mod_auth.c.xml,USE_LDAP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/mod_auth.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/mod_cgi.c.xml,HAVE_IPV6;HAVE_SYS_FILIO_H;__CYGWIN__;__WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/mod_cml.c.xml,HAVE_MEMCACHE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/mod_cml.h.xml,HAVE_MEMCACHE_H;_MOD_CACHE_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/mod_cml_funcs.c.xml,HAVE_LUA_H;HAVE_MEMCACHE_H;USE_OPENSSL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/mod_cml_funcs.h.xml,HAVE_CONFIG_H;HAVE_LUA_H;_MOD_CML_FUNCS_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lighttpd-1.4.35/_cppstats_featurelocations/src/mod_cml_lua.c.xml,HAVE_LUA_H;HAVE_MEMCACHE_H;USE_OPENSSL
