"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/LYMessages_en.h.xml,649,6,33,1.0833333333333333,0.28867513459481287,,,,,,,,18,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAABrow.c.xml,765,2,6,1.0,0.0,,,,,,,,0,0,4,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAABrow.h.xml,21,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAAProt.c.xml,434,3,171,1.2857142857142858,0.46880723093849547,,,,,,,,7,5,2,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAAProt.h.xml,35,2,4,1.0,0.0,,,,,,,,1,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAAUtil.c.xml,308,3,15,1.0,0.0,,,,,,,,1,1,3,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAAUtil.h.xml,42,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAccess.c.xml,871,16,259,2.3055555555555554,1.3053613499595635,,,,,,,,20,11,7,0,0,0,0,4,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAccess.h.xml,65,8,9,1.0,0.0,,,,,,,,1,8,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAnchor.c.xml,945,9,95,1.0,0.0,,,,,,,,11,5,6,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAnchor.h.xml,204,4,10,1.0,0.0,,,,,,,,1,6,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAssoc.c.xml,51,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAssoc.h.xml,20,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAtom.c.xml,95,2,16,1.0,0.0,,,,,,,,2,1,1,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTAtom.h.xml,17,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTBTree.c.xml,507,2,167,1.5,0.5773502691896257,,,,,,,,1,2,1,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTBTree.h.xml,30,2,3,1.0,0.0,,,,,,,,2,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTCJK.h.xml,74,2,3,1.0,0.0,,,,,,,,2,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTChunk.c.xml,239,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTChunk.h.xml,37,2,3,1.0,0.0,,,,,,,,2,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTDOS.c.xml,163,7,66,1.25,0.4629100498862757,,,,,,,,3,7,1,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTDOS.h.xml,15,3,4,1.0,0.0,,,,,,,,4,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTFTP.c.xml,3075,30,2892,2.2295081967213113,0.5885984093010223,,,,,,,,23,32,32,0,0,2,0,4,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTFTP.h.xml,23,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTFWriter.h.xml,16,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTFile.c.xml,2506,59,1331,1.507462686567164,0.7331697446956535,,,,,,,,32,44,84,0,1,0,1,4,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTFile.h.xml,136,9,13,1.5,0.5270462766947299,,,,,,,,3,9,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTFinger.c.xml,303,2,296,1.5,0.7071067811865476,,,,,,,,3,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTFinger.h.xml,18,2,4,1.0,0.0,,,,,,,,2,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTFormat.c.xml,1203,11,473,1.0869565217391304,0.2881040655200304,,,,,,,,14,3,9,0,1,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTFormat.h.xml,172,5,28,1.0,0.0,,,,,,,,4,6,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTGopher.c.xml,1503,4,1489,1.75,0.5,,,,,,,,3,1,2,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTGopher.h.xml,14,2,4,1.0,0.0,,,,,,,,2,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTGroup.c.xml,503,0,251,1.0,0.0,,,,,,,,2,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTGroup.h.xml,38,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTInit.h.xml,16,2,3,1.0,0.0,,,,,,,,2,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTLex.c.xml,107,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTLex.h.xml,27,2,3,1.0,0.0,,,,,,,,2,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTList.c.xml,274,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTList.h.xml,47,2,3,1.0,0.0,,,,,,,,2,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTMIME.c.xml,2030,3,15,1.0,0.0,,,,,,,,0,3,1,0,1,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTMIME.h.xml,25,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTMLDTD.c.xml,208,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTMLDTD.h.xml,33,2,7,1.0,0.0,,,,,,,,1,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTMLGen.c.xml,501,1,110,1.0,0.0,,,,,,,,3,7,2,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTMLGen.h.xml,13,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTNews.c.xml,2430,15,2370,2.0,0.2773500981126146,,,,,,,,11,9,15,0,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTNews.h.xml,40,3,22,1.0,0.0,,,,,,,,3,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTParse.c.xml,905,5,88,1.1428571428571428,0.3779644730092273,,,,,,,,10,0,1,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTParse.h.xml,44,2,3,1.0,0.0,,,,,,,,2,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTPlain.c.xml,378,4,251,1.5,0.5477225575051661,,,,,,,,0,4,5,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTPlain.h.xml,12,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTRules.c.xml,531,4,503,1.8333333333333333,0.408248290463863,,,,,,,,2,3,2,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTRules.h.xml,39,3,13,1.0,0.0,,,,,,,,2,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTStream.h.xml,25,3,6,1.0,0.0,,,,,,,,2,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTString.c.xml,1038,15,394,1.2105263157894737,0.41885390829169555,,,,,,,,14,9,2,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTString.h.xml,97,9,21,1.0,0.0,,,,,,,,10,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTStyle.c.xml,269,2,184,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTStyle.h.xml,141,4,19,1.0,0.0,,,,,,,,3,3,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTTCP.c.xml,1725,52,1113,1.7483443708609272,0.8182790318414828,,,,,,,,33,76,76,0,4,0,0,5,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTTCP.h.xml,39,5,8,1.1428571428571428,0.37796447300922725,,,,,,,,2,6,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTTP.c.xml,1922,22,767,1.765625,0.8496906533257892,,,,,,,,11,21,50,0,2,0,0,4,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTTP.h.xml,27,3,7,1.0,0.0,,,,,,,,3,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTTelnet.c.xml,439,17,283,1.0769230769230769,0.2773500981126146,,,,,,,,3,10,1,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTTelnet.h.xml,17,2,8,1.0,0.0,,,,,,,,2,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTUU.c.xml,97,0,16,1.0,0,,,,,,,,0,0,1,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTUU.h.xml,16,2,3,1.0,0.0,,,,,,,,2,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTUtils.h.xml,534,101,316,2.688073394495413,0.9784459305489569,,,,,,,,136,4,0,0,0,0,0,7,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTVMSUtils.c.xml,783,4,770,2.0,0.7071067811865476,,,,,,,,4,0,2,0,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTVMSUtils.h.xml,25,2,3,1.0,0.0,,,,,,,,2,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTVMS_WaisProt.c.xml,1845,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTVMS_WaisProt.h.xml,301,2,29,1.3333333333333333,0.5773502691896257,,,,,,,,3,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTVMS_WaisUI.c.xml,1488,2,1482,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTVMS_WaisUI.h.xml,452,7,8,1.0,0.0,,,,,,,,2,6,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTWAIS.c.xml,801,4,87,1.0,0.0,,,,,,,,7,11,16,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTWAIS.h.xml,13,2,4,1.0,0.0,,,,,,,,2,2,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTWSRC.c.xml,361,1,31,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTWSRC.h.xml,14,1,2,1.0,0.0,,,,,,,,1,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HText.h.xml,59,3,5,1.25,0.5,,,,,,,,1,4,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/HTioctl.h.xml,4,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats/WWW/Library/Implementation/LYLeaks.h.xml,159,22,110,2.625,0.7109393663377318,,,,,,,,3,24,0,0,0,0,0,4,,
