"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,11,902,#if,!defined(LYMESSAGES_EN_H),LYMESSAGES_EN_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,31,33,#if,(!defined(LYMESSAGES_EN_H)) && (defined(VMS)),LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,54,78,#if,(!defined(LYMESSAGES_EN_H)) && (defined(TEXTFIELDS_MAY_NEED_ACTIVATION)),LYMESSAGES_EN_H;TEXTFIELDS_MAY_NEED_ACTIVATION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,247,250,#if,(!defined(LYMESSAGES_EN_H)) && (defined(VMS)),LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,250,258,#else,(!defined(LYMESSAGES_EN_H)) && (!(defined(VMS))),LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,251,254,#if,((!defined(LYMESSAGES_EN_H)) && (!(defined(VMS)))) && (defined(DOSPATH)),DOSPATH;LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,254,257,#else,((!defined(LYMESSAGES_EN_H)) && (!(defined(VMS)))) && (!(defined(DOSPATH))),DOSPATH;LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,312,314,#if,(!defined(LYMESSAGES_EN_H)) && (defined(VMS)),LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,314,320,#else,(!defined(LYMESSAGES_EN_H)) && (!(defined(VMS))),LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,465,467,#if,(!defined(LYMESSAGES_EN_H)) && (defined(VMS)),LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,467,469,#else,(!defined(LYMESSAGES_EN_H)) && (!(defined(VMS))),LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,522,524,#if,(!defined(LYMESSAGES_EN_H)) && (defined(VMS)),LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,531,533,#if,(!defined(LYMESSAGES_EN_H)) && (defined(VMS)),LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,533,535,#else,(!defined(LYMESSAGES_EN_H)) && (!(defined(VMS))),LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,572,579,#if,(!defined(LYMESSAGES_EN_H)) && (!defined(NO_OPTION_MENU)),LYMESSAGES_EN_H;NO_OPTION_MENU
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,679,682,#if,(!defined(LYMESSAGES_EN_H)) && (defined(VMS)),LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,682,684,#else,(!defined(LYMESSAGES_EN_H)) && (!(defined(VMS))),LYMESSAGES_EN_H;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,880,887,#if,(!defined(LYMESSAGES_EN_H)) && (defined(DIRED_SUPPORT)),DIRED_SUPPORT;LYMESSAGES_EN_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,889,891,#if,(!defined(LYMESSAGES_EN_H)) && (defined(USE_EXTERNALS)),LYMESSAGES_EN_H;USE_EXTERNALS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTAABrow.c.xml,737,740,#if,defined(PUBKEY),PUBKEY
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTAABrow.c.xml,773,777,#if,defined(PUBKEY),PUBKEY
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTAABrow.c.xml,896,898,#if,defined(LY_FIND_LEAKS),LY_FIND_LEAKS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTAABrow.c.xml,1129,1131,#if,defined(LY_FIND_LEAKS),LY_FIND_LEAKS
