"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/LYMessages_en.h.xml,DIRED_SUPPORT;DOSPATH;LYMESSAGES_EN_H;NO_OPTION_MENU;TEXTFIELDS_MAY_NEED_ACTIVATION;USE_EXTERNALS;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTAABrow.c.xml,LY_FIND_LEAKS;PUBKEY
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTAABrow.h.xml,HTAABROW_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTAAProt.c.xml,LY_FIND_LEAKS;NOUSERS;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTAAProt.h.xml,HTAAPROT_H;NOUSERS;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTAAUtil.c.xml,LY_FIND_LEAKS;NOT_ASCII;USE_SSL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTAAUtil.h.xml,HTAAUTIL_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTAccess.c.xml,CJK_EX;DECNET;DIRECT_WAIS;DIRED_SUPPORT;DISABLE_FINGER;DISABLE_FTP;DISABLE_GOPHER;DISABLE_NEWS;GLOBALREF_IS_MACRO;LY_FIND_LEAKS;NOT_USED_CODE;NO_INIT;NO_RULES;UNIX;USE_GATEWAYS;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/lynx-2.8.9/_cppstats_featurelocations/WWW/Library/Implementation/HTAccess.h.xml,DEFAULT_LOGFILE;HTACCESS_H;LAST_RESORT;LOCAL_DEFAULT_FILE;NOT;PERSONAL_DEFAULT;REMOTE_ADDRESS;REMOTE_POINTER;__cplusplus
