"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/asfinfo.c.xml,263,270,#if,defined(SAVE_STREAMS),SAVE_STREAMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/avi-fix.c.xml,21,23,#if,defined(MP_DEBUG),MP_DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/avi-fix.c.xml,23,25,#else,!(defined(MP_DEBUG)),MP_DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,38,40,#if,HAVE_MMX,HAVE_MMX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,42,44,#if,HAVE_MMX2,HAVE_MMX2
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,46,48,#if,HAVE_AMD3DNOW,HAVE_AMD3DNOW
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,50,52,#if,HAVE_SSE,HAVE_SSE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,54,68,#if,defined(COMPILE_MMX),COMPILE_MMX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,70,84,#if,defined(COMPILE_MMX2),COMPILE_MMX2
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,86,100,#if,defined(COMPILE_AMD3DNOW),COMPILE_AMD3DNOW
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,102,116,#if,defined(COMPILE_SSE),COMPILE_SSE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,121,173,#if,defined(CONFIG_MGA),CONFIG_MGA
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,200,203,#if,defined(CONFIG_MGA),CONFIG_MGA
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,203,205,#else,!(defined(CONFIG_MGA)),CONFIG_MGA
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,224,226,#if,HAVE_MMX,HAVE_MMX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,228,230,#if,HAVE_AMD3DNOW,HAVE_AMD3DNOW
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,232,234,#if,HAVE_MMX2,HAVE_MMX2
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,236,238,#if,HAVE_SSE,HAVE_SSE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/modify_reg.c.xml,28,30,#if,defined(__GNUC__),__GNUC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/modify_reg.c.xml,30,32,#else,!(defined(__GNUC__)),__GNUC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/movinfo.c.xml,116,169,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/movinfo.c.xml,190,311,#if,!defined(NO_SPECIAL),NO_SPECIAL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/movinfo.c.xml,313,331,#if,1,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/movinfo.c.xml,331,338,#else,!(1),
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/netstream.c.xml,31,35,#if,!HAVE_WINSOCK2_H,HAVE_WINSOCK2_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/netstream.c.xml,35,38,#else,!(!HAVE_WINSOCK2_H),HAVE_WINSOCK2_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/netstream.c.xml,262,264,#if,defined(__MINGW32__),__MINGW32__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/netstream.c.xml,264,266,#else,!(defined(__MINGW32__)),__MINGW32__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/netstream.c.xml,275,279,#if,!defined(__MINGW32__),__MINGW32__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/netstream.c.xml,322,324,#if,defined(__MINGW32__),__MINGW32__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/netstream.c.xml,342,345,#if,defined(__MINGW32__),__MINGW32__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/realcodecs/14_4.c.xml,293,311,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/realcodecs/28_8.c.xml,293,311,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/realcodecs/drv4.c.xml,166,175,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/realcodecs/sipr.c.xml,261,263,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/realcodecs/sipr.c.xml,263,279,#else,!(0),
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/realcodecs/sipr.c.xml,367,369,#if,1,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/realcodecs/sipr.c.xml,369,380,#else,!(1),
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/vfw2menc.c.xml,27,30,#if,defined(_MSC_VER),_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/vivodump.c.xml,122,126,#if,1,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/vivodump.c.xml,126,133,#else,!(1),
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/access_mpcontext.h.xml,19,33,#if,!defined(MPLAYER_ACCESS_MPCONTEXT_H),MPLAYER_ACCESS_MPCONTEXT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/asxparser.c.xml,426,437,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/asxparser.h.xml,19,75,#if,!defined(MPLAYER_ASXPARSER_H),MPLAYER_ASXPARSER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/av_helpers.c.xml,83,85,#if,defined(CONFIG_FFMPEG_SO),CONFIG_FFMPEG_SO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/av_helpers.c.xml,85,87,#else,!(defined(CONFIG_FFMPEG_SO)),CONFIG_FFMPEG_SO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/av_helpers.h.xml,21,30,#if,!defined(MPLAYER_AV_HELPERS_H),MPLAYER_AV_HELPERS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/av_opts.h.xml,22,30,#if,!defined(MPLAYER_AV_OPTS_H),MPLAYER_AV_OPTS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/bstr.h.xml,19,39,#if,!defined(MPLAYER_BSTR_H),MPLAYER_BSTR_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/cfg-common.h.xml,19,642,#if,!defined(MPLAYER_CFG_COMMON_H),MPLAYER_CFG_COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/cfg-common.h.xml,52,54,#if,(!defined(MPLAYER_CFG_COMMON_H)) && (defined(CONFIG_POSTPROC)),CONFIG_POSTPROC;MPLAYER_CFG_COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/cfg-common.h.xml,57,72,#if,(!defined(MPLAYER_CFG_COMMON_H)) && (defined(CONFIG_RADIO)),CONFIG_RADIO;MPLAYER_CFG_COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/cfg-common.h.xml,61,64,#if,((!defined(MPLAYER_CFG_COMMON_H)) && (defined(CONFIG_RADIO))) && (defined(RADIO_BSDBT848_HDR)),CONFIG_RADIO;MPLAYER_CFG_COMMON_H;RADIO_BSDBT848_HDR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/cfg-common.h.xml,74,138,#if,(!defined(MPLAYER_CFG_COMMON_H)) && (defined(CONFIG_TV)),CONFIG_TV;MPLAYER_CFG_COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/cfg-common.h.xml,87,89,#if,((!defined(MPLAYER_CFG_COMMON_H)) && (defined(CONFIG_TV))) && (defined(CONFIG_TV_V4L2) || defined(CONFIG_TV_DSHOW)),CONFIG_TV;CONFIG_TV_DSHOW;CONFIG_TV_V4L2;MPLAYER_CFG_COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/cfg-common.h.xml,101,105,#if,((!defined(MPLAYER_CFG_COMMON_H)) && (defined(CONFIG_TV))) && (defined(CONFIG_TV_V4L) || defined(CONFIG_TV_V4L2) || defined(CONFIG_TV_DSHOW)),CONFIG_TV;CONFIG_TV_DSHOW;CONFIG_TV_V4L;CONFIG_TV_V4L2;MPLAYER_CFG_COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/cfg-common.h.xml,106,119,#if,((!defined(MPLAYER_CFG_COMMON_H)) && (defined(CONFIG_TV))) && (defined(CONFIG_TV_V4L) || defined(CONFIG_TV_V4L2)),CONFIG_TV;CONFIG_TV_V4L;CONFIG_TV_V4L2;MPLAYER_CFG_COMMON_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/cfg-common.h.xml,116,118,#if,(((!defined(MPLAYER_CFG_COMMON_H)) && (defined(CONFIG_TV))) && (defined(CONFIG_TV_V4L) || defined(CONFIG_TV_V4L2))) && (defined(CONFIG_ALSA)),CONFIG_ALSA;CONFIG_TV;CONFIG_TV_V4L;CONFIG_TV_V4L2;MPLAYER_CFG_COMMON_H
