"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/alaw-gen.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/asfinfo.c.xml,SAVE_STREAMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/avi-fix.c.xml,MP_DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/avisubdump.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/bmovl-test.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/compare.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/dump_mp4.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/fastmemcpybench.c.xml,COMPILE_AMD3DNOW;COMPILE_MMX;COMPILE_MMX2;COMPILE_SSE;CONFIG_MGA;HAVE_AMD3DNOW;HAVE_MMX;HAVE_MMX2;HAVE_SSE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/modify_reg.c.xml,__GNUC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/movinfo.c.xml,NO_SPECIAL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/netstream.c.xml,HAVE_WINSOCK2_H;__MINGW32__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/realcodecs/14_4.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/realcodecs/28_8.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/realcodecs/cook.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/mplayer-1.3.0/_cppstats_featurelocations/TOOLS/realcodecs/drv2.c.xml,
