"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,38,44,#if,defined(HAVE_CYRUS_SASL),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,39,41,#if,(defined(HAVE_CYRUS_SASL)) && (defined(HAVE_SASL_SASL_H)),HAVE_CYRUS_SASL;HAVE_SASL_SASL_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,41,43,#else,(defined(HAVE_CYRUS_SASL)) && (!(defined(HAVE_SASL_SASL_H))),HAVE_CYRUS_SASL;HAVE_SASL_SASL_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,86,93,#if,defined(HAVE_CYRUS_SASL),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,102,104,#if,defined(LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ),LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,115,119,#if,defined(LDAP_CONTROL_X_CHAINING_BEHAVIOR),LDAP_CONTROL_X_CHAINING_BEHAVIOR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,120,123,#if,defined(LDAP_CONTROL_X_SESSION_TRACKING),LDAP_CONTROL_X_SESSION_TRACKING
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,139,141,#if,defined(LDAP_CONTROL_PASSWORDPOLICYREQUEST),LDAP_CONTROL_PASSWORDPOLICYREQUEST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,144,146,#if,defined(LDAP_CONTROL_X_DEREF),LDAP_CONTROL_X_DEREF
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,147,149,#if,defined(LDAP_CONTROL_X_WHATFAILED),LDAP_CONTROL_X_WHATFAILED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,159,161,#if,defined(LDAP_CONTROL_PASSWORDPOLICYREQUEST),LDAP_CONTROL_PASSWORDPOLICYREQUEST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,164,166,#if,defined(LDAP_CONTROL_X_DEREF),LDAP_CONTROL_X_DEREF
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,167,169,#if,defined(LDAP_CONTROL_X_WHATFAILED),LDAP_CONTROL_X_WHATFAILED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,178,222,#if,defined(LDAP_CONTROL_X_SESSION_TRACKING),LDAP_CONTROL_X_SESSION_TRACKING
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,199,207,#if,(defined(LDAP_CONTROL_X_SESSION_TRACKING)) && (defined(HAVE_CYRUS_SASL)),HAVE_CYRUS_SASL;LDAP_CONTROL_X_SESSION_TRACKING
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,246,248,#if,defined(HAVE_CYRUS_SASL),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,249,251,#if,defined(HAVE_TLS),HAVE_TLS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,313,318,#if,defined(LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ),LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,314,317,#if,(defined(LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ)) && (0),LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,319,323,#if,defined(LDAP_CONTROL_X_CHAINING_BEHAVIOR),LDAP_CONTROL_X_CHAINING_BEHAVIOR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,326,328,#if,defined(LDAP_CONTROL_PASSWORDPOLICYREQUEST),LDAP_CONTROL_PASSWORDPOLICYREQUEST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,332,334,#if,defined(LDAP_CONTROL_X_SESSION_TRACKING),LDAP_CONTROL_X_SESSION_TRACKING
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,470,475,#if,defined(LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ),LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,488,509,#if,defined(LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ),LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,553,569,#if,defined(LDAP_CONTROL_PASSWORDPOLICYREQUEST),LDAP_CONTROL_PASSWORDPOLICYREQUEST
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,589,633,#if,defined(LDAP_CONTROL_X_CHAINING_BEHAVIOR),LDAP_CONTROL_X_CHAINING_BEHAVIOR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,635,646,#if,defined(LDAP_CONTROL_X_SESSION_TRACKING),LDAP_CONTROL_X_SESSION_TRACKING
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,741,751,#if,defined(HAVE_CYRUS_SASL),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,751,755,#else,!(defined(HAVE_CYRUS_SASL)),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,825,837,#if,defined(HAVE_CYRUS_SASL),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,837,840,#else,!(defined(HAVE_CYRUS_SASL)),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,884,894,#if,defined(HAVE_CYRUS_SASL),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,894,898,#else,!(defined(HAVE_CYRUS_SASL)),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,900,913,#if,defined(HAVE_CYRUS_SASL),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,913,917,#else,!(defined(HAVE_CYRUS_SASL)),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,920,933,#if,defined(HAVE_CYRUS_SASL),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,933,937,#else,!(defined(HAVE_CYRUS_SASL)),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,963,975,#if,defined(HAVE_CYRUS_SASL),HAVE_CYRUS_SASL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,975,978,#else,!(defined(HAVE_CYRUS_SASL)),HAVE_CYRUS_SASL
