"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.c.xml,HAVE_CYRUS_SASL;HAVE_SASL_SASL_H;HAVE_TLS;LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ;LDAP_CONTROL_PASSWORDPOLICYREQUEST;LDAP_CONTROL_X_CHAINING_BEHAVIOR;LDAP_CONTROL_X_DEREF;LDAP_CONTROL_X_SESSION_TRACKING;LDAP_CONTROL_X_WHATFAILED;SIGPIPE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/common.h.xml,HAVE_CYRUS_SASL;LDAP_CONTROL_X_CHAINING_BEHAVIOR;_CLIENT_TOOLS_COMMON_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/ldapcompare.c.xml,HAVE_FCNTL_H;HAVE_IO_H;HAVE_SYS_TYPES_H;LDAP_CONTROL_DONTUSECOPY
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/ldapdelete.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/ldapexop.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/ldapmodify.c.xml,HAVE_FCNTL_H;HAVE_SYS_FILE_H;HAVE_SYS_STAT_H;LDAP_X_TXN;LIBERAL_CHANGETYPE_MODOP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/ldapmodrdn.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/ldappasswd.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/ldapsearch.c.xml,HAVE_FCNTL_H;HAVE_IO_H;HAVE_SYS_TYPES_H;LDAP_CONTROL_DONTUSECOPY;LDAP_CONTROL_X_DEREF;LDAP_DEPRECATED;__CYGWIN__;__MINGW32__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/ldapurl.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/clients/tools/ldapwhoami.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/contrib/ldapc++/src/LDAPAddRequest.h.xml,LDAP_ADD_REQUEST_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openldap-2.4.45/_cppstats_featurelocations/contrib/ldapc++/src/LDAPAsynConnection.h.xml,LDAP_ASYN_CONNECTION_H
