"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/config-msvc.h.xml,120,5,6,1.0,0.0,,,,,,,,5,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/contrib/keychain-mcd/cert_data.c.xml,721,0,3,1.0,0,,,,,,,,0,1,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/contrib/keychain-mcd/cert_data.h.xml,16,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/contrib/keychain-mcd/common_osx.c.xml,59,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/contrib/keychain-mcd/common_osx.h.xml,6,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/contrib/keychain-mcd/crypto_osx.c.xml,47,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/contrib/keychain-mcd/crypto_osx.h.xml,13,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/contrib/keychain-mcd/main.c.xml,248,0,2,1.0,0.0,,,,,,,,0,1,1,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/include/openvpn-msg.h.xml,75,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/include/openvpn-plugin.h.xml,182,8,21,1.5454545454545454,0.8201995322647243,,,,,,,,6,11,0,0,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/compat/compat-basename.c.xml,20,3,14,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/compat/compat-daemon.c.xml,71,13,51,1.9,0.5676462121975466,,,,,,,,9,2,1,0,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/compat/compat-dirname.c.xml,88,3,82,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/compat/compat-gettimeofday.c.xml,80,5,69,1.75,0.9574271077563381,,,,,,,,6,0,0,0,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/compat/compat-inet_ntop.c.xml,35,4,26,1.3333333333333333,0.5773502691896257,,,,,,,,5,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/compat/compat-inet_pton.c.xml,38,4,29,1.3333333333333333,0.5773502691896257,,,,,,,,5,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/compat/compat-lz4.c.xml,1097,13,1047,2.2941176470588234,0.7717436331412899,,,,,,,,15,6,12,0,0,0,0,4,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/compat/compat-lz4.h.xml,70,5,9,1.25,0.5,,,,,,,,1,6,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/compat/compat-versionhelpers.h.xml,81,2,74,1.5,0.7071067811865476,,,,,,,,3,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/compat/compat.h.xml,31,10,10,1.0,0.0,,,,,,,,10,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/argv.c.xml,291,2,2,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/argv.h.xml,31,2,4,1.5,0.5773502691896257,,,,,,,,0,0,0,0,0,0,6,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/base64.c.xml,150,2,2,1.0,0,,,,,,,,2,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/base64.h.xml,3,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/basic.h.xml,5,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/block_dns.c.xml,267,5,256,1.25,0.5,,,,,,,,5,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/block_dns.h.xml,18,2,13,1.5,0.7071067811865476,,,,,,,,2,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/buffer.c.xml,1106,7,89,1.0,0.0,,,,,,,,6,11,8,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/buffer.h.xml,725,8,40,1.1818181818181819,0.40451991747794525,,,,,,,,8,4,0,0,0,0,6,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/circ_list.h.xml,12,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/clinat.c.xml,220,2,15,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/clinat.h.xml,30,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/common.h.xml,33,3,9,1.25,0.5,,,,,,,,8,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/comp-lz4.c.xml,238,4,227,1.3333333333333333,0.5773502691896257,,,,,,,,6,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats/src/openvpn/comp-lz4.h.xml,10,1,7,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
