"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/config-msvc.h.xml,84,86,#if,!defined(__cplusplus),__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/config-msvc.h.xml,97,99,#if,_MSC_VER<1900,_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/config-msvc.h.xml,101,103,#if,_MSC_VER < 1800,_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/config-msvc.h.xml,131,133,#if,defined(HAVE_CONFIG_MSVC_LOCAL_H),HAVE_CONFIG_MSVC_LOCAL_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/config-msvc.h.xml,136,139,#if,_WIN32_WINNT >= _WIN32_WINNT_VISTA,_WIN32_WINNT;_WIN32_WINNT_VISTA
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/cert_data.c.xml,270,274,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/cert_data.h.xml,24,50,#if,!defined(__cert_data_h__),__cert_data_h__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/common_osx.h.xml,25,38,#if,!defined(__common_osx_h__),__common_osx_h__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/crypto_osx.h.xml,25,44,#if,!defined(__crypto_osx_h__),__crypto_osx_h__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/main.c.xml,182,184,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/main.c.xml,228,230,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/include/openvpn-msg.h.xml,24,114,#if,!defined(OPENVPN_MSG_H_),OPENVPN_MSG_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/include/openvpn-plugin.h.xml,25,847,#if,!defined(OPENVPN_PLUGIN_H_),OPENVPN_PLUGIN_H_
