"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/config-msvc.h.xml,HAVE_CONFIG_MSVC_LOCAL_H;_MSC_VER;_WIN32_WINNT;_WIN32_WINNT_VISTA;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/cert_data.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/cert_data.h.xml,__cert_data_h__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/common_osx.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/common_osx.h.xml,__common_osx_h__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/crypto_osx.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/crypto_osx.h.xml,__crypto_osx_h__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/contrib/keychain-mcd/main.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/include/openvpn-msg.h.xml,OPENVPN_MSG_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/include/openvpn-plugin.h.xml,ENABLE_CRYPTO;ENABLE_CRYPTO_MBEDTLS;OPENVPN_PLUGIN_H;OPENVPN_PLUGIN_H_;_WIN32;__GNUC__;__OPENVPN_X509_CERT_T_DECLARED;__USE_MINGW_ANSI_STDIO;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/compat/compat-basename.c.xml,HAVE_BASENAME;HAVE_CONFIG_H;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/compat/compat-daemon.c.xml,HAVE_CONFIG_H;HAVE_DAEMON;HAVE_DUP;HAVE_DUP2;HAVE_ERRNO_H;HAVE_FCNTL_H;HAVE_FORK;HAVE_SETSID;HAVE_STDLIB_H;HAVE_SYS_STAT_H;HAVE_SYS_TYPES_H;HAVE_UNISTD_H;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/compat/compat-dirname.c.xml,HAVE_CONFIG_H;HAVE_DIRNAME;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/compat/compat-gettimeofday.c.xml,HAVE_CONFIG_H;HAVE_GETTIMEOFDAY;HAVE_TIME_H;_MSC_VER;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/compat/compat-inet_ntop.c.xml,HAVE_CONFIG_H;HAVE_INET_NTOP;_MSC_VER;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/compat/compat-inet_pton.c.xml,HAVE_CONFIG_H;HAVE_INET_PTON;_MSC_VER;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/compat/compat-lz4.c.xml,HAVE_CONFIG_H;HEAPMODE;LZ4_COMMONDEFS_ONLY;LZ4_FORCE_SW_BITCOUNT;LZ4_GCC_VERSION;NEED_COMPAT_LZ4;_MSC_VER;_WIN32_WCE;_WIN64;__GNUC__;__INTEL_COMPILER;__STDC_VERSION__;__clang__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/compat/compat-lz4.h.xml,LZ4_DEPRECATE_WARNING_DEFBLOCK;LZ4_GCC_VERSION;_MSC_VER;__clang__;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/compat/compat-versionhelpers.h.xml,_INC_VERSIONHELPERS;__WIDL__;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/compat/compat.h.xml,COMPAT_H;HAVE_BASENAME;HAVE_DAEMON;HAVE_DIRNAME;HAVE_GETTIMEOFDAY;HAVE_INET_NTOP;HAVE_INET_PTON;HAVE_SYS_SOCKET_H;HAVE_SYS_TIME_H;HAVE_WINSOCK2_H;HAVE_WS2TCPIP_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/argv.c.xml,HAVE_CONFIG_H;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/argv.h.xml,ARGV_H;__GNUC__;__USE_MINGW_ANSI_STDIO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/base64.c.xml,HAVE_CONFIG_H;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/base64.h.xml,_BASE64_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/basic.h.xml,BASIC_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/block_dns.c.xml,FWPM_SESSION_FLAG_DYNAMIC;HAVE_CONFIG_H;HAVE_CONFIG_VERSION_H;_MSC_VER;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/block_dns.h.xml,OPENVPN_BLOCK_DNS_H;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/buffer.c.xml,BUF_INIT_TRACKING;CHARACTER_CLASS_DEBUG;DMALLOC;HAVE_CONFIG_H;VERIFY_ALIGNMENT;ZERO_BUFFER_ON_ALLOC;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/buffer.h.xml,BUFFER_H;BUF_INIT_TRACKING;CHARACTER_CLASS_DEBUG;DMALLOC;VERIFY_ALIGNMENT;_WIN32;__GNUC__;__USE_MINGW_ANSI_STDIO;__clang__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/circ_list.h.xml,CIRC_LIST_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/clinat.c.xml,HAVE_CONFIG_H;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/clinat.h.xml,CLINAT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/common.h.xml,COMMON_H;USE_64_BIT_COUNTERS;_WIN32;_WIN64
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/comp-lz4.c.xml,ENABLE_LZ4;HAVE_CONFIG_H;NEED_COMPAT_LZ4;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/comp-lz4.h.xml,ENABLE_LZ4;OPENVPN_COMP_LZ4_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/comp.c.xml,ENABLE_LZ4;ENABLE_LZO;HAVE_CONFIG_H;USE_COMP;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/comp.h.xml,ENABLE_LZ4;ENABLE_LZO;OPENVPN_COMP_H;USE_COMP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/compstub.c.xml,HAVE_CONFIG_H;USE_COMP;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/console.c.xml,ENABLE_SYSTEMD;HAVE_CONFIG_H;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/console.h.xml,CONSOLE_H;ENABLE_SYSTEMD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/console_builtin.c.xml,HAVE_CONFIG_H;HAVE_GETPASS;_MSC_VER;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/console_systemd.c.xml,ENABLE_SYSTEMD;SYSTEMD_NEWER_THAN_216
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/crypto.c.xml,ENABLE_CRYPTO;ENABLE_CRYPTO_OPENSSL;ENABLE_DEBUG;ENABLE_OFB_CFB_MODE;ENABLE_SMALL;HAVE_AEAD_CIPHER_MODES;HAVE_CONFIG_H;OPENSSL_VERSION_NUMBER;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/crypto.h.xml,CRYPTO_H;ENABLE_CRYPTO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/crypto_backend.h.xml,CRYPTO_BACKEND_H_;DMALLOC;ENABLE_CRYPTO_MBEDTLS;ENABLE_CRYPTO_OPENSSL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/crypto_mbedtls.c.xml,DMALLOC;ENABLE_CRYPTO;ENABLE_CRYPTO_MBEDTLS;ENABLE_PREDICTION_RESISTANCE;ENABLE_SMALL;HAVE_AEAD_CIPHER_MODES;HAVE_CONFIG_H;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/crypto_mbedtls.h.xml,CRYPTO_MBEDTLS_H_;ENABLE_PREDICTION_RESISTANCE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/crypto_openssl.c.xml,CRYPTO_MDEBUG;DMALLOC;ENABLE_CRYPTO;ENABLE_CRYPTO_OPENSSL;ENABLE_OFB_CFB_MODE;ENABLE_SMALL;EVP_CIPH_FLAG_AEAD_CIPHER;EVP_MAX_KEY_LENGTH;EVP_MAX_MD_SIZE;HAVE_AEAD_CIPHER_MODES;HAVE_CONFIG_H;HAVE_EVP_CIPHER_CTX_SET_KEY_LENGTH;HAVE_OPENSSL_ENGINE;MAX_CIPHER_KEY_LENGTH;MAX_HMAC_KEY_LENGTH;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/crypto_openssl.h.xml,CRYPTO_OPENSSL_H_;HAVE_AEAD_CIPHER_MODES
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/cryptoapi.c.xml,CERT_STORE_OPEN_EXISTING_FLAG;CERT_STORE_READONLY_FLAG;CERT_SYSTEM_STORE_CURRENT_USER;CERT_SYSTEM_STORE_CURRENT_USER_ID;CERT_SYSTEM_STORE_LOCATION_SHIFT;ENABLE_CRYPTOAPI;HAVE_CONFIG_H;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/openvpn-2.4.3/_cppstats_featurelocations/src/openvpn/cryptoapi.h.xml,_CRYPTOAPI_H_
