"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,26,28,#if,defined(_WIN32),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,28,34,#else,!(defined(_WIN32)),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,31,33,#if,(!(defined(_WIN32))) && (defined(PARROT_HAS_HEADER_PTHREAD)),PARROT_HAS_HEADER_PTHREAD;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,65,67,#if,defined(_WIN32),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,67,77,#else,!(defined(_WIN32)),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,94,96,#if,defined(_WIN32),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,96,115,#else,!(defined(_WIN32)),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,135,137,#if,defined(_WIN32),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,137,142,#else,!(defined(_WIN32)),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,149,151,#if,defined(_WIN32),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,151,156,#else,!(defined(_WIN32)),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,221,223,#if,defined(_WIN32),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,223,234,#else,!(defined(_WIN32)),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,251,253,#if,defined(_WIN32),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,253,255,#else,!(defined(_WIN32)),_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/call/ops.c.xml,75,78,#if,RUNLOOP_TRACE,RUNLOOP_TRACE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/call/ops.c.xml,84,86,#if,! STACKED_EXCEPTIONS,STACKED_EXCEPTIONS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/call/ops.c.xml,102,105,#if,RUNLOOP_TRACE,RUNLOOP_TRACE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/call/ops.c.xml,133,136,#if,RUNLOOP_TRACE,RUNLOOP_TRACE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/cfg.c.xml,716,718,#if,!USE_BFS,USE_BFS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/cfg.c.xml,718,722,#else,!(!USE_BFS),USE_BFS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/cfg.c.xml,746,769,#if,USE_BFS,USE_BFS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/cfg.c.xml,769,799,#else,!(USE_BFS),USE_BFS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/cfg.c.xml,831,834,#if,USE_BFS,USE_BFS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/cfg.h.xml,9,138,#if,!defined(PARROT_CFG_H_GUARD),PARROT_CFG_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/debug.h.xml,5,144,#if,!defined(PARROT_IMCC_DEBUG_H_GUARD),PARROT_IMCC_DEBUG_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imc.c.xml,74,80,#if,! COMPILE_IMMEDIATE,COMPILE_IMMEDIATE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imc.c.xml,232,235,#if,COMPILE_IMMEDIATE,COMPILE_IMMEDIATE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imc.h.xml,5,571,#if,!defined(PARROT_IMCC_IMC_H_GUARD),PARROT_IMCC_IMC_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imc.h.xml,11,13,#if,(!defined(PARROT_IMCC_IMC_H_GUARD)) && (defined(PARROT_HAS_HEADER_SYSEXITS)),PARROT_HAS_HEADER_SYSEXITS;PARROT_IMCC_IMC_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imc.h.xml,13,20,#else,(!defined(PARROT_IMCC_IMC_H_GUARD)) && (!(defined(PARROT_HAS_HEADER_SYSEXITS))),PARROT_HAS_HEADER_SYSEXITS;PARROT_IMCC_IMC_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imc.h.xml,28,30,#if,(!defined(PARROT_IMCC_IMC_H_GUARD)) && (!defined(PARROT_HAS_HEADER_UNISTD)),PARROT_HAS_HEADER_UNISTD;PARROT_IMCC_IMC_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imc.h.xml,33,35,#if,(!defined(PARROT_IMCC_IMC_H_GUARD)) && (IMCC_MAX_FIX_REGS > 16),IMCC_MAX_FIX_REGS;PARROT_IMCC_IMC_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imc.h.xml,172,175,#if,(!defined(PARROT_IMCC_IMC_H_GUARD)) && (!defined(YY_TYPEDEF_YY_SCANNER_T)),PARROT_IMCC_IMC_H_GUARD;YY_TYPEDEF_YY_SCANNER_T
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imclexer.c.xml,17,19,#if,!defined(__STDC_VERSION__),__STDC_VERSION__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imclexer.c.xml,37,39,#if,YY_FLEX_SUBMINOR_VERSION > 0,YY_FLEX_SUBMINOR_VERSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imclexer.c.xml,53,113,#if,!defined(FLEXINT_H),FLEXINT_H
