"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/alarm.c.xml,PARROT_HAS_HEADER_PTHREAD;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/call/args.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/call/context.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/call/context_accessors.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/call/ops.c.xml,RUNLOOP_TRACE;STACKED_EXCEPTIONS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/call/pcc.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/api.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/cfg.c.xml,USE_BFS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/cfg.h.xml,PARROT_CFG_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/debug.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/debug.h.xml,PARROT_IMCC_DEBUG_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imc.c.xml,COMPILE_IMMEDIATE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imc.h.xml,IMCC_MAX_FIX_REGS;PARROT_HAS_HEADER_SYSEXITS;PARROT_HAS_HEADER_UNISTD;PARROT_IMCC_IMC_H_GUARD;YY_TYPEDEF_YY_SCANNER_T
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imclexer.c.xml,ECHO;FLEXINT_H;INT16_MAX;INT16_MIN;INT32_MAX;INT32_MIN;INT8_MAX;INT8_MIN;UINT16_MAX;UINT32_MAX;UINT8_MAX;YY_BREAK;YY_BUF_SIZE;YY_DECL;YY_EXIT_FAILURE;YY_EXTRA_TYPE;YY_FATAL_ERROR;YY_FLEX_SUBMINOR_VERSION;YY_INPUT;YY_NEED_STRLEN;YY_NO_INPUT;YY_NO_UNISTD_H;YY_READ_BUF_SIZE;YY_SKIP_YYWRAP;YY_START_STACK_INCR;YY_STDINIT;YY_STRUCT_YY_BUFFER_STATE;YY_TYPEDEF_YY_BUFFER_STATE;YY_TYPEDEF_YY_SCANNER_T;YY_TYPEDEF_YY_SIZE_T;YY_USER_ACTION;YY_USER_INIT;YY_USE_CONST;__STDC_LIMIT_MACROS;__STDC_VERSION__;__STDC__;__cplusplus;__ia64__;yyterminate;yytext_ptr;yywrap
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imcparser.c.xml,ENABLE_NLS;EXIT_SUCCESS;OPDEBUG;YYCOPY;YYCOPY_NEEDED;YYDEBUG;YYENABLE_NLS;YYERROR_VERBOSE;YYFAIL;YYFPRINTF;YYFREE;YYINITDEPTH;YYLEX_PARAM;YYLLOC_DEFAULT;YYLTYPE_IS_TRIVIAL;YYMALLOC;YYMAXDEPTH;YYPARSE_PARAM;YYPRINT;YYSIZE_T;YYSTACK_ALLOC;YYSTACK_ALLOC_MAXIMUM;YYSTACK_RELOCATE;YYSTACK_USE_ALLOCA;YYSTYPE;YYSTYPE_IS_DECLARED;YYSTYPE_IS_TRIVIAL;YYTOKENTYPE;YYTOKEN_TABLE;YYTYPE_INT16;YYTYPE_INT8;YYTYPE_UINT16;YYTYPE_UINT8;YY_;YY_LOCATION_PRINT;_AIX;_ALLOCA_H;_GNU_SOURCE;_MSC_VER;_STRING_H;__BUILTIN_VA_ARG_INCR;__C99__FUNC__;__GLIBC__;__GNUC__;__SIZE_TYPE__;__STDC__;__cplusplus;free;lint;malloc;short;size_t;yyoverflow;yystpcpy;yystrlen;yytnamerr
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/imcparser.h.xml,YYSTYPE;YYSTYPE_IS_DECLARED;YYTOKENTYPE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/instructions.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/instructions.h.xml,PARROT_IMCC_INSTRUCTIONS_H_GUARD;_PARSER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/main.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/optimizer.c.xml,NUMVAL_SIZE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/optimizer.h.xml,PARROT_IMCC_OPTIMIZER_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/parser.h.xml,PARROT_IMCC_PARSER_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/parser_util.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/pbc.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/pbc.h.xml,PARROT_IMCC_PBC_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/pcc.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/reg_alloc.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/sets.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/sets.h.xml,PARROT_IMCC_SETS_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/symreg.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/symreg.h.xml,PARROT_IMCC_SYMREG_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/compilers/imcc/unit.h.xml,PARROT_IMCC_UNIT_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/datatypes.c.xml,PARROT_HAS_INF_NAN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/debug.c.xml,TRACE_DEBUGGER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/disassemble.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/dynext.c.xml,WIN32;__CYGWIN__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/embed/api.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/embed/bytecode.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/embed/embed_private.h.xml,PARROT_EMBED_PRIVATE_H_GUARD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/embed/pmc.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/embed/strings.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/events.c.xml,CX_DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/examples/benchmarks/primes.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/examples/benchmarks/primes2.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/examples/c/nanoparrot.c.xml,F;FUNC_CORE;PREDEREF_CORE;S;SWITCH_CORE;TRACE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/examples/c/pbc_info.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/examples/c/test_main.c.xml,DISABLE_GC_DEBUG;HAVE_COMPUTED_GOTO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/examples/compilers/japhc.c.xml,C_DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/examples/embed/cotorra.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/examples/mops/mops.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/exceptions.c.xml,BACKTRACE_VERBOSE;PARROT_HAS_BACKTRACE;PARROT_HAS_DLINFO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/exit.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/extend.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/frontend/parrot/main.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/frontend/parrot2/main.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/frontend/parrot_debugger/main.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/frontend/pbc_disassemble/main.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/frontend/pbc_dump/main.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/frontend/pbc_dump/packdump.c.xml,WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/frontend/pbc_merge/main.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/gc/alloc_memory.c.xml,DETAIL_MEMORY_DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/gc/alloc_resources.c.xml,NDEBUG;RESOURCE_DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/gc/api.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/gc/fixed_allocator.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/parrot-4.6.2/_cppstats_featurelocations/gc/fixed_allocator.h.xml,PARROT_GC_FIXED_ALLOCATOR_H_GUARD
