"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/TSRM/TSRM.c.xml,600,12,522,2.0,0.3429971702850177,,,,,,,,12,41,7,0,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/TSRM/TSRM.h.xml,150,17,104,1.8461538461538463,0.5547001962252291,,,,,,,,24,6,0,0,0,0,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/TSRM/readdir.h.xml,2,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/TSRM/tsrm_config.w32.h.xml,9,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/TSRM/tsrm_config_common.h.xml,55,14,22,1.6153846153846154,0.9607689228305227,,,,,,,,19,0,0,0,0,0,0,4,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/TSRM/tsrm_strtok_r.c.xml,52,0,12,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/TSRM/tsrm_strtok_r.h.xml,3,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/TSRM/tsrm_win32.c.xml,670,4,643,1.8571428571428572,0.3779644730092273,,,,,,,,4,4,2,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/TSRM/tsrm_win32.h.xml,77,2,4,1.0,0.0,,,,,,,,3,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/Zend/zend.c.xml,1215,11,264,1.2121212121212122,0.4151487502672805,,,,,,,,13,27,2,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/Zend/zend.h.xml,230,3,13,1.3333333333333333,0.5773502691896257,,,,,,,,6,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/Zend/zend_API.c.xml,3499,4,23,1.0,0.0,,,,,,,,3,2,10,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats/Zend/zend_API.h.xml,674,4,18,1.2,0.44721359549995804,,,,,,,,9,0,0,0,0,0,0,2,,
