"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats_featurelocations/TSRM/TSRM.c.xml,BETHREADS;GNUPTH;HAVE_SIGPROCMASK;HAVE_STDARG_H;NSAPI;PI3WEB;PTHREADS;THR_DEBUG;TSRM_DEBUG;TSRM_ST;TSRM_WIN32;ZTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats_featurelocations/TSRM/TSRM.h.xml,BETHREADS;GNUPTH;HAVE_SIGNAL_H;HAVE_SIGPROCMASK;NSAPI;PI3WEB;PTHREADS;TSRM_EXPORTS;TSRM_H;TSRM_INCLUDE_FULL_WINDOWS_HEADERS;TSRM_ST;TSRM_WIN32;WIN32;ZEND_DEBUG;ZTS;__CYGWIN__;__GNUC__;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats_featurelocations/TSRM/readdir.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats_featurelocations/TSRM/tsrm_config.w32.h.xml,TSRM_CONFIG_W32_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats_featurelocations/TSRM/tsrm_config_common.h.xml,HAVE_ALLOCA;HAVE_ALLOCA_H;HAVE_LIMITS_H;HAVE_UNISTD_H;MAXPATHLEN;MAX_PATH;PATH_MAX;TSRM_CONFIG_COMMON_H;TSRM_WIN32;_AIX;_ALLOCA_H;_WIN32;__CYGWIN__;__GNUC__;alloca
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats_featurelocations/TSRM/tsrm_strtok_r.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats_featurelocations/TSRM/tsrm_strtok_r.h.xml,TSRM_STRTOK_R
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats_featurelocations/TSRM/tsrm_win32.c.xml,HAVE_UTIME;SIZEOF_SIZE_T;TSRM_WIN32;ZTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats_featurelocations/TSRM/tsrm_win32.h.xml,HAVE_UTIME;TSRM_WIN32_H;ZTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/php-7.1.6/_cppstats_featurelocations/Zend/zend.c.xml,GC_BENCH;HAVE_DTRACE;HAVE_NORETURN;HAVE_NORETURN_ALIAS;XPFPA_HAVE_CW;ZEND_DEBUG;ZEND_SIGNALS;ZEND_WIN32;ZTS;__DragonFly__;__FreeBSD__
