"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/acconfig.h.xml,1,302,#if,!defined(CONFIG_H_INCLUDED),CONFIG_H_INCLUDED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/acconfig.h.xml,264,266,#if,(!defined(CONFIG_H_INCLUDED)) && (!defined(__STDC__)),CONFIG_H_INCLUDED;__STDC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/acconfig.h.xml,272,274,#if,(!defined(CONFIG_H_INCLUDED)) && (defined(FEATURE_PTHREAD) && defined(_WIN32)),CONFIG_H_INCLUDED;FEATURE_PTHREAD;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/acconfig.h.xml,280,283,#if,(!defined(CONFIG_H_INCLUDED)) && (defined(FEATURE_PTHREAD) && defined(__BEOS__)),CONFIG_H_INCLUDED;FEATURE_PTHREAD;__BEOS__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/acconfig.h.xml,289,291,#if,(!defined(CONFIG_H_INCLUDED)) && (( defined(__unix__) || defined(__NetBSD__) ) && !defined(unix)),CONFIG_H_INCLUDED;__NetBSD__;__unix__;unix
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/acconfig.h.xml,298,300,#if,(!defined(CONFIG_H_INCLUDED)) && (defined(_MSC_VER)),CONFIG_H_INCLUDED;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/actionlist.h.xml,43,45,#if,!(defined(DEFINE_ACTION_BOOL) && defined(DEFINE_ACTION_MULTI) && defined(DEFINE_ACTION_STRING)),DEFINE_ACTION_BOOL;DEFINE_ACTION_MULTI;DEFINE_ACTION_STRING
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/actionlist.h.xml,47,51,#if,!defined(DEFINE_CGI_PARAM_RADIO),DEFINE_CGI_PARAM_RADIO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/actionlist.h.xml,74,76,#if,defined(FEATURE_EXTERNAL_FILTERS),FEATURE_EXTERNAL_FILTERS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/actionlist.h.xml,77,81,#if,defined(FEATURE_FAST_REDIRECTS),FEATURE_FAST_REDIRECTS
