"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/acconfig.h.xml,CONFIG_H_INCLUDED;FEATURE_PTHREAD;_MSC_VER;_WIN32;__BEOS__;__NetBSD__;__STDC__;__unix__;unix
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/actionlist.h.xml,DEFINE_ACTION_ALIAS;DEFINE_ACTION_BOOL;DEFINE_ACTION_MULTI;DEFINE_ACTION_STRING;DEFINE_CGI_PARAM_RADIO;FEATURE_EXTERNAL_FILTERS;FEATURE_FAST_REDIRECTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/actions.c.xml,FEATURE_EXTERNAL_FILTERS;FEATURE_GRACEFUL_TERMINATION;FEATURE_PTHREAD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/actions.h.xml,ACTIONS_H_INCLUDED;FEATURE_GRACEFUL_TERMINATION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/amiga.c.xml,AMIGA;__GNUC__;__amigaos4__;ixemul;libnix
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/amiga.h.xml,AMIGA;AMIGA_H_INCLUDED;__amigaos4__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/cgi.c.xml,FEATURE_CGI_EDIT_ACTIONS;FEATURE_CLIENT_TAGS;FEATURE_COMPRESSION;FEATURE_FORCE_LOAD;FEATURE_GRACEFUL_TERMINATION;FEATURE_NO_GIFS;FEATURE_TOGGLE;HAVE_GMTIME_R;HAVE_LOCALTIME_R;MUTEX_LOCKS_AVAILABLE;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/cgi.h.xml,CGI_H_INCLUDED;FEATURE_COMPRESSION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/cgiedit.c.xml,FEATURE_CGI_EDIT_ACTIONS;FEATURE_EXTERNAL_FILTERS;FEATURE_TOGGLE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/privoxy-3.0.26/_cppstats_featurelocations/cgiedit.h.xml,CGIEDIT_H_INCLUDED;FEATURE_CGI_EDIT_ACTIONS;FEATURE_TOGGLE
