"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/editmap/editmap.c.xml,15,22,#if,!defined(lint),lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/editmap/editmap.c.xml,24,26,#if,!defined(lint),lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/editmap/editmap.c.xml,30,32,#if,!defined(ISC_UNIX),ISC_UNIX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/editmap/editmap.c.xml,36,38,#if,defined(EX_OK),EX_OK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/editmap/editmap.c.xml,100,103,#if,HASFCHOWN,HASFCHOWN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/editmap/editmap.c.xml,207,266,#if,HASFCHOWN,HASFCHOWN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/editmap/editmap.c.xml,247,256,#if,(HASFCHOWN) && (defined(UID_MAX)),HASFCHOWN;UID_MAX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/libmilter/mfapi.h.xml,17,603,#if,!defined(_LIBMILTER_MFAPI_H),_LIBMILTER_MFAPI_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/libmilter/mfapi.h.xml,20,29,#if,(!defined(_LIBMILTER_MFAPI_H)) && (!defined(SMFI_VERSION)),SMFI_VERSION;_LIBMILTER_MFAPI_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/libmilter/mfapi.h.xml,21,26,#if,((!defined(_LIBMILTER_MFAPI_H)) && (!defined(SMFI_VERSION))) && (_FFR_MDS_NEGOTIATE),SMFI_VERSION;_FFR_MDS_NEGOTIATE;_LIBMILTER_MFAPI_H
