"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/contrib/bitdomain.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/editmap/editmap.c.xml,EX_OK;HASFCHOWN;ISC_UNIX;UID_MAX;lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/libmilter/mfapi.h.xml,SMFI_VERSION;SM_CONF_STDBOOL_H;_FFR_MDS_NEGOTIATE;_FFR_THREAD_MONITOR;_FFR_WORKERS_POOL;_LIBMILTER_MFAPI_H;_SOCK_ADDR;__GNUC_MINOR__;__GNUC__;__P;__STDC__;__bool_true_false_are_defined;__cplusplus;__linux__;bool
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/libmilter/mfdef.h.xml,SMFI_PROT_VERSION;_FFR_MDS_NEGOTIATE;_FFR_MILTER_CHECK;_LIBMILTER_MFDEF_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/libmilter/milter.h.xml,_LIBMILTER_MILTER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/libsmdb/smdb.h.xml,NDBM;NEWDB;_SMDB_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sendmail/mailstats.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sendmail/pathnames.h.xml,BSD4_4;SM_PATHNAMES_H;USE_VENDOR_CF_PATH;_DIR_SENDMAILCF;_PATH_HOSTS;_PATH_LOCTMP;_PATH_MAILDIR;_PATH_SENDMAIL;_PATH_SENDMAILCF;_PATH_SENDMAILPID;_PATH_VENDOR_CF
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sendmail/sendmail.h.xml,MAXMAILERS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/assert.h.xml,SM_ASSERT_H;SM_CHECK_ALL;SM_CHECK_ASSERT;SM_CHECK_ENSURE;SM_CHECK_REQUIRE;__STDC__;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/bdb.h.xml,DB_FCNTL_LOCKING;DB_VERSION_MAJOR;DB_VERSION_MINOR;HASFLOCK;NEWDB;SM_BDB_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/bitops.h.xml,SM_BITOPS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/cdefs.h.xml,PRINTFLIKE;SCANFLIKE;SM_CDEFS_H;SM_CONF_FORMAT_TEST;SM_CONF_SYS_CDEFS_H;SM_DEAD;SM_OMIT_BOGUS_WARNINGS;SM_UNUSED;__GNUC_MINOR__;__GNUC__;__P;__STDC__;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/cf.h.xml,SM_CF_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/clock.h.xml,SM_CONF_SETITIMER;_SM_CLOCK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/conf.h.xml,AIX;ALTOS_SYSTEM_V;ARBPTR_T;ARGV_T;BROKEN_RES_SEARCH;BSD;BSD4_4;CLIX;DARWIN;DCOSx;DELL_SVR4;DGUX;DGUX_5_4_2;EX_CONFIG;EX_NOTFOUND;FDSET_CAST;FD_CLOEXEC;FD_SETSIZE;FORK;GIDSET_T;GID_T;GLIBC_VERSION;HASFCHMOD;HASFCHOWN;HASFLOCK;HASGETUSERSHELL;HASLSTAT;HASNICE;HASRANDOM;HASRRESVPORT;HASSETREUID;HASSETRLIMIT;HASSETVBUF;HASULIMIT;HASUNAME;HASUNSETENV;HASURANDOMDEV;HAS_IN_H;HESIOD;HPUX10;HPUX11;IDENTPROTO;IP_SRCROUTE;IRIX;IRIX5;IRIX6;IRIX64;ISC_UNIX;KERNEL_VERSION;LA_TYPE;LDAPMAP;LDAP_OPT_SIZELIMIT;LINUX_VERSION_CODE;LOCK_SH;LOG;MACH;MATCHGECOS;MAXHOSTNAMELEN;MAXPATHLEN;MIOC_READKSYM;MODE_T;MORE_BSD;MOTO;MPE;NAMED_BIND;NCR_MP_RAS2;NCR_MP_RAS3;NEEDLOCAL_HOSTNAME_LENGTH;NEEDPUTENV;NEEDSGETIPNODE;NETINET6;NETUNIX;NGROUPS;NGROUPS_MAX;NOT_SENDMAIL;NeXT;NetBSD;NetBSD0_9;NetBSD1_2;NetBSD1_3;NetBSD1_4;NonStop_UX_BXX;O_ACCMODE;OpenBSD;QUAD_T;RANDOMSHIFT;REQUIRES_DIR_FSYNC;RISCOS;RISCOS_4_0;SCANF;SECUREWARE;SEEK_SET;SFS_TYPE;SHARE_V1;SIGCHLD;SIGCLD;SIGFUNC_DECL;SIGFUNC_DEFINED;SIGFUNC_RETURN;SIGWAIT_TAKES_1_ARG;SIG_ERR;SMRSH_CMDDIR;SMRSH_PATH;SM_ALIGN_SIZE;SM_CONF_GETOPT;SM_CONF_H;SM_CONF_SYSLOG;SM_INT32;SM_PWN_CHARS;SM_SET_H_ERRNO;SM_UINT16;SNPRINTF_IS_BROKEN;SOCKADDR_LEN_T;SOCKOPT_LEN_T;SOLARIS;SOLARIS_2_3;SPT_TYPE;STDERR_FILENO;STDIN_FILENO;STDOUT_FILENO;SUNOS403;SYSLOG_BUFSIZE;SYSTEM5;S_IFIFO;S_IFLNK;S_IREAD;S_IRGRP;S_IROTH;S_IRUSR;S_ISDIR;S_ISFIFO;S_ISLNK;S_ISREG;S_IWGRP;S_IWOTH;S_IWUSR;S_IXGRP;S_IXOTH;S_IXUSR;TCPWRAPPERS;TZ_TYPE;UID_T;UMAXV;UNICOS;UNICOSMK;UNIXWARE;UNIXWARE2;USESETEUID;USE_DOUBLE_FORK;USE_ENVIRON;USE_LDAP_INIT;USE_LDAP_SET_OPTION;USE_SIGLONGJMP;V4FS;WCOREDUMP;WEXITSTATUS;WIFEXITED;WIFSTOPPED;WTERMSIG;_AIX;_AIX3;_AIX4;_AIX5;_AUX_SOURCE;_BSDI_VERSION;_CONVEX_SOURCE;_CRAY;_CRAYCOM;_FFR_DIGUNIX_SAFECHOWN;_FFR_LINUX_MHNL;_H3050R;_HIUX_SOURCE;_ILS_MACROS;_PATH_HOSTS;_PATH_SENDMAILPID;_PATH_UNIX;_PATH_VARRUN;_PATH_VENDOR_CF;_POSIX_SOURCE;_POSIX_VERSION;_PowerUX;_REENTRANT;_SCO_DS;_SCO_unix_;_SCO_unix_4_2;_SC_NPROCESSORS_ONLN;_SC_NPROC_ONLN;_SEQUENT_;_UNICOSMP;_UTS;_XOPEN_SOURCE;__APPLE__;__BIT_TYPES_DEFINED__;__DragonFly__;__FreeBSD__;__FreeBSD_version;__GLIBC_MINOR__;__GLIBC__;__GNUC__;__GNU__;__INTERIX;__MAXION__;__NetBSD_Version__;__NetBSD__;__OpenBSD__;__P;__PARAGON__;__QNXNTO__;__QNX__;__RES;__STDC__;__SVR4;__bsdi__;__hpux;__ksr__;__linux__;__osf__;__svr4;__svr4__;__svr5__;__uxp__;_nec_ews_svr4;apollo;h_errno;i386;isascii;jmp_buf;longjmp;luna;luna2;luna88k;major;minor;nec_ews_svr4;newstr;oldBSD43;sequent;setjmp;sinix;snprintf;sony_news;sun;titan;ultrix;umipsbsd;uniosb;vax;vsnprintf
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/config.h.xml,DO_NOT_USE_STRCPY;LDAPMAP;LDAP_API_VERSION;LDAP_OPT_URI;SM_CONFIG_H;SM_CONF_LDAP_INITIALIZE;SM_CONF_LDAP_MEMFREE;SM_CONF_LONGLONG;SM_CONF_MEMCHR;SM_CONF_QUAD_T;SM_CONF_SETITIMER;SM_CONF_SHM;SM_CONF_SIGSETJMP;SM_CONF_SSIZE_T;SM_CONF_STDBOOL_H;SM_CONF_STDDEF_H;SM_CONF_STRL;SM_CONF_SYSEXITS_H;SM_CONF_SYS_CDEFS_H;SM_CONF_TEST_LLONG;SM_CONF_UID_GID;USING_NETSCAPE_LDAP;__GNUC__;__STDC_VERSION__;__clang__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/debug.h.xml,SM_DEBUG_CHECK;SM_DEBUG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/errstring.h.xml,E_PSEUDOBASE;NEEDINTERRNO;SM_ERRSTRING_H;__QNX__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/exc.h.xml,SM_EXC_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/fdset.h.xml,SM_FDSET_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/gen.h.xml,NULL;SM_CONF_STDBOOL_H;SM_CONF_STDDEF_H;SM_GEN_H;__cplusplus;lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/heap.h.xml,SM_HEAP_CHECK;SM_HEAP_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/io.h.xml,SM_IO_H;_POSIX_SOURCE;__STDC__;lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/ldap.h.xml,LDAPMAP;LDAPMAP_MAX_ATTR;LDAPMAP_MAX_FILTER;LDAPMAP_MAX_PASSWD;SM_CONF_LDAP_MEMFREE;SM_LDAP_H;_FFR_LDAP_NETWORK_TIMEOUT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/limits.h.xml,LLONG_MAX;LLONG_MIN;MAXPATHLEN;PATH_MAX;SM_LIMITS_H;ULLONG_MAX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/mbdb.h.xml,SM_MBDB_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/misc.h.xml,SM_MISC_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_aix.h.xml,SM_CONF_MSG;SM_CONF_SEM;SM_CONF_SHM;SM_CONF_SYSLOG;_AIX3;_AIX4;_AIX5
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_dragonfly.h.xml,SM_CONF_MSG;SM_CONF_SEM;SM_CONF_SHM;SM_CONF_STRL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_freebsd.h.xml,SM_CONF_MSG;SM_CONF_SEM;SM_CONF_SHM;SM_CONF_STRL;__FreeBSD__;__FreeBSD_version
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_hp.h.xml,SM_CONF_MSG;SM_CONF_SEM;SM_CONF_SHM;SM_IO_MAX_BUF;SM_IO_MIN_BUF
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_irix.h.xml,IRIX;IRIX5;IRIX6;IRIX64;SM_CONF_TEST_LLONG;_MIPS_SIM
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_linux.h.xml,KERNEL_VERSION;LINUX_VERSION_CODE;SM_CONF_MSG;SM_CONF_SEM;SM_CONF_SETITIMER;SM_CONF_SHM
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_mpeix.h.xml,SM_CONF_CANT_SETRGID;SM_CONF_MSG;SM_CONF_SEM;SM_CONF_SHM
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_next.h.xml,SM_CONF_TEST_LLONG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_openbsd.h.xml,SM_CONF_MSG;SM_CONF_SEM;SM_CONF_SHM
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_openunix.h.xml,SM_CONF_SHM
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_osf1.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_qnx.h.xml,SM_CONF_SETITIMER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_sunos.h.xml,SM_CONF_BROKEN_SIZE_T;SM_CONF_BROKEN_STRTOD;SM_CONF_MEMCHR;SM_CONF_MSG;SM_CONF_SEM;SM_CONF_SHM;SOLARIS;SUNOS403
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_ultrix.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_unicos.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_unicosmk.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_unicosmp.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/os/sm_os_unixware.h.xml,LDA_USE_LOCKF;SM_CONF_BROKEN_SIZE_T;SM_CONF_LONGLONG;SM_CONF_SHM;SM_CONF_TEST_LLONG;__SCO_VERSION__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/path.h.xml,SM_PATH_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/rpool.h.xml,DO_NOT_USE_STRCPY;SM_HEAP_CHECK;SM_RPOOL_H;_FFR_PERF_RPOOL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/sem.h.xml,SEM_A;SEM_R;SM_CONF_SEM;SM_SEM_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/sendmail.h.xml,_SM_SENDMAIL_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/setjmp.h.xml,SM_CONF_SIGSETJMP;SM_SETJMP_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/shm.h.xml,SHM_R;SHM_W;SM_CONF_SHM;SM_SHM_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/signal.h.xml,SM_SIGNAL_H;SYS5SIGNALS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/string.h.xml,DO_NOT_USE_STRCPY;HASSTRERROR;SM_STRING_H;__STDC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/sysexits.h.xml,SM_CONF_SYSEXITS_H;SM_SYSEXITS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/tailq.h.xml,SM_TAILQ_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/test.h.xml,SM_TEST_H;__STDC__;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/time.h.xml,SM_TIME_H;timeradd;timercmp;timersub
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/types.h.xml,SM_CONF_LONGLONG;SM_CONF_QUAD_T;SM_CONF_SSIZE_T;SM_CONF_UID_GID;SM_TYPES_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/varargs.h.xml,SM_VARARGS_H;__STDC__;__cplusplus;__va_copy;va_copy
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/include/sm/xtrap.h.xml,SM_DEBUG_CHECK;SM_XTRAP_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/libmilter/comm.c.xml,_FFR_ADD_NULL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/libmilter/engine.c.xml,CI_CONNECT;CI_DATA;CI_ENVFROM;CI_ENVRCPT;CI_EOH;CI_EOM;CI_HELO;CI_LAST;MAX_MACROS_ENTRIES;NETINET;NETINET6;NETUNIX;SM_CONF_POLL;_FFR_MDS_NEGOTIATE;_FFR_MILTER_CHECK;_FFR_WORKERS_POOL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/libmilter/example.c.xml,true
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/libmilter/handler.c.xml,_FFR_WORKERS_POOL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sendmail-8.15.2/_cppstats_featurelocations/libmilter/libmilter.h.xml,MI_SOMAXCONN;SM_ASSERT;SM_CONF_POLL;SOMAXCONN;_DEFINE;_FFR_THREAD_MONITOR;_FFR_WORKERS_POOL;_LIBMILTER_H
