"sep=,"
FILENAME,LOC,NOFC,LOF,ANDAVG,ANDSTDEV,SDEGMEAN,SDEGSTD,TDEGMEAN,TDEGSTD,HOM,HET,HOHE,GRANGL,GRANFL,GRANBL,GRANSL,GRANEL,GRANML,GRANERR,NDMAX,NOFPFCMEAN,NOFPFCSTD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats/sqlite-amalgamation-3190300/shell.c.xml,6169,58,1035,1.1145833333333333,0.32019045867196216,,,,,,,,55,26,25,8,0,0,9,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats/sqlite-amalgamation-3190300/sqlite3.c.xml,123881,536,82389,1.7562060022230457,0.7269011650353274,,,,,,,,820,1921,521,14,13,5,14,6,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats/sqlite-amalgamation-3190300/sqlite3.h.xml,1445,27,391,1.25,0.43994134506405985,,,,,,,,7,30,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats/sqlite-amalgamation-3190300/sqlite3ext.h.xml,490,3,226,1.6666666666666667,0.5163977794943222,,,,,,,,7,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats/sqlite-autoconf-3190300/msvc.h.xml,18,1,15,1.0,0,,,,,,,,1,0,0,0,0,0,0,1,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats/sqlite-autoconf-3190300/shell.c.xml,6169,58,1035,1.1145833333333333,0.32019045867196216,,,,,,,,55,26,25,8,0,0,9,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats/sqlite-autoconf-3190300/sqlite3.c.xml,123881,536,82389,1.7562060022230457,0.7269011650353274,,,,,,,,820,1921,521,14,13,5,14,6,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats/sqlite-autoconf-3190300/sqlite3.h.xml,1445,27,391,1.25,0.43994134506405985,,,,,,,,7,30,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats/sqlite-autoconf-3190300/sqlite3ext.h.xml,490,3,226,1.6666666666666667,0.5163977794943222,,,,,,,,7,0,0,0,0,0,0,2,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats/sqlite-autoconf-3190300/tea/generic/tclsqlite3.c.xml,3168,38,1186,1.4264705882352942,0.6761651407973496,,,,,,,,36,33,10,1,0,1,0,3,,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats/sqlite-autoconf-3190300/tea/win/nmakehlp.c.xml,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,,
FUNCTIONS,=SUM(B2:B12),,=SUM(D2:D12),"=SUM(E2:E12)/countif(E2:E12;"">0"")","=SUM(F2:F12)/countif(E2:E12;"">0"")",,,,,,,,=SUM(N2:N12),=SUM(O2:O12),=SUM(P2:P12),=SUM(Q2:Q12),=SUM(R2:R12),=SUM(S2:S12),=SUM(T2:T12),=MAX(U2:U12),,
ALL - MERGED,,570,169283,1.7248474280732344,0.7249850246218935,17.035087719298247,47.61343495780224,2.5,1.528929542934296,1394,41,443,,,,,,,,,2.2578947368421054,0.8183844019297898
