"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,15,18,#if,(defined(_WIN32) || defined(WIN32)) && !defined(_CRT_SECURE_NO_WARNINGS),WIN32;_CRT_SECURE_NO_WARNINGS;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,23,25,#if,defined(INCLUDE_MSVC_H),INCLUDE_MSVC_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,30,32,#if,(defined(__RTP__) || defined(_WRS_KERNEL)) && !SQLITE_OMIT_LOAD_EXTENSION,SQLITE_OMIT_LOAD_EXTENSION;_WRS_KERNEL;__RTP__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,37,43,#if,!defined(SQLITE_DISABLE_LFS),SQLITE_DISABLE_LFS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,39,41,#if,(!defined(SQLITE_DISABLE_LFS)) && (!defined(_FILE_OFFSET_BITS)),SQLITE_DISABLE_LFS;_FILE_OFFSET_BITS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,50,52,#if,SQLITE_USER_AUTHENTICATION,SQLITE_USER_AUTHENTICATION
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,56,63,#if,!defined(_WIN32) && !defined(WIN32),WIN32;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,58,60,#if,(!defined(_WIN32) && !defined(WIN32)) && (!defined(__RTP__) && !defined(_WRS_KERNEL)),WIN32;_WIN32;_WRS_KERNEL;__RTP__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,65,68,#if,HAVE_READLINE,HAVE_READLINE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,70,72,#if,HAVE_EDITLINE,HAVE_EDITLINE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,74,82,#if,HAVE_EDITLINE || HAVE_READLINE,HAVE_EDITLINE;HAVE_READLINE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,82,91,#elif,(!(HAVE_EDITLINE || HAVE_READLINE)) && (HAVE_LINENOISE),HAVE_EDITLINE;HAVE_LINENOISE;HAVE_READLINE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,91,98,#else,(!(HAVE_EDITLINE || HAVE_READLINE)) && (!(HAVE_LINENOISE)),HAVE_EDITLINE;HAVE_LINENOISE;HAVE_READLINE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,101,112,#if,defined(_WIN32) || defined(WIN32),WIN32;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,105,107,#if,(defined(_WIN32) || defined(WIN32)) && (!defined(access)),WIN32;_WIN32;access
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,112,124,#else,!(defined(_WIN32) || defined(WIN32)),WIN32;_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,116,121,#if,(!(defined(_WIN32) || defined(WIN32))) && (!defined(__RTP__) && !defined(_WRS_KERNEL)),WIN32;_WIN32;_WRS_KERNEL;__RTP__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,121,123,#else,(!(defined(_WIN32) || defined(WIN32))) && (!(!defined(__RTP__) && !defined(_WRS_KERNEL))),WIN32;_WIN32;_WRS_KERNEL;__RTP__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,126,132,#if,defined(_WIN32_WCE),_WIN32_WCE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sqlite-3.19.3/_cppstats_featurelocations/sqlite-amalgamation-3190300/shell.c.xml,139,147,#if,defined(_WIN32) || defined(WIN32),WIN32;_WIN32
