"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/Array.h.xml,27,50,#if,!defined(ARRAY_H),ARRAY_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/BlameCallback.h.xml,27,76,#if,!defined(BLAMECALLBACK_H),BLAMECALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/ChangelistCallback.h.xml,27,58,#if,!defined(CHANGELISTCALLBACK_H),CHANGELISTCALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/ClientContext.h.xml,27,72,#if,!defined(CLIENTCONTEXT_H),CLIENTCONTEXT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/CommitCallback.h.xml,27,72,#if,!defined(COMMITCALLBACK_H),COMMITCALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/CommitEditor.h.xml,27,132,#if,!defined(JAVAHL_COMMIT_EDITOR_H),JAVAHL_COMMIT_EDITOR_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/CommitMessage.h.xml,27,62,#if,!defined(COMMITMESSAGE_H),COMMITMESSAGE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/CopySources.h.xml,27,79,#if,!defined(COPY_SOURCES_H),COPY_SOURCES_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/CreateJ.h.xml,27,122,#if,!defined(CREATEJ_H),CREATEJ_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/DiffOptions.h.xml,27,60,#if,!defined(JAVAHL_DIFF_OPTIONS_H),JAVAHL_DIFF_OPTIONS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/DiffSummaryReceiver.h.xml,27,78,#if,!defined(DIFFSUMMARYRECEIVER_H),DIFFSUMMARYRECEIVER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/EditorProxy.h.xml,27,153,#if,!defined(JAVAHL_EDITOR_PROXY_H),JAVAHL_EDITOR_PROXY_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/EnumMapper.h.xml,27,80,#if,!defined(ENUM_MAPPER_H),ENUM_MAPPER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/File.h.xml,27,55,#if,!defined(FILE_H),FILE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/GlobalConfig.h.xml,27,38,#if,!defined(JAVAHL_GLOBAL_CONFIG_H),JAVAHL_GLOBAL_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/ImportFilterCallback.h.xml,27,62,#if,!defined(IMPORT_FILTER_CALLBACK_H),IMPORT_FILTER_CALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/InfoCallback.h.xml,27,60,#if,!defined(INFOCALLBACK_H),INFOCALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/InputStream.h.xml,27,53,#if,!defined(INPUT_STREAM_H),INPUT_STREAM_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/Iterator.h.xml,27,64,#if,!defined(JAVAHL_ITERATOR_H),JAVAHL_ITERATOR_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/JNIByteArray.h.xml,27,69,#if,!defined(JNIBYTEARRAY_H),JNIBYTEARRAY_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/JNICriticalSection.h.xml,27,51,#if,!defined(JNICRITICALSECTION_H),JNICRITICALSECTION_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/JNIMutex.h.xml,27,50,#if,!defined(JNIMUTEX_H),JNIMUTEX_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/JNIStackElement.h.xml,27,79,#if,!defined(JNISTACKELEMENT_H),JNISTACKELEMENT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/JNIStringHolder.h.xml,27,48,#if,!defined(JNISTRINGHOLDER_H),JNISTRINGHOLDER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/JNIUtil.h.xml,27,333,#if,!defined(JNIUTIL_H),JNIUTIL_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/ListCallback.h.xml,27,70,#if,!defined(LISTCALLBACK_H),LISTCALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/LockTokenTable.h.xml,27,50,#if,!defined(JAVAHL_LOCK_TOKEN_TABLE_H),JAVAHL_LOCK_TOKEN_TABLE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/LogMessageCallback.h.xml,27,56,#if,!defined(LOGMESSAGECALLBACK_H),LOGMESSAGECALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/MessageReceiver.h.xml,27,48,#if,!defined(MESSAGERECEIVER_H),MESSAGERECEIVER_H
