"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/Array.h.xml,ARRAY_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/BlameCallback.h.xml,BLAMECALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/ChangelistCallback.h.xml,CHANGELISTCALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/ClientContext.h.xml,CLIENTCONTEXT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/CommitCallback.h.xml,COMMITCALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/CommitEditor.h.xml,JAVAHL_COMMIT_EDITOR_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/CommitMessage.h.xml,COMMITMESSAGE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/CopySources.h.xml,COPY_SOURCES_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/CreateJ.h.xml,CREATEJ_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/DiffOptions.h.xml,JAVAHL_DIFF_OPTIONS_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/DiffSummaryReceiver.h.xml,DIFFSUMMARYRECEIVER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/EditorProxy.h.xml,JAVAHL_EDITOR_PROXY_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/EnumMapper.h.xml,ENUM_MAPPER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/File.h.xml,FILE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/GlobalConfig.h.xml,JAVAHL_GLOBAL_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/ImportFilterCallback.h.xml,IMPORT_FILTER_CALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/InfoCallback.h.xml,INFOCALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/InputStream.h.xml,INPUT_STREAM_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/Iterator.h.xml,JAVAHL_ITERATOR_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/JNIByteArray.h.xml,JNIBYTEARRAY_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/JNICriticalSection.h.xml,JNICRITICALSECTION_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/JNIMutex.h.xml,JNIMUTEX_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/JNIStackElement.h.xml,JNISTACKELEMENT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/JNIStringHolder.h.xml,JNISTRINGHOLDER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/JNIUtil.h.xml,JNIUTIL_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/ListCallback.h.xml,LISTCALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/LockTokenTable.h.xml,JAVAHL_LOCK_TOKEN_TABLE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/LogMessageCallback.h.xml,LOGMESSAGECALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/MessageReceiver.h.xml,MESSAGERECEIVER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/OperationContext.h.xml,JAVAHL_OPERATION_CONTEXT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/OutputStream.h.xml,OUTPUT_STREAM_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/PatchCallback.h.xml,PATCHCALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/Path.h.xml,JAVAHL_PATH_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/Pool.h.xml,POOL_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/Prompter.h.xml,SVN_JAVAHL_PROMPTER_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/PropertyTable.h.xml,REVPROPTABLE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/ProplistCallback.h.xml,PROPLISTCALLBACK_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/RemoteSession.h.xml,JAVAHL_REMOTE_SESSION_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/RemoteSessionContext.h.xml,JAVAHL_REMOTE_SESSION_CONTEXT_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/ReposFreezeAction.h.xml,JAVAHL_REPOS_FREEZE_ACTION_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/subversion-1.9.5/_cppstats_featurelocations/subversion/bindings/javahl/native/ReposNotifyCallback.h.xml,REPOSNOTIFYCALLBACK_H
