"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/account.c.xml,20,22,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/account.c.xml,336,369,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/account.h.xml,20,70,#if,!defined(__ACCOUNT_H__),__ACCOUNT_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/base64.h.xml,20,46,#if,!defined(__BASE64_H__),__BASE64_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,20,22,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,33,35,#if,HAVE_LOCALE_H,HAVE_LOCALE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,652,660,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,773,777,#if,USE_THREADS,USE_THREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,777,781,#else,!(USE_THREADS),USE_THREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,962,965,#if,1,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,965,968,#else,!(1),
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,977,1102,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,1117,1131,#if,0,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,1697,1699,#if,defined(G_OS_WIN32),G_OS_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,1699,1701,#elif,(!(defined(G_OS_WIN32))) && (defined(__APPLE__)),G_OS_WIN32;__APPLE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,1701,1703,#else,(!(defined(G_OS_WIN32))) && (!(defined(__APPLE__))),G_OS_WIN32;__APPLE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,1948,1950,#if,!defined(G_OS_WIN32) && !defined(__APPLE__),G_OS_WIN32;__APPLE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,1979,1984,#if,defined(G_OS_WIN32) || defined(__APPLE__),G_OS_WIN32;__APPLE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,1984,2010,#else,!(defined(G_OS_WIN32) || defined(__APPLE__)),G_OS_WIN32;__APPLE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,2021,2026,#if,defined(G_OS_WIN32) || defined(__APPLE__),G_OS_WIN32;__APPLE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,2026,2028,#else,!(defined(G_OS_WIN32) || defined(__APPLE__)),G_OS_WIN32;__APPLE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,2145,2147,#if,defined(G_OS_WIN32),G_OS_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,2147,2157,#else,!(defined(G_OS_WIN32)),G_OS_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,2153,2156,#if,(!(defined(G_OS_WIN32))) && (defined(HAVE_LOCALE_H)),G_OS_WIN32;HAVE_LOCALE_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.h.xml,20,261,#if,!defined(__CODECONV_H__),__CODECONV_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.h.xml,23,25,#if,(!defined(__CODECONV_H__)) && (defined(HAVE_CONFIG_H)),HAVE_CONFIG_H;__CODECONV_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/customheader.c.xml,20,22,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/customheader.h.xml,20,45,#if,!defined(__CUSTOMHEADER_H__),__CUSTOMHEADER_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,20,134,#if,!defined(__DEFS_H__),__DEFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,23,25,#if,(!defined(__DEFS_H__)) && (defined(HAVE_CONFIG_H)),HAVE_CONFIG_H;__DEFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,29,31,#if,(!defined(__DEFS_H__)) && (HAVE_PATHS_H),HAVE_PATHS_H;__DEFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,33,35,#if,(!defined(__DEFS_H__)) && (HAVE_SYS_PARAM_H),HAVE_SYS_PARAM_H;__DEFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,43,45,#if,(!defined(__DEFS_H__)) && (defined(G_OS_WIN32) || defined(__APPLE__)),G_OS_WIN32;__APPLE__;__DEFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,45,47,#else,(!defined(__DEFS_H__)) && (!(defined(G_OS_WIN32) || defined(__APPLE__))),G_OS_WIN32;__APPLE__;__DEFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,83,85,#if,(!defined(__DEFS_H__)) && (defined(G_OS_WIN32)),G_OS_WIN32;__DEFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,87,89,#if,(!defined(__DEFS_H__)) && (defined(G_OS_WIN32)),G_OS_WIN32;__DEFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,89,91,#else,(!defined(__DEFS_H__)) && (!(defined(G_OS_WIN32))),G_OS_WIN32;__DEFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,97,99,#if,(!defined(__DEFS_H__)) && (defined(__APPLE__)),__APPLE__;__DEFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,99,101,#else,(!defined(__DEFS_H__)) && (!(defined(__APPLE__))),__APPLE__;__DEFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,103,105,#if,(!defined(__DEFS_H__)) && (defined(_PATH_MAILDIR)),_PATH_MAILDIR;__DEFS_H__
