"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/account.c.xml,HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/account.h.xml,__ACCOUNT_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/base64.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/base64.h.xml,__BASE64_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.c.xml,G_OS_WIN32;HAVE_CONFIG_H;HAVE_LOCALE_H;USE_THREADS;__APPLE__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/codeconv.h.xml,HAVE_CONFIG_H;__CODECONV_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/customheader.c.xml,HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/customheader.h.xml,__CUSTOMHEADER_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/defs.h.xml,G_OS_WIN32;HAVE_CONFIG_H;HAVE_PATHS_H;HAVE_SYS_PARAM_H;MAXPATHLEN;_PATH_MAILDIR;__APPLE__;__DEFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/displayheader.c.xml,HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/displayheader.h.xml,__DISPLAYHEADER_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/enums.h.xml,__ENUMS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/filter.c.xml,HAVE_CONFIG_H;HAVE_REGCOMP;HAVE_REGEX_H;USE_ONIGURUMA
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/filter.h.xml,__FILTER_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/folder.c.xml,G_OS_WIN32;HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/folder.h.xml,HAVE_CONFIG_H;__FOLDER_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/html.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/html.h.xml,__HTML_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/imap.c.xml,HAVE_CONFIG_H;HAVE_ICONV;USE_SSL;USE_THREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/imap.h.xml,HAVE_CONFIG_H;__IMAP_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/mbox.c.xml,G_OS_UNIX;HAVE_CONFIG_H;HAVE_FLOCK;HAVE_LIBLOCKFILE;HAVE_LOCKF;HAVE_LOCKFILE_H;HAVE_TRUNCATE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/mbox.h.xml,__MBOX_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/md5.c.xml,G_BIG_ENDIAN;G_BYTE_ORDER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/md5.h.xml,S_GNET_MD5_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/md5_hmac.c.xml,HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/md5_hmac.h.xml,__MD5_HMAC_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/mh.c.xml,G_OS_WIN32;HAVE_CONFIG_H;HAVE_DIRENT_D_TYPE;MEASURE_TIME;USE_THREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/mh.h.xml,__MH_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/news.c.xml,HAVE_CONFIG_H;USE_SSL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/news.h.xml,__NEWS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/nntp.c.xml,HAVE_CONFIG_H;USE_SSL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/nntp.h.xml,USE_SSL;__NNTP_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/pop.c.xml,HAVE_CONFIG_H;USE_SSL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/pop.h.xml,HAVE_CONFIG_H;__POP_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/prefs.c.xml,G_OS_WIN32;HAVE_CONFIG_H;HAVE_FSYNC
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/prefs.h.xml,__PREFS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/prefs_account.c.xml,HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/prefs_account.h.xml,HAVE_CONFIG_H;__PREFS_ACCOUNT_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/prefs_common.c.xml,G_OS_WIN32;HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/prefs_common.h.xml,HAVE_CONFIG_H;__PREFS_COMMON_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/procheader.c.xml,HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/procheader.h.xml,__PROCHEADER_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/procmime.c.xml,G_OS_WIN32;HAVE_CONFIG_H;MIME_DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/procmime.h.xml,HAVE_CONFIG_H;__PROCMIME_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/procmsg.c.xml,G_OS_WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/procmsg.h.xml,HAVE_CONFIG_H;__PROCMSG_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/quoted-printable.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/quoted-printable.h.xml,__QUOTED_PRINTABLE_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/recv.c.xml,HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/recv.h.xml,__RECV_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/session.c.xml,G_OS_UNIX;G_OS_WIN32;HAVE_CONFIG_H;USE_SSL;USE_THREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/session.h.xml,HAVE_CONFIG_H;USE_SSL;__SESSION_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/smtp.c.xml,HAVE_CONFIG_H;USE_SSL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/smtp.h.xml,HAVE_CONFIG_H;__SMTP_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/socket.c.xml,G_OS_UNIX;G_OS_WIN32;HAVE_CONFIG_H;HAVE_INET_ADDR;HAVE_INET_ATON;HAVE_SYS_SELECT_H;HAVE_SYS_WAIT_H;INET6;USE_SSL;USE_THREADS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/socket.h.xml,G_OS_UNIX;G_OS_WIN32;HAVE_CONFIG_H;HAVE_NETDB_H;USE_SSL;USE_THREADS;__SOCKET_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/socks.c.xml,G_OS_WIN32;HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/socks.h.xml,HAVE_CONFIG_H;__SOCKS_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/ssl.c.xml,G_OS_WIN32;HAVE_CONFIG_H;USE_SSL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/sylpheed-3.5.1/_cppstats_featurelocations/libsylph/ssl.h.xml,HAVE_CONFIG_H;USE_SSL;__SSL_H__
