"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/GvimExt/gvimext.h.xml,14,176,#if,!defined(AFX_STDAFX_H__3389658B_AD83_11D3_9C1E_0090278BBD99__INCLUDED_),AFX_STDAFX_H__3389658B_AD83_11D3_9C1E_0090278BBD99__INCLUDED_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/GvimExt/gvimext.h.xml,17,19,#if,(!defined(AFX_STDAFX_H__3389658B_AD83_11D3_9C1E_0090278BBD99__INCLUDED_)) && (defined(_MSC_VER) && _MSC_VER > 1000),AFX_STDAFX_H__3389658B_AD83_11D3_9C1E_0090278BBD99__INCLUDED_;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/GvimExt/gvimext.h.xml,30,32,#if,(!defined(AFX_STDAFX_H__3389658B_AD83_11D3_9C1E_0090278BBD99__INCLUDED_)) && (!defined(STRICT)),AFX_STDAFX_H__3389658B_AD83_11D3_9C1E_0090278BBD99__INCLUDED_;STRICT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/GvimExt/gvimext.h.xml,37,40,#if,(!defined(AFX_STDAFX_H__3389658B_AD83_11D3_9C1E_0090278BBD99__INCLUDED_)) && (defined(_MSC_VER) && _MSC_VER >= 1400),AFX_STDAFX_H__3389658B_AD83_11D3_9C1E_0090278BBD99__INCLUDED_;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/GvimExt/gvimext.h.xml,47,50,#if,(!defined(AFX_STDAFX_H__3389658B_AD83_11D3_9C1E_0090278BBD99__INCLUDED_)) && ((defined(_MSC_VER) && _MSC_VER < 1300) || !defined(MAXULONG_PTR)),AFX_STDAFX_H__3389658B_AD83_11D3_9C1E_0090278BBD99__INCLUDED_;MAXULONG_PTR;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/GvimExt/resource.h.xml,8,15,#if,defined(APSTUDIO_INVOKED),APSTUDIO_INVOKED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/GvimExt/resource.h.xml,9,14,#if,(defined(APSTUDIO_INVOKED)) && (!defined(APSTUDIO_READONLY_SYMBOLS)),APSTUDIO_INVOKED;APSTUDIO_READONLY_SYMBOLS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/Commands.h.xml,4,127,#if,!defined(AFX_COMMANDS_H__AC726717_2977_11D1_B2F3_006008040780__INCLUDED_),AFX_COMMANDS_H__AC726717_2977_11D1_B2F3_006008040780__INCLUDED_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/DSAddIn.h.xml,4,53,#if,!defined(AFX_DSADDIN_H__AC726715_2977_11D1_B2F3_006008040780__INCLUDED_),AFX_DSADDIN_H__AC726715_2977_11D1_B2F3_006008040780__INCLUDED_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/OleAut.h.xml,1,73,#if,!defined(__OLEAUT_H__),__OLEAUT_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/OleAut.h.xml,53,59,#if,(!defined(__OLEAUT_H__)) && (defined(UNICODE)),UNICODE;__OLEAUT_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/OleAut.h.xml,59,70,#else,(!defined(__OLEAUT_H__)) && (!(defined(UNICODE))),UNICODE;__OLEAUT_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/Resource.h.xml,23,30,#if,defined(APSTUDIO_INVOKED),APSTUDIO_INVOKED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/Resource.h.xml,24,29,#if,(defined(APSTUDIO_INVOKED)) && (!defined(APSTUDIO_READONLY_SYMBOLS)),APSTUDIO_INVOKED;APSTUDIO_READONLY_SYMBOLS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/StdAfx.h.xml,6,73,#if,!defined(AFX_STDAFX_H__AC72670E_2977_11D1_B2F3_006008040780__INCLUDED_),AFX_STDAFX_H__AC72670E_2977_11D1_B2F3_006008040780__INCLUDED_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/StdAfx.h.xml,45,64,#if,(!defined(AFX_STDAFX_H__AC72670E_2977_11D1_B2F3_006008040780__INCLUDED_)) && (defined(_DEBUG)),AFX_STDAFX_H__AC72670E_2977_11D1_B2F3_006008040780__INCLUDED_;_DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/StdAfx.h.xml,64,68,#else,(!defined(AFX_STDAFX_H__AC72670E_2977_11D1_B2F3_006008040780__INCLUDED_)) && (!(defined(_DEBUG))),AFX_STDAFX_H__AC72670E_2977_11D1_B2F3_006008040780__INCLUDED_;_DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/VisVim.h.xml,4,33,#if,!defined(AFX_VISVIM_H__AC72670B_2977_11D1_B2F3_006008040780__INCLUDED_),AFX_VISVIM_H__AC72670B_2977_11D1_B2F3_006008040780__INCLUDED_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/VisVim.h.xml,7,9,#if,(!defined(AFX_VISVIM_H__AC72670B_2977_11D1_B2F3_006008040780__INCLUDED_)) && (!defined(__AFXWIN_H__)),AFX_VISVIM_H__AC72670B_2977_11D1_B2F3_006008040780__INCLUDED_;__AFXWIN_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/ascii.h.xml,14,84,#if,!defined(EBCDIC),EBCDIC
