"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/GvimExt/gvimext.h.xml,AFX_STDAFX_H__3389658B_AD83_11D3_9C1E_0090278BBD99__INCLUDED_;MAXULONG_PTR;STRICT;_MSC_VER
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/GvimExt/resource.h.xml,APSTUDIO_INVOKED;APSTUDIO_READONLY_SYMBOLS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/Commands.h.xml,AFX_COMMANDS_H__AC726717_2977_11D1_B2F3_006008040780__INCLUDED_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/DSAddIn.h.xml,AFX_DSADDIN_H__AC726715_2977_11D1_B2F3_006008040780__INCLUDED_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/OleAut.h.xml,UNICODE;__OLEAUT_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/Resource.h.xml,APSTUDIO_INVOKED;APSTUDIO_READONLY_SYMBOLS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/StdAfx.h.xml,AFX_STDAFX_H__AC72670E_2977_11D1_B2F3_006008040780__INCLUDED_;_DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/VisVim/VisVim.h.xml,AFX_VISVIM_H__AC72670B_2977_11D1_B2F3_006008040780__INCLUDED_;__AFXWIN_H__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/arabic.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/arabic.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/ascii.h.xml,BACKSLASH_IN_FILENAME;EBCDIC
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/auto/config.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/blowfish.c.xml,DOS32;FEAT_CRYPT;HAVE_CONFIG_H;WIN3264;WORDS_BIGENDIAN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/buffer.c.xml,BACKSLASH_IN_FILENAME;DJGPP;EXITFREE;FEAT_AUTOCHDIR;FEAT_AUTOCMD;FEAT_BEVAL;FEAT_BYTEOFF;FEAT_CINDENT;FEAT_CLIENTSERVER;FEAT_CMDL_COMPL;FEAT_CMDL_INFO;FEAT_COMMENTS;FEAT_COMPL_FUNC;FEAT_CON_DIALOG;FEAT_CRYPT;FEAT_CURSORBIND;FEAT_DIFF;FEAT_EVAL;FEAT_FIND_ID;FEAT_FOLDING;FEAT_GUI;FEAT_GUI_DIALOG;FEAT_GUI_TABLINE;FEAT_INS_EXPAND;FEAT_JUMPLIST;FEAT_KEYMAP;FEAT_LISTCMDS;FEAT_LOCALMAP;FEAT_LUA;FEAT_MBYTE;FEAT_MZSCHEME;FEAT_NETBEANS_INTG;FEAT_PERL;FEAT_PRINTER;FEAT_PYTHON;FEAT_PYTHON3;FEAT_QUICKFIX;FEAT_RUBY;FEAT_SCROLLBIND;FEAT_SEARCHPATH;FEAT_SHORTCUT;FEAT_SIGNS;FEAT_SIGN_ICONS;FEAT_SMARTINDENT;FEAT_SPELL;FEAT_STL_OPT;FEAT_SUN_WORKSHOP;FEAT_SYN_HL;FEAT_TCL;FEAT_TEXTOBJ;FEAT_TITLE;FEAT_USR_CMDS;FEAT_VERTSPLIT;FEAT_VIMINFO;FEAT_VIRTUALEDIT;FEAT_VISUAL;FEAT_WINDOWS;HAS_SWAP_EXISTS_ACTION;HAVE_BUFLIST_MATCH;MSWIN;PROTO;SHORT_FNAME;UNIX;USE_FNAME_CASE;USE_LONG_FNAME
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/charset.c.xml,BACKSLASH_IN_FILENAME;EBCDIC;FEAT_EVAL;FEAT_EX_EXTRA;FEAT_FKMAP;FEAT_GUI;FEAT_GUI_GTK;FEAT_INS_EXPAND;FEAT_LINEBREAK;FEAT_LISP;FEAT_LISTCMDS;FEAT_MBYTE;FEAT_POSTSCRIPT;FEAT_SIGNS;FEAT_SNIFF;FEAT_SPELL;FEAT_SYN_HL;FEAT_TERMRESPONSE;FEAT_TITLE;FEAT_VERTSPLIT;FEAT_VIRTUALEDIT;FEAT_VISUAL;FEAT_VREPLACE;FEAT_WINDOWS;HAVE_ISWLOWER;HAVE_ISWUPPER;HAVE_TOWLOWER;HAVE_TOWUPPER;HAVE_WCHAR_H;PROTO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/diff.c.xml,FEAT_AUTOCMD;FEAT_BROWSE;FEAT_CURSORBIND;FEAT_DIFF;FEAT_EVAL;FEAT_FOLDING;FEAT_GUI;FEAT_MBYTE;FEAT_SCROLLBIND;MSDOS;MSWIN;PROTO;TEMPDIRNAMES;UNIX;USE_CR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/digraph.c.xml,EBCDIC;FEAT_CMDL_INFO;FEAT_CRYPT;FEAT_DIGRAPHS;FEAT_EVAL;FEAT_KEYMAP;FEAT_MBYTE;FEAT_WINDOWS;HPUX_DIGRAPHS;MACOS;MSDOS;OLD_DIGRAPHS;OS2;PROTO;USE_UNICODE_DIGRAPHS;__MINT__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/dlldata.c.xml,__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/dosinst.c.xml,WIN3264;__CYGWIN__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/dosinst.h.xml,CSIDL_COMMON_DESKTOPDIRECTORY;CSIDL_COMMON_PROGRAMS;DJGPP;DOSINST;FALSE;KEY_WOW64_64KEY;TRUE;UNIX_LINT;VER_PLATFORM_WIN32_WINDOWS;WIN32;WIN3264;_MSC_VER;_WIN64;__BORLANDC__;__CYGWIN__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/edit.c.xml,CURSOR_SHAPE;EBCDIC;ESC_CHG_TO_ENG_MODE;EXITFREE;FEAT_AUTOCMD;FEAT_CINDENT;FEAT_CMDL_INFO;FEAT_CMDWIN;FEAT_COMMENTS;FEAT_COMPL_FUNC;FEAT_CONCEAL;FEAT_CURSORBIND;FEAT_DIFF;FEAT_DIGRAPHS;FEAT_DND;FEAT_EVAL;FEAT_FIND_ID;FEAT_FKMAP;FEAT_FOLDING;FEAT_GUI;FEAT_GUI_GTK;FEAT_GUI_TABLINE;FEAT_GUI_W32;FEAT_HANGULIN;FEAT_INS_EXPAND;FEAT_KEYMAP;FEAT_LINEBREAK;FEAT_LISP;FEAT_MBYTE;FEAT_MOUSE;FEAT_NETBEANS_INTG;FEAT_QUICKFIX;FEAT_RIGHTLEFT;FEAT_SCROLLBIND;FEAT_SIGNS;FEAT_SMARTINDENT;FEAT_SNIFF;FEAT_SPELL;FEAT_SYN_HL;FEAT_VIRTUALEDIT;FEAT_VISUAL;FEAT_VREPLACE;FEAT_WINDOWS;FEAT_XIM;HAVE_SANDBOX;MACOS;PROTO;UNIX;USE_IM_CONTROL;USE_ON_FLY_SCROLL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/eval.c.xml,ALL_BUILTIN_TCAPS;AMIGA;BACKSLASH_IN_FILENAME;CASE_INSENSITIVE_FILENAME;CURSOR_SHAPE;DEBUG;DJGPP;DYNAMIC_ICONV;DYNAMIC_LUA;DYNAMIC_MZSCHEME;DYNAMIC_PERL;DYNAMIC_PYTHON;DYNAMIC_PYTHON3;DYNAMIC_RUBY;DYNAMIC_TCL;EBCDIC;EXITFREE;FEAT_ARABIC;FEAT_ARP;FEAT_AUTOCMD;FEAT_BEVAL;FEAT_BROWSE;FEAT_BROWSE_CMD;FEAT_BYTEOFF;FEAT_CINDENT;FEAT_CLIENTSERVER;FEAT_CLIPBOARD;FEAT_CMDHIST;FEAT_CMDL_COMPL;FEAT_CMDL_INFO;FEAT_COMMENTS;FEAT_COMPL_FUNC;FEAT_CONCEAL;FEAT_CON_DIALOG;FEAT_CRYPT;FEAT_CSCOPE;FEAT_CURSORBIND;FEAT_DIFF;FEAT_DIGRAPHS;FEAT_DND;FEAT_EMACS_TAGS;FEAT_EVAL;FEAT_EX_EXTRA;FEAT_FILTERPIPE;FEAT_FIND_ID;FEAT_FKMAP;FEAT_FLOAT;FEAT_FOLDING;FEAT_FOOTER;FEAT_GETTEXT;FEAT_GUI;FEAT_GUI_ATHENA;FEAT_GUI_DIALOG;FEAT_GUI_GNOME;FEAT_GUI_GTK;FEAT_GUI_MAC;FEAT_GUI_MOTIF;FEAT_GUI_NEXTAW;FEAT_GUI_PHOTON;FEAT_GUI_TEXTDIALOG;FEAT_GUI_W16;FEAT_GUI_W32;FEAT_HANGULIN;FEAT_INS_EXPAND;FEAT_JUMPLIST;FEAT_KEYMAP;FEAT_LANGMAP;FEAT_LIBCALL;FEAT_LINEBREAK;FEAT_LISP;FEAT_LISTCMDS;FEAT_LOCALMAP;FEAT_LUA;FEAT_MBYTE;FEAT_MBYTE_IME;FEAT_MENU;FEAT_MODIFY_FNAME;FEAT_MOUSE;FEAT_MOUSESHAPE;FEAT_MOUSE_DEC;FEAT_MOUSE_GPM;FEAT_MOUSE_JSB;FEAT_MOUSE_NET;FEAT_MOUSE_PTERM;FEAT_MOUSE_SGR;FEAT_MOUSE_URXVT;FEAT_MOUSE_XTERM;FEAT_MULTI_LANG;FEAT_MZSCHEME;FEAT_NETBEANS_INTG;FEAT_OLE;FEAT_PATH_EXTRA;FEAT_PERL;FEAT_PERSISTENT_UNDO;FEAT_POSTSCRIPT;FEAT_PRINTER;FEAT_PROFILE;FEAT_PYTHON;FEAT_PYTHON3;FEAT_QUICKFIX;FEAT_RELTIME;FEAT_RIGHTLEFT;FEAT_RUBY;FEAT_SCROLLBIND;FEAT_SEARCHPATH;FEAT_SEARCH_EXTRA;FEAT_SESSION;FEAT_SHORTCUT;FEAT_SIGNS;FEAT_SMARTINDENT;FEAT_SNIFF;FEAT_SPELL;FEAT_STL_OPT;FEAT_SUN_WORKSHOP;FEAT_SYN_HL;FEAT_SYSMOUSE;FEAT_TAG_ANYWHITE;FEAT_TAG_BINS;FEAT_TAG_OLDSTATIC;FEAT_TCL;FEAT_TERMRESPONSE;FEAT_TEXTOBJ;FEAT_TITLE;FEAT_TOOLBAR;FEAT_USR_CMDS;FEAT_VERTSPLIT;FEAT_VIMINFO;FEAT_VIRTUALEDIT;FEAT_VISUAL;FEAT_VISUALEXTRA;FEAT_VREPLACE;FEAT_WAK;FEAT_WILDIGN;FEAT_WILDMENU;FEAT_WINDOWS;FEAT_WRITEBACKUP;FEAT_X11;FEAT_XCLIPBOARD;FEAT_XFONTSET;FEAT_XIM;FEAT_XPM_W32;FEAT_XTERM_SAVE;HAVE_ICONV_H;HAVE_MATH_H;HAVE_READLINK;HAVE_STDARG_H;HAVE_STRFTIME;HAVE_TGETENT;MACOS;MACOS_X_UNIX;MSDOS;NO_CONSOLE_INPUT;OS2;O_NONBLOCK;PROTO;SOME_BUILTIN_TCAPS;STARTUPTIME;S_IFBLK;S_IFCHR;S_IFIFO;S_IFLNK;S_IFMT;S_IFSOCK;S_ISBLK;S_ISCHR;S_ISFIFO;S_ISLNK;S_ISREG;S_ISSOCK;TERMINFO;UNIX;USER_HOME;USE_CR;USE_CRNL;USE_FILE_CHOOSER;USE_ICONV;USE_SYSTEM;USE_XSMP;USE_XSMP_INTERACT;VMS;WIN16;WIN32;WIN3264;WIN64;_WIN32_WINNT;_WIN64;__BEOS__;__BORLANDC__;__CYGWIN32__;__CYGWIN__;__QNX__;vim_mkdir
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/vim-7.4/_cppstats_featurelocations/ex_cmds.c.xml,AMIGA;ARCHIE;EBCDIC;EXITFREE;FEAT_ARABIC;FEAT_AUTOCMD;FEAT_BROWSE;FEAT_CLIENTSERVER;FEAT_CMDHIST;FEAT_CMDL_COMPL;FEAT_CON_DIALOG;FEAT_DIFF;FEAT_EVAL;FEAT_EX_EXTRA;FEAT_FILTERPIPE;FEAT_FKMAP;FEAT_FOLDING;FEAT_GUI;FEAT_GUI_DIALOG;FEAT_GUI_MSWIN;FEAT_GUI_W32;FEAT_INS_EXPAND;FEAT_KEYMAP;FEAT_LISTCMDS;FEAT_MBYTE;FEAT_MOUSE;FEAT_MULTI_LANG;FEAT_NETBEANS_INTG;FEAT_QUICKFIX;FEAT_RIGHTLEFT;FEAT_SCROLLBIND;FEAT_SIGNS;FEAT_SIGN_ICONS;FEAT_SPELL;FEAT_SUN_WORKSHOP;FEAT_SYN_HL;FEAT_TITLE;FEAT_VERTSPLIT;FEAT_VIMINFO;FEAT_VIRTUALEDIT;FEAT_VISUAL;FEAT_WINDOWS;HAS_SWAP_EXISTS_ACTION;HAVE_FCHOWN;HAVE_SANDBOX;MSWIN;OS2;PROTO;SHORT_FNAME;UNIX;USE_FNAME_CASE;USE_GUI;USE_LONG_FNAME;USE_ON_FLY_SCROLL;VIMINFO_FILE2;VMS;WIN3264;__BORLANDC__
