"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/lib/strchr.c.xml,7,9,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/lib/strchr.c.xml,14,16,#if,defined(HAVE_INDEX),HAVE_INDEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/lib/strchr.c.xml,16,21,#else,!(defined(HAVE_INDEX)),HAVE_INDEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/lib/strrchr.c.xml,6,8,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/lib/strrchr.c.xml,13,15,#if,defined(HAVE_RINDEX),HAVE_RINDEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/lib/strrchr.c.xml,15,20,#else,!(defined(HAVE_RINDEX)),HAVE_RINDEX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SimpleMenu.c.xml,43,45,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SimpleMenu.c.xml,51,55,#if,defined(XAW3D),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SimpleMenu.c.xml,55,59,#else,!(defined(XAW3D)),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SimpleMenu.c.xml,751,753,#if,NeedFunctionPrototypes,NeedFunctionPrototypes
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SimpleMenu.c.xml,753,756,#else,!(NeedFunctionPrototypes),NeedFunctionPrototypes
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SimpleMenu.c.xml,770,772,#if,NeedFunctionPrototypes,NeedFunctionPrototypes
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SimpleMenu.c.xml,772,775,#else,!(NeedFunctionPrototypes),NeedFunctionPrototypes
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SimpleMenu.c.xml,789,791,#if,NeedFunctionPrototypes,NeedFunctionPrototypes
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SimpleMenu.c.xml,791,794,#else,!(NeedFunctionPrototypes),NeedFunctionPrototypes
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,51,52,#if,defined(X_NOT_STDC_ENV),X_NOT_STDC_ENV
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,52,54,#else,!(defined(X_NOT_STDC_ENV)),X_NOT_STDC_ENV
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,58,60,#if,defined(XAW3D),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,60,62,#else,!(defined(XAW3D)),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,112,114,#if,defined(XAW3D),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,114,116,#else,!(defined(XAW3D)),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,159,164,#if,defined(XAW3D),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,257,259,#if,defined(XAW3D),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,259,261,#else,!(defined(XAW3D)),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,264,272,#if,(XtVersion >= 11006),XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,272,275,#else,!((XtVersion >= 11006)),XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,280,289,#if,!defined(XAW3D),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,304,310,#if,(XtVersion >= 11006),XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,319,325,#if,(XtVersion >= 11006),XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,340,348,#if,(XtVersion >= 11006),XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,401,405,#if,(XtVersion >= 11006),XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,405,408,#else,!((XtVersion >= 11006)),XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,415,420,#if,(XtVersion >= 11006),XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,488,498,#if,defined(XAW3D),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,525,545,#if,(XtVersion >= 11006),XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,534,536,#if,((XtVersion >= 11006)) && (defined(XAW3D)),XAW3D;XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,540,542,#if,((XtVersion >= 11006)) && (defined(XAW3D)),XAW3D;XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,554,556,#if,defined(XAW3D),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,563,565,#if,defined(XAW3D),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,592,594,#if,defined(XAW3D),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,615,617,#if,defined(XAW3D),XAW3D
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,707,711,#if,(XtVersion >= 11006),XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,716,720,#if,(XtVersion >= 11006),XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,730,734,#if,(XtVersion >= 11006),XtVersion
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.c.xml,761,775,#if,defined(apollo),apollo
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.h.xml,44,107,#if,!defined(_SmeBSB_h),_SmeBSB_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.h.xml,49,51,#if,(!defined(_SmeBSB_h)) && (defined(XAW3D)),XAW3D;_SmeBSB_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.h.xml,51,53,#else,(!defined(_SmeBSB_h)) && (!(defined(XAW3D))),XAW3D;_SmeBSB_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.h.xml,94,96,#if,(!defined(_SmeBSB_h)) && (!defined(XtNfontSet)),XtNfontSet;_SmeBSB_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSB.h.xml,98,100,#if,(!defined(_SmeBSB_h)) && (!defined(XtCFontSet)),XtCFontSet;_SmeBSB_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xfig-3.2.6/_cppstats_featurelocations/src/SmeBSBP.h.xml,37,126,#if,!defined(_XawSmeBSBP_h),_XawSmeBSBP_h
