"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/a52dec/a52.h.xml,24,62,#if,!defined(A52_H),A52_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/a52dec/a52.h.xml,27,29,#if,(!defined(A52_H)) && (!defined(LIBA52_DOUBLE)),A52_H;LIBA52_DOUBLE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/a52dec/a52.h.xml,29,31,#else,(!defined(A52_H)) && (!(!defined(LIBA52_DOUBLE))),A52_H;LIBA52_DOUBLE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/a52dec/bitstream.h.xml,24,26,#if,defined(WIN32),WIN32
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/a52dec/bitstream.h.xml,29,33,#if,defined(WORDS_BIGENDIAN),WORDS_BIGENDIAN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/a52dec/bitstream.h.xml,33,51,#else,!(defined(WORDS_BIGENDIAN)),WORDS_BIGENDIAN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/a52dec/bitstream.h.xml,35,44,#if,(!(defined(WORDS_BIGENDIAN))) && (0 && defined (__i386__)),WORDS_BIGENDIAN;__i386__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/a52dec/bitstream.h.xml,44,50,#else,(!(defined(WORDS_BIGENDIAN))) && (!(0 && defined (__i386__))),WORDS_BIGENDIAN;__i386__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/a52dec/imdct.c.xml,31,33,#if,defined(LIBA52_DJBFFT),LIBA52_DJBFFT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/a52dec/imdct.c.xml,34,36,#if,!defined(M_PI),M_PI
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/a52dec/imdct.c.xml,423,429,#if,defined(LIBA52_DJBFFT),LIBA52_DJBFFT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/add.c.xml,175,177,#if,defined(SASR),SASR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/add.c.xml,177,180,#else,!(defined(SASR)),SASR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/add.c.xml,189,191,#if,defined(SASR),SASR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/add.c.xml,191,194,#else,!(defined(SASR)),SASR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm.h.xml,9,71,#if,!defined(GSM_H),GSM_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm.h.xml,12,14,#if,(!defined(GSM_H)) && (defined(__cplusplus)),GSM_H;__cplusplus
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm.h.xml,16,18,#if,(!defined(GSM_H)) && (__STDC__),GSM_H;__STDC__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm.h.xml,20,22,#if,(!defined(GSM_H)) && (defined(_NO_PROTO)),GSM_H;_NO_PROTO
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm.h.xml,24,26,#if,(!defined(GSM_H)) && (defined(NeedFunctionPrototypes)),GSM_H;NeedFunctionPrototypes
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm.h.xml,29,31,#if,(!defined(GSM_H)) && (NeedFunctionPrototypes),GSM_H;NeedFunctionPrototypes
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm.h.xml,31,33,#else,(!defined(GSM_H)) && (!(NeedFunctionPrototypes)),GSM_H;NeedFunctionPrototypes
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm_config.h.xml,9,37,#if,!defined(CONFIG_H),CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm_create.c.xml,11,13,#if,defined(HAS_STRING_H),HAS_STRING_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm_create.c.xml,13,16,#else,!(defined(HAS_STRING_H)),HAS_STRING_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm_create.c.xml,18,20,#if,defined(HAS_STDLIB_H),HAS_STDLIB_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm_create.c.xml,20,26,#else,!(defined(HAS_STDLIB_H)),HAS_STDLIB_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm_create.c.xml,21,23,#if,(!(defined(HAS_STDLIB_H))) && (defined(HAS_MALLOC_H)),HAS_MALLOC_H;HAS_STDLIB_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm_create.c.xml,23,25,#else,(!(defined(HAS_STDLIB_H))) && (!(defined(HAS_MALLOC_H))),HAS_MALLOC_H;HAS_STDLIB_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm_destroy.c.xml,13,15,#if,defined(HAS_STDLIB_H),HAS_STDLIB_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm_destroy.c.xml,15,21,#else,!(defined(HAS_STDLIB_H)),HAS_STDLIB_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm_destroy.c.xml,16,18,#if,(!(defined(HAS_STDLIB_H))) && (defined(HAS_MALLOC_H)),HAS_MALLOC_H;HAS_STDLIB_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/gsm_destroy.c.xml,18,20,#else,(!(defined(HAS_STDLIB_H))) && (!(defined(HAS_MALLOC_H))),HAS_MALLOC_H;HAS_STDLIB_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/long_term.c.xml,9,11,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/long_term.c.xml,49,294,#if,!defined(USE_FLOAT_MUL),USE_FLOAT_MUL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/long_term.c.xml,51,159,#if,(!defined(USE_FLOAT_MUL)) && (defined(LTP_CUT)),LTP_CUT;USE_FLOAT_MUL
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xine-1.2.8/_cppstats_featurelocations/contrib/gsm610/long_term.c.xml,294,840,#else,!(!defined(USE_FLOAT_MUL)),USE_FLOAT_MUL
