"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/bigreq.c.xml,29,31,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/dpms.c.xml,29,31,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/dpmsproc.h.xml,3,5,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/dpmsproc.h.xml,7,15,#if,!defined(_DPMSPROC_H_),_DPMSPROC_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/dpmsstubs.c.xml,29,31,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/geext.c.xml,26,28,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/geext.h.xml,29,31,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/geext.h.xml,33,83,#if,!defined(_GEEXT_H_),_GEEXT_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/geint.h.xml,25,27,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/geint.h.xml,29,53,#if,!defined(_GEINT_H_),_GEINT_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiX.c.xml,26,28,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiX.c.xml,30,32,#if,defined(HAVE_DMX_CONFIG_H),HAVE_DMX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiX.c.xml,59,63,#if,defined(GLXPROXY),GLXPROXY
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiX.c.xml,771,773,#if,defined(GLXPROXY),GLXPROXY
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiX.c.xml,1017,1023,#if,1,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiX.c.xml,1023,1025,#else,!(1),
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiX.c.xml,1104,1107,#if,X_BYTE_ORDER == X_LITTLE_ENDIAN,X_BYTE_ORDER;X_LITTLE_ENDIAN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiX.c.xml,1107,1110,#else,!(X_BYTE_ORDER == X_LITTLE_ENDIAN),X_BYTE_ORDER;X_LITTLE_ENDIAN
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiX.h.xml,36,38,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiX.h.xml,40,78,#if,!defined(_PANORAMIX_H_),_PANORAMIX_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiXSwap.c.xml,26,28,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiXprocs.c.xml,29,31,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiXsrv.h.xml,2,4,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/panoramiXsrv.h.xml,6,53,#if,!defined(_PANORAMIXSRV_H_),_PANORAMIXSRV_H_
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/saver.c.xml,30,32,#if,defined(HAVE_DIX_CONFIG_H),HAVE_DIX_CONFIG_H
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/saver.c.xml,50,53,#if,defined(PANORAMIX),PANORAMIX
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/saver.c.xml,54,56,#if,defined(DPMSExtension),DPMSExtension
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xorg-server-1.19.3/_cppstats_featurelocations/Xext/saver.c.xml,464,466,#if,defined(DPMSExtension),DPMSExtension
