"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/256colres.h.xml,6,250,#if,!defined(included_256colres_h),included_256colres_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/88colres.h.xml,6,82,#if,!defined(included_88colres_h),included_88colres_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekparse.h.xml,33,55,#if,!defined(included_Tekparse_h),included_Tekparse_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekparse.h.xml,36,42,#if,(!defined(included_Tekparse_h)) && (!defined(Const)),Const;included_Tekparse_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekparse.h.xml,37,39,#if,((!defined(included_Tekparse_h)) && (!defined(Const))) && (defined(__STDC__) && !defined(__cplusplus)),Const;__STDC__;__cplusplus;included_Tekparse_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekparse.h.xml,39,41,#else,((!defined(included_Tekparse_h)) && (!defined(Const))) && (!(defined(__STDC__) && !defined(__cplusplus))),Const;__STDC__;__cplusplus;included_Tekparse_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,87,101,#if,OPT_TOOLBAR,OPT_TOOLBAR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,89,91,#if,(OPT_TOOLBAR) && (defined(HAVE_LIB_XAW)),HAVE_LIB_XAW;OPT_TOOLBAR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,91,93,#elif,((OPT_TOOLBAR) && (!(defined(HAVE_LIB_XAW)))) && (defined(HAVE_LIB_XAW3D)),HAVE_LIB_XAW;HAVE_LIB_XAW3D;OPT_TOOLBAR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,93,95,#elif,(((OPT_TOOLBAR) && (!(defined(HAVE_LIB_XAW)))) && (!(defined(HAVE_LIB_XAW3D)))) && (defined(HAVE_LIB_XAW3DXFT)),HAVE_LIB_XAW;HAVE_LIB_XAW3D;HAVE_LIB_XAW3DXFT;OPT_TOOLBAR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,95,97,#elif,((((OPT_TOOLBAR) && (!(defined(HAVE_LIB_XAW)))) && (!(defined(HAVE_LIB_XAW3D)))) && (!(defined(HAVE_LIB_XAW3DXFT)))) && (defined(HAVE_LIB_NEXTAW)),HAVE_LIB_NEXTAW;HAVE_LIB_XAW;HAVE_LIB_XAW3D;HAVE_LIB_XAW3DXFT;OPT_TOOLBAR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,97,99,#elif,(((((OPT_TOOLBAR) && (!(defined(HAVE_LIB_XAW)))) && (!(defined(HAVE_LIB_XAW3D)))) && (!(defined(HAVE_LIB_XAW3DXFT)))) && (!(defined(HAVE_LIB_NEXTAW)))) && (defined(HAVE_LIB_XAWPLUS)),HAVE_LIB_NEXTAW;HAVE_LIB_XAW;HAVE_LIB_XAW3D;HAVE_LIB_XAW3DXFT;HAVE_LIB_XAWPLUS;OPT_TOOLBAR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,218,220,#if,defined(ALLOWLOGGING),ALLOWLOGGING
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,246,248,#if,OPT_TOOLBAR,OPT_TOOLBAR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,262,264,#if,defined(VMS),VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,264,266,#else,!(defined(VMS)),VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,280,283,#if,OPT_TOOLBAR,OPT_TOOLBAR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,395,404,#if,OPT_TOOLBAR,OPT_TOOLBAR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,406,408,#if,OPT_TOOLBAR,OPT_TOOLBAR
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,447,453,#if,OPT_WIDE_CHARS,OPT_WIDE_CHARS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,731,745,#if,OPT_WIDE_CHARS,OPT_WIDE_CHARS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,824,826,#if,defined(VMS),VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,826,828,#else,!(defined(VMS)),VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,830,837,#if,defined(CRAY),CRAY
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,846,848,#if,defined(VMS),VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,848,850,#else,!(defined(VMS)),VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,853,856,#if,defined(VMS),VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,856,863,#else,!(defined(VMS)),VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,865,871,#if,defined(VMS),VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,871,877,#else,!(defined(VMS)),VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,937,940,#if,OPT_TRACE,OPT_TRACE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,998,1000,#if,defined(lint),lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,1336,1338,#if,defined(VMS),VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,1338,1340,#else,!(defined(VMS)),VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,1461,1463,#if,!defined(NO_ACTIVE_ICON),NO_ACTIVE_ICON
