"sep=,"
FILENAME,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/256colres.h.xml,included_256colres_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/88colres.h.xml,included_88colres_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/TekPrsTbl.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekparse.h.xml,Const;__STDC__;__cplusplus;included_Tekparse_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/Tekproc.c.xml,ALLOWLOGGING;CRAY;HAVE_LIB_NEXTAW;HAVE_LIB_XAW;HAVE_LIB_XAW3D;HAVE_LIB_XAW3DXFT;HAVE_LIB_XAWPLUS;NO_ACTIVE_ICON;OPT_TOOLBAR;OPT_TRACE;OPT_WIDE_CHARS;VMS;lint
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/VTPrsTbl.c.xml,OPT_BLINK_CURS;OPT_DEC_LOCATOR;OPT_DEC_RECTOPS;OPT_MOD_FKEYS;OPT_VT52_MODE;OPT_WIDE_CHARS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/VTparse.h.xml,Const;OPT_DEC_RECTOPS;OPT_VT52_MODE;OPT_WIDE_CHARS;__STDC__;__cplusplus;included_VTparse_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/button.c.xml,HAVE_PCREPOSIX_H;OPT_C1_PRINT;OPT_DEC_CHRSET;OPT_DEC_LOCATOR;OPT_FOCUS_EVENT;OPT_ISO_COLORS;OPT_PASTE64;OPT_READLINE;OPT_REPORT_CCLASS;OPT_SCO_FUNC_KEYS;OPT_SELECTION_OPS;OPT_SELECT_REGEX;OPT_TRACE;OPT_WIDE_CHARS;VMS;X_HAVE_UTF8_STRING
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/cachedGCs.c.xml,NO_ACTIVE_ICON;NO_LEAKS;OPT_BOX_CHARS;OPT_COLOR_RES;OPT_DEC_CHRSET;OPT_HIGHLIGHT_COLOR;OPT_TEK4014;OPT_TRACE;OPT_WIDE_CHARS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/charclass.c.xml,NO_LEAKS;OPT_REPORT_CCLASS;OPT_WIDE_CHARS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/charclass.h.xml,CHARCLASS_H;NO_LEAKS;OPT_REPORT_CCLASS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/charproc.c.xml,ALLOWLOGFILEONOFF;ALLOWLOGGING;DFT_COLORMODE;EXP_BOGUS_FG;HANDLE_STRUCT_NOTIFY;HAVE_LANGINFO_CODESET;HAVE_LIB_NEXTAW;HAVE_LIB_XAW;HAVE_LIB_XAW3D;HAVE_LIB_XAW3DXFT;HAVE_LIB_XAWPLUS;HAVE_SCHED_YIELD;MB_CUR_MAX;NO_ACTIVE_ICON;NO_LEAKS;OPT_256_COLORS;OPT_88_COLORS;OPT_AIX_COLORS;OPT_ALLOW_XXX_OPS;OPT_BLINK_CURS;OPT_BLINK_TEXT;OPT_BOX_CHARS;OPT_BROKEN_OSC;OPT_BROKEN_ST;OPT_C1_PRINT;OPT_CLIP_BOLD;OPT_COLOR_RES;OPT_COLOR_RES2;OPT_DABBREV;OPT_DEC_CHRSET;OPT_DEC_LOCATOR;OPT_DEC_RECTOPS;OPT_DEC_SOFTFONT;OPT_DOUBLE_BUFFER;OPT_EXEC_XTERM;OPT_EXTRA_PASTE;OPT_FIFO_LINES;OPT_FOCUS_EVENT;OPT_GRAPHICS;OPT_HIGHLIGHT_COLOR;OPT_HP_FUNC_KEYS;OPT_I18N_SUPPORT;OPT_INITIAL_ERASE;OPT_INPUT_METHOD;OPT_ISO_COLORS;OPT_LOAD_VTFONTS;OPT_LUIT_PROG;OPT_MAXIMIZE;OPT_MINI_LUIT;OPT_MOD_FKEYS;OPT_NUM_LOCK;OPT_PC_COLORS;OPT_PRINT_COLORS;OPT_READLINE;OPT_REGIS_GRAPHICS;OPT_RENDERFONT;OPT_RENDERWIDE;OPT_REPORT_CCLASS;OPT_SAVE_LINES;OPT_SCO_FUNC_KEYS;OPT_SCREEN_DUMPS;OPT_SCROLL_LOCK;OPT_SELECTION_OPS;OPT_SELECT_REGEX;OPT_SESSION_MGT;OPT_SHIFT_FONTS;OPT_SIXEL_GRAPHICS;OPT_SUNPC_KBD;OPT_SUN_FUNC_KEYS;OPT_TCAP_FKEYS;OPT_TCAP_QUERY;OPT_TEK4014;OPT_TOOLBAR;OPT_TRACE;OPT_VT52_MODE;OPT_WIDE_ATTRS;OPT_WIDE_CHARS;OPT_XMC_GLITCH;SCROLLBAR_RIGHT;USE_XIM_INSTANTIATE_CB;VMS;X_HAVE_UTF8_STRING;XtSpecificationRelease;nothack
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/charsets.c.xml,OPT_WIDE_CHARS;OPT_XMC_GLITCH
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/cursor.c.xml,OPT_DEC_CHRSET;OPT_ISO_COLORS;OPT_TRACE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/data.c.xml,DEBUG;HANDLE_STRUCT_NOTIFY;HAVE_LIB_XCURSOR;OPT_SESSION_MGT;OPT_TEK4014;USE_IGNORE_RC
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/data.h.xml,DEBUG;HANDLE_STRUCT_NOTIFY;HAVE_LIB_XCURSOR;HAVE_XKB_BELL_EXT;OPT_HP_FUNC_KEYS;OPT_INITIAL_ERASE;OPT_MAXIMIZE;OPT_PRINT_ON_EXIT;OPT_PTY_HANDSHAKE;OPT_REPORT_CCLASS;OPT_REPORT_COLORS;OPT_REPORT_FONTS;OPT_SAME_NAME;OPT_SCO_FUNC_KEYS;OPT_SESSION_MGT;OPT_SUNPC_KBD;OPT_SUN_FUNC_KEYS;OPT_TCAP_FKEYS;OPT_TEK4014;OPT_TOOLBAR;OPT_ZICONBEEP;USE_IGNORE_RC;VMS;XkbBI_Info;included_data_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/doublechr.c.xml,OPT_DEC_CHRSET
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/error.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/fontutils.c.xml,FC_ASPECT;HAVE_ITALICS;HAVE_TYPE_FCCHAR32;OPT_BOX_CHARS;OPT_DEC_CHRSET;OPT_ISO_COLORS;OPT_LOAD_VTFONTS;OPT_RENDERFONT;OPT_RENDERWIDE;OPT_REPORT_FONTS;OPT_SHIFT_FONTS;OPT_TOOLBAR;OPT_TRACE;OPT_WIDE_ATTRS;OPT_WIDE_CHARS;SCROLLBAR_RIGHT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/fontutils.h.xml,OPT_BOX_CHARS;OPT_DEC_CHRSET;OPT_LOAD_VTFONTS;OPT_RENDERFONT;OPT_REPORT_FONTS;OPT_SHIFT_FONTS;OPT_WIDE_ATTRS;OPT_WIDE_CHARS;included_fontutils_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/graphics.c.xml,DEBUG_PALETTE;DEBUG_PIXEL;DEBUG_REFRESH;DUMP_BITMAP;DUMP_COLORS;NO_LEAKS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/graphics.h.xml,NO_LEAKS;OPT_GRAPHICS;included_graphics_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/graphics_regis.c.xml,DEBUG_ALPHABETS;DEBUG_ALPHABET_LOOKUP;DEBUG_ARC_CENTER;DEBUG_ARC_END;DEBUG_ARC_POINTS;DEBUG_ARC_START;DEBUG_BEZIER;DEBUG_COMPUTED_FONT_METRICS;DEBUG_FONT_NAME;DEBUG_FONT_SIZE_SEARCH;DEBUG_LOAD;DEBUG_PARSING;DEBUG_SPECIFIC_CHAR_METRICS;DEBUG_SPLINE_POINTS;DEBUG_SPLINE_SEGMENTS;DEBUG_SPLINE_WITH_OVERDRAW;DEBUG_SPLINE_WITH_ROTATION;DEBUG_USER_GLYPH;ENABLE_DISTORTIONLESS_ROTATION;ENABLE_FREE_ROTATION;ENABLE_RGB_COLORSPECS;ENABLE_UPLOAD_ALPHABET_FROM_FONT;ENABLE_UPLOAD_ALPHABET_ZERO;ENABLE_USER_FONT_SIZE;ENABLE_VARIABLE_ITALICS;HAVE_TYPE_FCCHAR32;OPT_DOUBLE_BUFFER;OPT_RENDERFONT;XRENDERFONT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/graphics_regis.h.xml,OPT_REGIS_GRAPHICS;included_graphics_regis_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/graphics_sixel.c.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/graphics_sixel.h.xml,OPT_SIXEL_GRAPHICS;included_graphics_sixel_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/html.c.xml,HAVE_STRFTIME;OPT_ISO_COLORS;OPT_WIDE_ATTRS;OPT_WIDE_CHARS;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/input.c.xml,DXK_Remove;HAVE_X11_DECKEYSYM_H;HAVE_X11_SUNKEYSYM_H;HAVE_X11_XF86KEYSYM_H;HAVE_XKBKEYCODETOKEYSYM;IsPrivateKeypadKey;OPT_EXTRA_PASTE;OPT_HP_FUNC_KEYS;OPT_I18N_SUPPORT;OPT_INPUT_METHOD;OPT_MOD_FKEYS;OPT_NUM_LOCK;OPT_SCO_FUNC_KEYS;OPT_SUNPC_KBD;OPT_SUN_FUNC_KEYS;OPT_TCAP_FKEYS;OPT_TCAP_QUERY;OPT_TEK4014;OPT_VT52_MODE;OPT_WIDE_CHARS;SunXK_F36;SunXK_Paste;VMS;XF86XK_Paste;XK_ISO_Left_Tab;XK_ISO_Lock;XK_KP_Delete;XK_KP_Home;XK_KP_Insert
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/keysym2ucs.c.xml,KEYSYM2UCS_INCLUDED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/keysym2ucs.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/linedata.c.xml,OPT_FIFO_LINES;OPT_ISO_COLORS;OPT_WIDE_CHARS
